iucn_sid,sciname
31284,Liriodendron chinense
194015,Liriodendron tulipifera
193896,Magnolia acuminata
191513,Magnolia albosericea
193899,Magnolia allenii
193900,Magnolia amazonica
32423,Magnolia amoena
194801,Magnolia angatensis
193901,Magnolia angustioblonga
191499,Magnolia annamensis
193902,Magnolia arcabucoana
193903,Magnolia argyrothricha
32364,Magnolia aromatica
193904,Magnolia ashtonii
67513490,Magnolia atlantida
67513493,Magnolia azulensis
34968,Magnolia baillonii
191519,Magnolia balansae
15112410,Magnolia banghamii
67513496,Magnolia bankardiorum
88981028,Magnolia bawangensis
194804,Magnolia beccarii
191866,Magnolia betongensis
68911145,Magnolia bidoupensis
193905,Magnolia bintuluensis
193906,Magnolia biondii
191495,Magnolia blaoensis
39031,Magnolia boliviana
193911,Magnolia borneensis
191511,Magnolia braianensis
38855,Magnolia calimaensis
38856,Magnolia calophylla
15112781,Magnolia calophylloides
193912,Magnolia campbellii
67513499,Magnolia canandeana
38857,Magnolia cararensis
38864,Magnolia caricifragrans
191867,Magnolia carsonii
193913,Magnolia carsonii var. carsonii
191500,Magnolia cathcartii
68933824,Magnolia cattienensis
191509,Magnolia cavaleriei
193914,Magnolia caveana
38865,Magnolia cespedesii
191869,Magnolia champaca
191510,Magnolia championii
15112870,Magnolia changhungtana
191491,Magnolia chapensis
191506,Magnolia chevalieri
193916,Magnolia chimantensis
67513502,Magnolia chiriquiensis
193917,Magnolia chocoensis
191871,Magnolia citrata
191490,Magnolia clemensiorum
67513505,Magnolia cochranei
191498,Magnolia coco
38858,Magnolia colombiana
193918,Magnolia compressa
191515,Magnolia conifera
39016,Magnolia coriacea
14050467,Magnolia coronata
67513508,Magnolia costaricensis
67513511,Magnolia crassifolia
193919,Magnolia crassipes
15112890,Magnolia cristalensis
62591,Magnolia cubensis
193921,Magnolia cubensis subsp. acunae
39003,Magnolia cubensis subsp. cacuminicola
193920,Magnolia cubensis subsp. cubensis
193922,Magnolia cubensis subsp. turquinensis
32424,Magnolia cylindrica
191520,Magnolia dandyi
191512,Magnolia dawsoniana
88558975,Magnolia dealbata
67513514,Magnolia decastroi
193923,Magnolia decidua
39011,Magnolia delavayi
193934,Magnolia denudata
45615,Magnolia dixonii
193935,Magnolia dodecapetala
193936,Magnolia doltsopa
193937,Magnolia domingensis
191493,Magnolia duclouxii
191516,Magnolia duperreana
193938,Magnolia ekmanii
191872,Magnolia elegans
15112893,Magnolia elegantifolia
67513517,Magnolia elfina
15112908,Magnolia elliptigemmata
193939,Magnolia emarginata
67513520,Magnolia equatorialis
194799,Magnolia ernestii
38866,Magnolia espinalii
88936923,Magnolia fansipanensis
67513523,Magnolia faustinomirandae
193940,Magnolia figlarii
15112917,Magnolia figo
15113584,Magnolia fistulosa
191507,Magnolia flaviflora
191486,Magnolia floribunda
62600,Magnolia fordiana
35971,Magnolia fordiana var. fordiana
39013,Magnolia fordiana var. forrestii
194809,Magnolia foveolata
193941,Magnolia fraseri
193944,Magnolia fujianensis
191494,Magnolia fulva
191508,Magnolia garrettii
67513526,Magnolia gentryi
38867,Magnolia georgii
193945,Magnolia gigantifolia
38868,Magnolia gilbertoi
193946,Magnolia globosa
193947,Magnolia gloriensis
193948,Magnolia grandiflora
32428,Magnolia grandis
31235,Magnolia griffithii
67513529,Magnolia guanacastensis
15113712,Magnolia guangdongensis
15113742,Magnolia guangxiensis
88944361,Magnolia guangzhouensis
38859,Magnolia guatapensis
62592,Magnolia guatemalensis
193949,Magnolia guatemalensis subsp. guatemalensis
37394,Magnolia guatemalensis subsp. hondurensis
15113775,Magnolia guerrerensis
31236,Magnolia gustavii
193950,Magnolia hamorii
38871,Magnolia henaoi
32425,Magnolia henryi
38870,Magnolia hernandezii
191873,Magnolia hodgsonii
191502,Magnolia hongheensis
191874,Magnolia hookeri
34966,Magnolia hypolampra
35600,Magnolia iltisiana
67513532,Magnolia inbioana
191875,Magnolia insignis
193951,Magnolia irwiniana
15113860,Magnolia iteophylla
67513535,Magnolia jaenensis
67513538,Magnolia jaliscana
14050337,Magnolia jardinensis
67513645,Magnolia juninensis
31261,Magnolia kachirachirai
88944775,Magnolia kaifui
38872,Magnolia katiorum
67513541,Magnolia kichuana
193952,Magnolia kingii
193953,Magnolia kisopa
193954,Magnolia kobus
191876,Magnolia koordersiana
193955,Magnolia krusei
193956,Magnolia kwangsiensis
15113909,Magnolia kwangtungensis
67513544,Magnolia lacandonica
193957,Magnolia lacei
15113942,Magnolia laevifolia
15114022,Magnolia lanuginosa
193958,Magnolia lanuginosoides
193959,Magnolia lasia
88944971,Magnolia lawii
193960,Magnolia lenticellata
193962,Magnolia leveilleana
39004,Magnolia liliifera
191488,Magnolia liliiflora
193963,Magnolia longipedunculata
67513547,Magnolia lopezobradorii
34964,Magnolia lotungensis
67513550,Magnolia lozanoi
191505,Magnolia lucida
191497,Magnolia macclurei
193964,Magnolia macklottii
67513553,Magnolia macrocarpa
62595,Magnolia macrophylla
39001,Magnolia macrophylla var. ashei
67513560,Magnolia madidiensis
38861,Magnolia mahechae
67513563,Magnolia manguillo
193968,Magnolia mannii
193969,Magnolia mariusjacobsia
191504,Magnolia martinii
191518,Magnolia masticata
193970,Magnolia maudiae
67513566,Magnolia mayae
191492,Magnolia mediocris
193977,Magnolia mexicana
112185191,Magnolia mindoensis
39006,Magnolia minor
15114775,Magnolia mirifolia
15114824,Magnolia montana
193978,Magnolia morii
67513569,Magnolia multinervia
191487,Magnolia nana
38873,Magnolia narinensis
193979,Magnolia neillii
88981492,Magnolia neomagnifolia
15114888,Magnolia nilagirica
34960,Magnolia nitida
84786942,Magnolia nuevoleonensis
67513572,Magnolia oaxacensis
193980,Magnolia oblonga
15114930,Magnolia obovalifolia
193981,Magnolia obovata
34967,Magnolia odora
15115789,Magnolia odoratissima
67513575,Magnolia ofeliae
34963,Magnolia officinalis
34961,Magnolia omeiensis
15115847,Magnolia opipara
193982,Magnolia ovata
39014,Magnolia ovoidea
35601,Magnolia pacifica
193984,Magnolia pahangensis
67513578,Magnolia palandana
193985,Magnolia pallescens
35602,Magnolia panamensis
67513581,Magnolia paranaensis
67513584,Magnolia pastazaensis
15115907,Magnolia patungensis
193986,Magnolia pealiana
67513587,Magnolia pedrazae
67513590,Magnolia perezfarrerae
193987,Magnolia persuaveolens
193989,Magnolia persuaveolens subsp. rigida
67513593,Magnolia peruviana
191878,Magnolia philippinensis
193990,Magnolia platyphylla
193991,Magnolia pleiocarpa
193992,Magnolia poasana
38874,Magnolia polyhypsophylla
193993,Magnolia portoricensis
34962,Magnolia praecalva
193994,Magnolia ptaritepuiana
193995,Magnolia pterocarpa
193996,Magnolia pubescens
194806,Magnolia pugana
31237,Magnolia punduana
67513596,Magnolia quetzal
15116599,Magnolia rabaniana
191517,Magnolia rajaniana
193997,Magnolia rimachii
32426,Magnolia rostrata
191501,Magnolia rufibarbata
82782448,Magnolia rzedowskiana
193998,Magnolia sabahensis
193999,Magnolia salicifolia
38405,Magnolia sambuensis
69321157,Magnolia sanchez-vegae
38875,Magnolia santanderiana
88945600,Magnolia sapaensis
194000,Magnolia sarawakensis
31289,Magnolia sargentiana
67513599,Magnolia savegrensis
