iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,A2ce; B1ab(iii),VU,0.4,2019-2
224,Acipenser naccarii,Adriatic Sturgeon,2011,CR,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2019-2
225,Acipenser nudiventris,Ship Sturgeon,2010,CR,A2cde,CR,0.8,2019-2
229,Acipenser stellatus,Stellate Sturgeon,2010,CR,A2cde,CR,0.8,2019-2
230,Acipenser sturio,Atlantic Sturgeon,2010,CR,"A2cde; B2ab(ii,iii,v)",CR,0.8,2019-2
232,Acipenser gueldenstaedtii,Russian Sturgeon,2010,CR,A2bcde,CR,0.8,2019-2
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NT,0.2,2019-2
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,LC,0,2019-2
235,Acipenser persicus,Persian Sturgeon,2010,CR,A2cde,CR,0.8,2019-2
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2019-2
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,A2cde,CR,0.8,2019-2
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,A2cde,VU,0.4,2019-2
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NT,0.2,2019-2
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NT,0.2,2019-2
678,Agathothoma finalis,NA,1996,DD,NA,DD,NA,2019-2
907,Alosa immaculata,NA,2008,VU,B2ab(v),VU,0.4,2019-2
908,Alosa alabamae,Alabama Shad,2010,DD,NA,DD,NA,2019-2
1086,Amblyrhynchus cristatus,Fernandina Marine Iguana,2004,VU,B2ac(iv),VU,0.4,2019-2
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,NA,LC,0,2019-2
1615,Choranthias salmopunctatus,NA,2015,LC,NA,LC,0,2019-2
1793,Aonyx capensis,African Clawless Otter,2015,NT,NA,NT,0.2,2019-2
1866,Aplochiton marinus,NA,1996,DD,NA,DD,NA,2019-2
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,LC,0,2019-2
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,A2ab,EN,0.6,2019-2
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,LC,0,2019-2
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,NA,LC,0,2019-2
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,LC,0,2019-2
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,NA,LC,0,2019-2
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,LC,0,2019-2
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,LC,0,2019-2
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,LC,0,2019-2
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,LC,0,2019-2
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,LC,0,2019-2
2179,Assiminea infirma,Badwater Snail,1996,VU,B1+2c,VU,0.4,2019-2
2181,Assiminea palauensis,NA,1996,DD,NA,DD,NA,2019-2
2182,Assiminea pecos,Pecos Assiminea,1996,EN,B1+2c,EN,0.6,2019-2
2218,Astraea heliotropium,NA,2000,LR/lc,NA,LC,0,2019-2
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,LC,0,2019-2
2467,Balaena mysticetus,Bowhead Whale,2018,LC,NA,LC,0,2019-2
