iucn_sid,range_km2,sciname,dbf_file
187374,325538.0000152588,Bodianus tanyokidus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187375,147363.4999961853,Leptojulis lambdastigma,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187376,98643.4999923706,Xyrichtys rajagopalani,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187377,438.25,Thalassoma sanctaehelenae,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187378,1062817.0000181198,Bodianus opercularis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187379,221480.49999141693,Coris variegata,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187380,113494.25001144409,Iniistius cyanifrons,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187381,7525108.499946117,Thalassoma lunare,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187382,5754477.000013828,Halichoeres marginatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187383,5893655.999937296,Cheilio inermis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187384,4802990.0000059605,Cheilinus chlorourus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187385,614473.2499923706,Pseudolabrus sieboldi,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187386,3910.7499961853027,Coris marquesensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187387,1055986.2500281334,Parajulis poecilepterus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187388,325195.24999809265,Macropharyngodon choati,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187389,166143.24996185303,Cirrhilabrus tonozukai,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187390,616543.4999790192,Suezichthys caudavittatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187391,55700,Bodianus thoracotaeniatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187392,33702.4999961853,Coris bulbifrons,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187393,288041.7499961853,Paracheilinus mccoskeri,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187394,1632533.7499494553,Coris pictoides,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187395,2383402.7500030994,Iniistius aneitensis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187396,7405602.499924183,Labroides dimidiatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187397,1896701.7500238419,Labrus mixtus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187398,1412996.5000095367,Labrus bergylta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187399,22611.250007629395,Iniistius umbrilatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187400,1716067.250004053,Choerodon vitta,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187401,543626.999994278,Halichoeres dimidiatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187402,328859.50000190735,Iniistius evides,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187403,1480739.24999547,Paracheilinus filamentosus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187404,443053.5000076294,Bodianus albotaeniatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187405,1094954.500005722,Halichoeres caudalis,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
187406,175261.4999809265,Hologymnosus longipes,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/WRASSE.dbf
