iucn_sid,code,title,timing,scope,severity,score,invasive,score_num
222,1.1,Housing & urban areas,Ongoing,NA,NA,Low Impact: 3,NA,3
222,1.2,Commercial & industrial areas,Ongoing,NA,NA,Low Impact: 3,NA,3
222,4.3,Shipping lanes,Ongoing,NA,NA,Low Impact: 3,NA,3
222,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
222,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
222,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
222,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
222,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
222,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
222,8.2,Problematic native species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.1,Domestic & urban waste water,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.1,Domestic & urban waste water,"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
222,9.1.1,Sewage,"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
222,9.1.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.2.1,Oil spills,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.3,Agricultural & forestry effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.3.2,"Soil erosion, sedimentation",Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.3.4,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.4,Garbage & solid waste,"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
222,9.6,Excess energy,Ongoing,NA,NA,Low Impact: 3,NA,3
222,9.6.2,Thermal pollution,Ongoing,NA,NA,Low Impact: 3,NA,3
224,12.1,Other threat,Ongoing,Unknown,NA,Unknown,NA,NA
224,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
224,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
224,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
224,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
224,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
224,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
224,8.1,Invasive non-native/alien species/diseases (Silurus glanis),Ongoing,NA,NA,Low Impact: 3,Silurus glanis,3
224,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
224,8.1.2,Named species (Silurus glanis),Ongoing,NA,NA,Low Impact: 3,Silurus glanis,3
224,9.1,Domestic & urban waste water,Ongoing,NA,NA,Low Impact: 3,NA,3
224,9.1.1,Sewage,Ongoing,NA,NA,Low Impact: 3,NA,3
224,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
224,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
224,9.3,Agricultural & forestry effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
224,9.3.4,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
225,11.2,Droughts,Ongoing,NA,NA,Low Impact: 3,NA,3
225,12.1,Other threat,Ongoing,NA,NA,Low Impact: 3,NA,3
225,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
225,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
225,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
225,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
225,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
225,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
225,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
225,7.2.8,Abstraction of ground water (unknown use),Ongoing,NA,NA,Low Impact: 3,NA,3
225,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
225,8.1,Invasive non-native/alien species/diseases (Acipenser stellatus),Ongoing,NA,NA,Low Impact: 3,Acipenser stellatus,3
225,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
225,8.1.2,Named species (Acipenser stellatus),Ongoing,NA,NA,Low Impact: 3,Acipenser stellatus,3
225,8.2,Problematic native species/diseases (Acipenser stellatus),Ongoing,NA,NA,Low Impact: 3,Acipenser stellatus,3
225,8.2,Problematic native species/diseases (Unspecified Acipenser),Ongoing,NA,NA,Low Impact: 3,Unspecified Acipenser,3
225,8.2.2,Named species (Acipenser stellatus),Ongoing,NA,NA,Low Impact: 3,Acipenser stellatus,3
225,8.2.2,Named species (Unspecified Acipenser),Ongoing,NA,NA,Low Impact: 3,Unspecified Acipenser,3
229,12.1,Other threat,Ongoing,NA,NA,Low Impact: 3,NA,3
229,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
229,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
229,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
229,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
229,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
229,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
229,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
229,8.2,Problematic native species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
229,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
229,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
230,3.2,Mining & quarrying,Ongoing,NA,NA,Low Impact: 3,NA,3
230,4.3,Shipping lanes,Ongoing,NA,NA,Low Impact: 3,NA,3
230,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
230,5.4,Fishing & harvesting aquatic resources,"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
230,5.4.1,Intentional use: (subsistence/small scale) [harvest],"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
230,5.4.2,Intentional use: (large scale) [harvest],"Past, Unlikely to Return",NA,NA,Past Impact,NA,NA
230,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
230,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
230,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
230,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
232,12.1,Other threat,Ongoing,NA,NA,Low Impact: 3,NA,3
232,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
232,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
232,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
232,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
232,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
232,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
232,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
232,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
232,9.2.1,Oil spills,Ongoing,NA,NA,Low Impact: 3,NA,3
232,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
233,1.1,Housing & urban areas,Ongoing,NA,NA,Low Impact: 3,NA,3
233,11.2,Droughts,Ongoing,NA,NA,Low Impact: 3,NA,3
233,2.1,Annual & perennial non-timber crops,Ongoing,NA,NA,Low Impact: 3,NA,3
233,2.1.2,Small-holder farming,Ongoing,NA,NA,Low Impact: 3,NA,3
233,2.1.3,Agro-industry farming,Ongoing,NA,NA,Low Impact: 3,NA,3
233,4.3,Shipping lanes,Ongoing,NA,NA,Low Impact: 3,NA,3
233,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
233,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
233,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
233,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
233,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.1,Domestic & urban waste water,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.1.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.3,Agricultural & forestry effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.3.4,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.6,Excess energy,Ongoing,NA,NA,Low Impact: 3,NA,3
233,9.6.2,Thermal pollution,Ongoing,NA,NA,Low Impact: 3,NA,3
234,11.2,Droughts,Ongoing,NA,NA,Low Impact: 3,NA,3
234,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
234,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
234,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
234,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
234,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
234,7.2.8,Abstraction of ground water (unknown use),Ongoing,NA,NA,Low Impact: 3,NA,3
234,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
234,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
234,8.2,Problematic native species/diseases,Future,NA,NA,No/Negligible Impact: 1,NA,1
234,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
234,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
235,12.1,Other threat,Ongoing,NA,NA,Low Impact: 3,NA,3
235,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
235,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
235,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
235,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
235,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
235,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
235,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.1,Domestic & urban waste water,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.1.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.2.1,Oil spills,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.3,Agricultural & forestry effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
235,9.3.4,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
236,10.1,Volcanoes,NA,NA,NA,No/Negligible Impact: 0,NA,0
236,11.3,Temperature extremes,Future,NA,NA,No/Negligible Impact: 1,NA,1
236,4.3,Shipping lanes,Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.1,Hunting & trapping terrestrial animals,Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.1.4,Motivation Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.4,Fishing & harvesting aquatic resources,Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.4.1,Intentional use: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.4.2,Intentional use: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.4.3,Unintentional effects: (subsistence/small scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
236,5.4.4,Unintentional effects: (large scale) [harvest],Ongoing,NA,NA,Low Impact: 3,NA,3
236,7.2,Dams & water management/use,Ongoing,NA,NA,Low Impact: 3,NA,3
236,7.2.11,Dams (size unknown),Ongoing,NA,NA,Low Impact: 3,NA,3
236,8.1,Invasive non-native/alien species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
236,8.1.1,Unspecified species,Ongoing,NA,NA,Low Impact: 3,NA,3
236,8.2,Problematic native species/diseases,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.1,Domestic & urban waste water,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.1.1,Sewage,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.1.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.2,Industrial & military effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.2.1,Oil spills,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.2.3,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.3,Agricultural & forestry effluents,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.3.2,"Soil erosion, sedimentation",Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.3.4,Type Unknown/Unrecorded,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.4,Garbage & solid waste,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.6,Excess energy,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.6.2,Thermal pollution,Ongoing,NA,NA,Low Impact: 3,NA,3
236,9.6.3,Noise pollution,Ongoing,NA,NA,Low Impact: 3,NA,3
