iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
10016,global,NA,NA,NA
10017,global,NA,NA,NA
10018,global,NA,NA,NA
10019,global,NA,NA,NA
10020,global,NA,NA,NA
10021,global,NA,NA,NA
10030,global,unknown,-0.01278,lm
10056,global,decreasing,0.00853,lm
10057,global,unknown,-0.01905,lm
10060,global,unknown,NA,NA
10063,global,unknown,NA,NA
10064,global,unknown,NA,NA
10065,global,unknown,NA,NA
10066,global,decreasing,-0,lm
10069,global,unknown,NA,NA
10070,global,decreasing,0,lm
10072,global,decreasing,0,lm
10074,global,unknown,-0.01905,lm
10075,global,decreasing,-0,lm
10077,global,unknown,NA,NA
10082,global,decreasing,-0.00952,lm
10083,global,unknown,-0.02041,lm
10087,global,decreasing,-0,lm
10088,global,decreasing,0.00952,lm
10089,global,stable,-0.01905,lm
10097,global,NA,NA,NA
10105,global,NA,NA,NA
10106,global,NA,NA,NA
101729662,global,unknown,NA,NA
101730467,global,unknown,NA,NA
101730582,global,unknown,NA,NA
10268,global,decreasing,0.01316,lm
10269,global,decreasing,0.01429,lm
10273,global,NA,NA,NA
102998555,global,decreasing,0,lm
10303,global,NA,NA,NA
103055306,global,unknown,NA,NA
103055459,global,unknown,NA,NA
10340,global,unknown,0,lm
103422139,global,unknown,NA,NA
103636217,global,unknown,NA,NA
103645058,global,unknown,NA,NA
103645074,global,unknown,NA,NA
103645092,global,unknown,NA,NA
103645102,global,unknown,NA,NA
103645110,global,unknown,NA,NA
103645248,global,unknown,NA,NA
103670928,global,decreasing,0.00394,regr
103670944,global,decreasing,0.00394,regr
103684104,global,unknown,NA,NA
103684251,global,unknown,NA,NA
103684273,global,unknown,NA,NA
103684425,global,unknown,NA,NA
103684487,global,unknown,NA,NA
103685136,global,unknown,NA,NA
103686062,global,unknown,NA,NA
103686142,global,unknown,NA,NA
103686485,global,unknown,NA,NA
103687308,global,stable,0,regr
103693422,global,unknown,NA,NA
103707192,global,unknown,NA,NA
103707407,global,unknown,NA,NA
103727557,global,increasing,0,lm
103727590,global,stable,0,regr
103773898,global,decreasing,0,lm
103798407,global,decreasing,0,lm
103798418,global,stable,0,regr
103817982,global,stable,0,lm
103818044,global,stable,0,regr
104006414,global,unknown,0,lm
104006526,global,increasing,0,lm
104007058,global,decreasing,0,lm
104019954,global,decreasing,0.00394,regr
104023514,global,decreasing,0.00394,regr
104050689,global,decreasing,0.00394,regr
104061138,global,decreasing,0.00394,regr
104062546,global,stable,0,lm
104062579,global,decreasing,0,lm
104176764,global,decreasing,0.00394,regr
10707,global,unknown,NA,NA
10708,global,unknown,-0.03333,lm
10724,global,unknown,-0.02105,lm
107259870,global,decreasing,0.00394,regr
107261083,global,decreasing,0.00394,regr
107261198,global,unknown,NA,NA
107261486,global,unknown,NA,NA
107604242,global,unknown,NA,NA
107604828,global,unknown,NA,NA
107604987,global,decreasing,0.00394,regr
1086,global,unknown,-0.01429,lm
10939,global,unknown,NA,NA
11030,global,unknown,0,lm
110462086,global,decreasing,0.00394,regr
11047,global,unknown,NA,NA
11048,global,unknown,NA,NA
11060,global,stable,0,lm
11130,global,decreasing,0,lm
11140,global,unknown,0,lm
11141,global,unknown,0,lm
11142,global,unknown,0,lm
11143,global,unknown,NA,NA
11144,global,unknown,0,lm
11145,global,unknown,0,lm
11146,global,unknown,NA,NA
11150,global,decreasing,0.00394,regr
11191,global,NA,NA,NA
11200,global,decreasing,0.00263,lm
112664049,global,unknown,NA,NA
112664063,global,unknown,NA,NA
112664105,global,unknown,NA,NA
112664138,global,unknown,NA,NA
11368,global,NA,NA,NA
11375,global,unknown,0.06429,lm
114155281,global,unknown,NA,NA
114155385,global,unknown,NA,NA
114155455,global,unknown,NA,NA
114155499,global,unknown,NA,NA
114155541,global,unknown,NA,NA
114156725,global,unknown,NA,NA
114157206,global,unknown,NA,NA
114164022,global,unknown,NA,NA
114164094,global,unknown,NA,NA
114164251,global,unknown,NA,NA
114165891,global,stable,0,regr
114167535,global,unknown,NA,NA
114168358,global,unknown,NA,NA
114168486,global,unknown,NA,NA
114172380,global,unknown,NA,NA
114172439,global,unknown,NA,NA
114172794,global,unknown,NA,NA
114172998,global,unknown,NA,NA
114173026,global,unknown,NA,NA
114173059,global,unknown,NA,NA
114173064,global,unknown,NA,NA
114173325,global,unknown,NA,NA
114173401,global,unknown,NA,NA
114173439,global,unknown,NA,NA
114173725,global,unknown,NA,NA
114175236,global,unknown,NA,NA
114175363,global,stable,0,regr
114175462,global,unknown,NA,NA
114175552,global,unknown,NA,NA
114175593,global,unknown,NA,NA
114175639,global,unknown,NA,NA
114175703,global,unknown,NA,NA
114176786,global,unknown,NA,NA
114177120,global,unknown,NA,NA
114177474,global,unknown,NA,NA
114177531,global,unknown,NA,NA
114177614,global,unknown,NA,NA
114177681,global,unknown,NA,NA
114177913,global,unknown,NA,NA
114178035,global,unknown,NA,NA
114178081,global,unknown,NA,NA
114178119,global,unknown,NA,NA
114178151,global,unknown,NA,NA
114178239,global,unknown,NA,NA
114178331,global,unknown,NA,NA
114178375,global,unknown,NA,NA
114178416,global,unknown,NA,NA
114178539,global,unknown,NA,NA
114178601,global,unknown,NA,NA
114178726,global,unknown,NA,NA
114179335,global,unknown,NA,NA
114179392,global,unknown,NA,NA
114179475,global,unknown,NA,NA
114179505,global,stable,0,regr
114179753,global,stable,0,regr
114179950,global,unknown,NA,NA
114179968,global,stable,0,regr
114180058,global,stable,0,regr
114180108,global,unknown,NA,NA
114180377,global,unknown,NA,NA
114180416,global,unknown,NA,NA
114180444,global,unknown,NA,NA
114180459,global,unknown,NA,NA
114180492,global,unknown,NA,NA
114180533,global,unknown,NA,NA
114180644,global,unknown,NA,NA
114192257,global,unknown,NA,NA
114192261,global,unknown,NA,NA
114192438,global,unknown,NA,NA
114192542,global,unknown,NA,NA
114192573,global,unknown,NA,NA
114192579,global,unknown,NA,NA
114192667,global,unknown,NA,NA
114192721,global,unknown,NA,NA
114683109,global,unknown,NA,NA
114823717,global,decreasing,0.00394,regr
114828525,global,decreasing,0.00394,regr
114842931,global,decreasing,0.00394,regr
11501,global,NA,NA,NA
11502,global,unknown,NA,NA
11533,global,unknown,0.00466,lm
11534,global,decreasing,-0.01512,lm
116847578,global,unknown,NA,NA
116855477,global,unknown,NA,NA
116856245,global,unknown,NA,NA
116857982,global,stable,0,regr
116858686,global,unknown,NA,NA
116863205,global,unknown,NA,NA
116863615,global,unknown,NA,NA
116863801,global,unknown,NA,NA
116864194,global,unknown,NA,NA
116864416,global,unknown,NA,NA
116878521,global,unknown,NA,NA
116878536,global,unknown,NA,NA
116878550,global,unknown,NA,NA
116878564,global,unknown,NA,NA
116878608,global,unknown,NA,NA
116878630,global,unknown,NA,NA
116880225,global,unknown,NA,NA
116880357,global,decreasing,0.00394,regr
11696,global,unknown,0,lm
117006624,global,unknown,NA,NA
117007082,global,unknown,NA,NA
117007235,global,unknown,NA,NA
117007332,global,stable,0,regr
117007442,global,unknown,NA,NA
117007700,global,unknown,NA,NA
117007716,global,unknown,NA,NA
117007746,global,unknown,NA,NA
117007764,global,unknown,NA,NA
117007856,global,unknown,NA,NA
117007988,global,unknown,NA,NA
117008020,global,unknown,NA,NA
117008133,global,unknown,NA,NA
117008207,global,unknown,NA,NA
117008255,global,unknown,NA,NA
117008369,global,unknown,NA,NA
117008482,global,unknown,NA,NA
117008614,global,unknown,NA,NA
117008646,global,unknown,NA,NA
117008661,global,unknown,NA,NA
117008689,global,unknown,NA,NA
117008715,global,unknown,NA,NA
117008727,global,unknown,NA,NA
117008764,global,unknown,NA,NA
117016720,global,unknown,NA,NA
117016730,global,unknown,NA,NA
117016738,global,unknown,NA,NA
117016765,global,unknown,NA,NA
117016784,global,unknown,NA,NA
117016801,global,unknown,NA,NA
117016815,global,unknown,NA,NA
117016819,global,unknown,NA,NA
117016885,global,unknown,NA,NA
