iucn_sid,sciname,dbf,shp,max_depth,kingdom,phylum,class,order,family,taxon
222,Acipenser brevirostrum,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
232,Acipenser gueldenstaedtii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
224,Acipenser naccarii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
225,Acipenser nudiventris,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
245,Acipenser oxyrinchus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
235,Acipenser persicus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
229,Acipenser stellatus,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
230,Acipenser sturio,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
10269,Huso huso,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Acipenseriformes.shp,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseridae,acipenseriformes
15147715,Alepocephalus agassizii,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.dbf,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_maps_byorder_part1/Argentiniformes.shp,200 m +,ANIMALIA,chordata,actinopterygii,osmeriformes,alepocephalidae,osmeriformes
