mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.16954565766887997,0.14426051549976024
FALSE,Global EEZ post-Aichi,0.16977118076534445,0.14461092155843336
FALSE,Africa,0.17528945595430023,0.14119694616528544
FALSE,Asia,0.1485125979165636,0.1221018611158826
FALSE,C. America/Caribbean,0.15549900214582585,0.08159406476200869
FALSE,Europe,0.1832942202207929,0.17574744660697902
FALSE,N. America,0.15526798407607784,0.11411289713743274
FALSE,Oceania,0.17668681880877576,0.1617196672619824
FALSE,S. America,0.18143537177823696,0.14466548330073914
FALSE,Southern Islands,0.1610700410258469,0.13610557619726013
FALSE,High seas,0.1962431922403819,0.20523354911878883
TRUE,Global EEZ,0.17954132298595066,0.16262192002438167
TRUE,Global EEZ post-Aichi,0.18360140855811183,0.17313956579496098
TRUE,Africa,0.12807124625494118,0.11379557573497334
TRUE,Asia,0.1608861149247667,0.15077882230575726
TRUE,C. America/Caribbean,0.10781126494463858,0.03507610649468968
TRUE,Europe,0.14558369836168455,0.1515960546198596
TRUE,N. America,0.18556261007710645,0.15373839358351232
TRUE,Oceania,0.18258846366376652,0.17138000891500849
TRUE,S. America,0.19901125262266878,0.19214234252981507
TRUE,Southern Islands,0.15265270490138375,0.12632968965305222
TRUE,High seas,0.11211832541932583,0.05893481024159118
