iucn_sid,poly_range_km2
222,438250.676
224,134366.144
225,636374.633
229,839730.277
230,2060522.972
232,691756.71
235,372397.621
245,914582.759
907,232782.529
908,168330.137
1308,624921.678
1615,3286.816
1793,11817071.133
2055,1590404.095
2057,106237.111
2058,17506661.642
2059,3789074.538
2060,757469.06
2061,1298127.864
2062,13406492.19
2352,2905063.641
2467,3232247.924
2474,136058992.698
2475,168761760.551
2476,225098767.557
2477,207908027.011
2478,204225870.836
2480,171662072.076
2621,131001.301
2636,1433712.349
2644,173276.128
2762,104364986.822
2763,22590034.598
2895,34616.01
3381,3945502.139
3590,16894473.321
3764,71258.028
3778,72356148.118
3851,20813117.324
3852,13788436.508
3853,21432381.009
3854,10969863.045
3855,206262259.407
3897,153716656.112
4131,34849.599
4159,339799.366
4160,302258.84
4161,144991.014
4162,70764.838
4292,134995108.622
4360,95810.045
4361,37653.521
4362,303933.986
4363,30482.498
4364,853754.053
4615,178222667.707
4805,34561.344
4982,8743.384
5269,20913.853
5270,5433.175
5272,1085.877
5273,35344.13
5325,1656.132
5659,2435911.257
5668,6045219.042
6204,7692755.91
6229,6899207.5
6335,9691518.032
6336,80798960.346
6337,13122684.678
6494,86035322.24
6909,6228033.042
7134,411073.13
7135,3097623.767
7750,2026050.496
7778,775549.229
7854,523220.182
7855,670830.245
7858,17667538.807
7859,4315517.131
7860,1150495.877
7861,2767132.241
7862,2694947.132
8005,299265583.346
8010,9537456.087
8097,1824846.28
8153,86550874.909
8239,5860737.709
8551,208136992.874
9249,228614512.653
9250,133538487.326
9266,4519750.115
9281,568209.084
9461,236306208.835
9660,2052334.598
10030,12416720.178
10269,837194.107
10340,21451448.357
10707,24421371.047
10708,91323985.117
10724,806135.432
10939,186243.577
11030,791724.328
11047,254491860.33
11048,238618560.74
11060,11446156.503
11130,3355619.296
11140,175866465.456
11141,10327851.392
11142,12456939.287
11143,1670845.78
11144,62373676.2
11145,15292753.689
11146,7872774.662
11150,9766166.35
11200,103751379.342
11501,411073.131
11534,79914038.96
11696,21451448.357
12125,10432127.245
12126,86196522.156
12137,227633.035
12244,99406.609
12246,20571203.693
12302,18935783.921
12303,193053.729
12305,125851.819
12416,3734967.34
12417,4308126.548
12419,26162394.626
12421,827973.231
12427,4380302.527
13006,137034169.192
13145,10290.02
13232,705465.485
13241,14473718.672
13242,60373089.205
13243,13510416.045
13244,241018540.69
13245,45912565.482
13246,107523931.127
13247,92510548.421
13248,62859401.559
13249,86987082.485
13250,36502495.495
13251,21976519.152
13252,7768504.946
13581,10391082.132
13583,71383779.47
13653,291796.556
13654,284310.801
13704,3473855.185
14048,219450.787
14049,463241.253
14050,1076909.935
14051,105817.038
14052,236608.06
14053,293419.18
14054,2093873.708
14264,185238.817
14549,426822.194
15106,3454867.11
15184,29450.855
15269,20571203.693
15419,670344.196
15421,129500484.568
15873,5292549.856
15939,412457.599
16011,6638588.257
16012,10427802.376
16564,176146698.272
17013,3139629.384
17023,7138146.398
17026,876091.013
17027,10213521.382
17028,8408.12
17029,951513.638
17032,21538981.703
17245,36135.754
18145,107319.201
18374,19457.426
18376,249302.401
18510,72409.864
18596,194343192.1
19387,165252.329
19388,6087654.082
19488,171566475.77
19798,6627.531
19896,15853.722
19897,14076.254
19898,3809.032
19899,3833.021
19950,2302318.043
20047,285012.491
20425,175119.293
20724,34561.344
20729,209193833.178
20730,29669470.609
20731,252070563.972
20732,48546485.903
20733,197626283.015
20738,209505819.271
20795,702356.675
21326,73240.728
21341,2055419.446
21342,1208012.205
21343,1681462.757
21500,57340548.305
21628,159407.815
21689,34849.599
21855,665580.609
21856,198752930.377
21857,210022984.217
21858,66306927.726
21859,219093462.058
21860,31941031.992
21994,3437157.951
22003,113866.125
22103,1388333.171
22104,466077.182
22563,254856225.783
22823,22605612.374
23148,268010226.074
23211,291694500.896
23259,780304.606
31382,6767371.901
33705,5371204.66
34364,3910095.868
39303,3549804.931
39324,5976474.761
39327,822194.362
39328,735119.321
39329,1128995.982
39330,470576.338
39332,177906.27
39333,479638.968
39334,1324887.011
39335,154612.436
39336,179696327.305
39337,154057509.4
39338,201493963.567
39339,219604994.46
39341,222806060.505
39342,23962454.085
39345,278595.131
39346,135042.48
39347,1499610.005
39348,766556.393
39349,612952.888
39350,2809641.741
39351,782211.707
39352,11358932.145
39353,646291.598
39354,3881085.634
39355,848655.137
39356,816572.079
39357,3136856.017
39358,3627760.961
39359,5016214.887
39360,98905.051
39361,123295.104
39362,454886.345
39363,534576.395
39365,12401968.672
39366,10976807.056
39367,2199135.061
39368,15269687.285
39369,5764858.747
39370,166750352.692
39371,527936.371
39372,13002516.208
39374,180953364.315
39375,17691837.06
39378,26274284.427
39379,135435.449
39380,6068793.332
39381,278737441.703
39382,1935269.326
39383,5875957.816
39384,27615658.744
39385,27034378.111
39386,19440501.055
39387,4432083.834
39388,14434209.855
39389,3196664.886
39390,2305664.639
39393,3619152.5
39394,592123.138
39396,429934.259
39397,2931230.82
39399,5249338.958
39400,598755.907
39412,2682777.266
39413,12963816.302
39415,25432481.732
39416,534343.373
39418,1748621.71
39771,507400.664
39773,12976759.896
39774,10453093.349
40635,107043719.695
40711,30482.479
40797,8830194.574
41064,135769.044
41664,11586171.54
41665,2397073.719
41666,1636417.128
41668,103083.93
41670,8048740.257
41671,9513331.292
41672,NaN
41711,5990178.95
41712,16182316.149
41714,21800325.191
41715,46659253.436
41718,202730.116
41719,1275183.883
41720,137538.786
41721,12501.321
41722,406187.081
41723,473399.531
41724,490728.842
41725,294797.908
41726,213001.094
41727,809446.533
41728,137012.099
41729,519038.474
41730,5035166.196
41731,171219.4
41732,85770.462
41733,1977695.47
41734,7403253.198
41735,1382706.9
41736,3397081.44
41737,9647980.413
41738,8265270.964
41739,1352875.081
41740,252925.959
41741,7865915.716
41743,1188837.571
41746,820430.4
41747,5764219.118
41749,3768210.132
41752,790645.324
41753,702175.902
41754,1081968.355
41755,135495237.82
41759,44858.182
41760,25539241.782
41791,6382900.087
41792,7158931.591
41793,170290.5
41794,3644605.646
41795,241805.741
41796,1772506.838
41797,183542.662
41798,5167048.863
41799,619172.549
41800,598629.2
41801,9209159.799
41802,1884478.964
41804,53100.698
41805,52796.519
41806,553123.994
41807,376493.891
41808,124345.978
41809,55264.969
41810,9607291.425
41811,1248924.316
41812,281631.095
41813,168689.775
41814,499194.433
41816,4299891.571
41818,2857413.281
41819,135810.655
41820,1447894.555
41821,276239.102
41822,194325.547
41823,15220050.231
41824,106877.365
41825,4199502.941
41826,1380630.64
41827,846077.931
41828,1078956.509
41829,2175900.45
41830,2127596.737
41831,9654221.344
41832,11600929.397
41833,7996434.413
41835,12609375.62
41836,11116947.294
41837,890417.657
41838,360276.391
41839,581445.784
41840,1191599.872
41841,127259.117
41842,643197.129
