iucn_sid,pop_trend,iucn_version,iucn_rgn
222,decreasing,2018-1,global
224,decreasing,2018-1,global
225,decreasing,2018-1,global
228,decreasing,2018-1,global
229,decreasing,2018-1,global
230,decreasing,2018-1,global
231,decreasing,2018-1,global
232,decreasing,2018-1,global
233,stable,2018-1,global
234,stable,2018-1,global
235,decreasing,2018-1,global
236,decreasing,2018-1,global
241,decreasing,2018-1,global
242,decreasing,2018-1,global
243,increasing,2018-1,global
244,decreasing,2018-1,global
245,increasing,2018-1,global
903,unknown,2018-1,global
904,stable,2018-1,global
906,unknown,2018-1,global
907,decreasing,2018-1,global
908,decreasing,2018-1,global
1086,unknown,2018-1,global
1118,unknown,2018-1,global
1308,unknown,2018-1,global
1615,unknown,2018-1,global
1793,decreasing,2018-1,global
2055,increasing,2018-1,global
2057,decreasing,2018-1,global
2058,decreasing,2018-1,global
2059,increasing,2018-1,global
2060,increasing,2018-1,global
2061,increasing,2018-1,global
2062,stable,2018-1,global
2064,unknown,2018-1,global
2066,increasing,2018-1,global
2067,increasing,2018-1,global
2113,unknown,2018-1,global
2352,unknown,2018-1,global
2467,increasing,2018-1,global
2469,decreasing,2018-1,global
2472,unknown,2018-1,global
2474,stable,2018-1,global
2475,unknown,2018-1,global
2476,unknown,2018-1,global
2477,increasing,2018-1,global
2478,unknown,2018-1,global
2479,NA,2018-1,global
2480,unknown,2018-1,global
2482,NA,2018-1,global
2539,decreasing,2018-1,global
2621,unknown,2018-1,global
2644,unknown,2018-1,global
2761,unknown,2018-1,global
2762,unknown,2018-1,global
2763,unknown,2018-1,global
2895,unknown,2018-1,global
3381,stable,2018-1,global
3590,decreasing,2018-1,global
3755,stable,2018-1,global
3764,unknown,2018-1,global
3778,unknown,2018-1,global
3851,unknown,2018-1,global
3852,decreasing,2018-1,global
3853,decreasing,2018-1,global
3854,unknown,2018-1,global
3855,unknown,2018-1,global
3897,decreasing,2018-1,global
4131,stable,2018-1,global
4159,unknown,2018-1,global
4160,decreasing,2018-1,global
4161,unknown,2018-1,global
4162,decreasing,2018-1,global
4292,decreasing,2018-1,global
4360,stable,2018-1,global
4361,stable,2018-1,global
4362,stable,2018-1,global
4363,unknown,2018-1,global
4364,stable,2018-1,global
4592,decreasing,2018-1,global
4615,decreasing,2018-1,global
4801,decreasing,2018-1,global
4805,unknown,2018-1,global
4982,decreasing,2018-1,global
4987,unknown,2018-1,global
5272,unknown,2018-1,global
5273,unknown,2018-1,global
5325,unknown,2018-1,global
5360,unknown,2018-1,global
5362,NA,2018-1,global
5363,unknown,2018-1,global
5375,unknown,2018-1,global
5380,NA,2018-1,global
5659,increasing,2018-1,global
5660,decreasing,2018-1,global
5667,stable,2018-1,global
5675,unknown,2018-1,global
6026,decreasing,2018-1,global
6031,NA,2018-1,global
6040,decreasing,2018-1,global
6041,stable,2018-1,global
6042,decreasing,2018-1,global
6043,decreasing,2018-1,global
6045,decreasing,2018-1,global
6069,NA,2018-1,global
6204,unknown,2018-1,global
6229,unknown,2018-1,global
6335,unknown,2018-1,global
6336,unknown,2018-1,global
6337,unknown,2018-1,global
6494,decreasing,2018-1,global
6814,decreasing,2018-1,global
6909,decreasing,2018-1,global
6930,NA,2018-1,global
7121,NA,2018-1,global
7134,unknown,2018-1,global
7135,stable,2018-1,global
7750,decreasing,2018-1,global
7778,stable,2018-1,global
7854,unknown,2018-1,global
7855,unknown,2018-1,global
7858,decreasing,2018-1,global
7859,decreasing,2018-1,global
7860,unknown,2018-1,global
7861,decreasing,2018-1,global
7862,decreasing,2018-1,global
8005,decreasing,2018-1,global
8010,unknown,2018-1,global
8012,unknown,2018-1,global
8013,unknown,2018-1,global
8097,stable,2018-1,global
8099,increasing,2018-1,global
8153,unknown,2018-1,global
8165,stable,2018-1,global
8239,increasing,2018-1,global
8407,unknown,2018-1,global
8408,unknown,2018-1,global
8551,unknown,2018-1,global
8817,decreasing,2018-1,global
8951,stable,2018-1,global
9249,unknown,2018-1,global
9250,unknown,2018-1,global
9266,stable,2018-1,global
9281,decreasing,2018-1,global
9461,unknown,2018-1,global
9660,increasing,2018-1,global
10030,unknown,2018-1,global
10056,decreasing,2018-1,global
10057,unknown,2018-1,global
10063,unknown,2018-1,global
10064,unknown,2018-1,global
10065,unknown,2018-1,global
10066,decreasing,2018-1,global
10069,unknown,2018-1,global
10070,decreasing,2018-1,global
10072,decreasing,2018-1,global
10074,unknown,2018-1,global
10075,decreasing,2018-1,global
10077,unknown,2018-1,global
10082,decreasing,2018-1,global
10083,unknown,2018-1,global
10087,decreasing,2018-1,global
10088,decreasing,2018-1,global
10089,stable,2018-1,global
10103,stable,2018-1,global
10268,decreasing,2018-1,global
10269,decreasing,2018-1,global
10276,stable,2018-1,global
10303,NA,2018-1,global
10310,unknown,2018-1,global
10329,decreasing,2018-1,global
10340,unknown,2018-1,global
10707,unknown,2018-1,global
10708,unknown,2018-1,global
10722,decreasing,2018-1,global
10800,decreasing,2018-1,global
10939,unknown,2018-1,global
10960,unknown,2018-1,global
11030,unknown,2018-1,global
11047,unknown,2018-1,global
11048,unknown,2018-1,global
11060,stable,2018-1,global
11130,decreasing,2018-1,global
11140,unknown,2018-1,global
11141,unknown,2018-1,global
11142,unknown,2018-1,global
11143,unknown,2018-1,global
11144,unknown,2018-1,global
11145,unknown,2018-1,global
11146,unknown,2018-1,global
11150,decreasing,2018-1,global
11200,decreasing,2018-1,global
11206,unknown,2018-1,global
11375,unknown,2018-1,global
11534,decreasing,2018-1,global
11696,unknown,2018-1,global
11987,decreasing,2018-1,global
12006,decreasing,2018-1,global
12125,unknown,2018-1,global
12126,unknown,2018-1,global
12137,decreasing,2018-1,global
12143,decreasing,2018-1,global
12246,unknown,2018-1,global
12302,stable,2018-1,global
12303,decreasing,2018-1,global
12304,decreasing,2018-1,global
12305,decreasing,2018-1,global
12416,decreasing,2018-1,global
12417,decreasing,2018-1,global
12419,decreasing,2018-1,global
12420,decreasing,2018-1,global
12421,decreasing,2018-1,global
12427,decreasing,2018-1,global
13006,increasing,2018-1,global
13145,decreasing,2018-1,global
13232,unknown,2018-1,global
13241,unknown,2018-1,global
13242,unknown,2018-1,global
13243,unknown,2018-1,global
13244,unknown,2018-1,global
13245,unknown,2018-1,global
13246,unknown,2018-1,global
13247,unknown,2018-1,global
13248,unknown,2018-1,global
13249,unknown,2018-1,global
13250,unknown,2018-1,global
13251,unknown,2018-1,global
13427,stable,2018-1,global
13581,increasing,2018-1,global
13583,stable,2018-1,global
13653,increasing,2018-1,global
13654,decreasing,2018-1,global
13655,NA,2018-1,global
13704,unknown,2018-1,global
13891,unknown,2018-1,global
14048,unknown,2018-1,global
14049,decreasing,2018-1,global
14050,decreasing,2018-1,global
14051,unknown,2018-1,global
14052,decreasing,2018-1,global
14053,decreasing,2018-1,global
14054,unknown,2018-1,global
14128,increasing,2018-1,global
14214,stable,2018-1,global
14264,decreasing,2018-1,global
14521,unknown,2018-1,global
14524,unknown,2018-1,global
14549,decreasing,2018-1,global
14629,unknown,2018-1,global
15106,unknown,2018-1,global
15108,unknown,2018-1,global
15184,unknown,2018-1,global
15239,unknown,2018-1,global
15269,unknown,2018-1,global
15419,decreasing,2018-1,global
15421,unknown,2018-1,global
15549,stable,2018-1,global
15631,unknown,2018-1,global
15873,unknown,2018-1,global
15939,NA,2018-1,global
15968,unknown,2018-1,global
16012,unknown,2018-1,global
16238,decreasing,2018-1,global
16474,unknown,2018-1,global
16475,decreasing,2018-1,global
16476,unknown,2018-1,global
16559,decreasing,2018-1,global
16564,unknown,2018-1,global
16781,stable,2018-1,global
17013,unknown,2018-1,global
17014,unknown,2018-1,global
17020,unknown,2018-1,global
17021,unknown,2018-1,global
17022,increasing,2018-1,global
17023,unknown,2018-1,global
17026,decreasing,2018-1,global
17027,unknown,2018-1,global
17028,decreasing,2018-1,global
17029,unknown,2018-1,global
17030,decreasing,2018-1,global
17031,decreasing,2018-1,global
17032,unknown,2018-1,global
17096,decreasing,2018-1,global
17177,decreasing,2018-1,global
17245,unknown,2018-1,global
17977,unknown,2018-1,global
17978,decreasing,2018-1,global
18145,unknown,2018-1,global
18175,decreasing,2018-1,global
18374,unknown,2018-1,global
18376,unknown,2018-1,global
18383,decreasing,2018-1,global
18428,unknown,2018-1,global
18458,NA,2018-1,global
18460,unknown,2018-1,global
18596,unknown,2018-1,global
18711,decreasing,2018-1,global
18878,stable,2018-1,global
19330,stable,2018-1,global
19387,unknown,2018-1,global
19388,stable,2018-1,global
19401,decreasing,2018-1,global
19488,decreasing,2018-1,global
19735,unknown,2018-1,global
19782,unknown,2018-1,global
19855,NA,2018-1,global
19861,unknown,2018-1,global
19877,unknown,2018-1,global
19897,unknown,2018-1,global
19950,decreasing,2018-1,global
20047,decreasing,2018-1,global
20314,decreasing,2018-1,global
20315,decreasing,2018-1,global
20316,unknown,2018-1,global
20318,unknown,2018-1,global
20425,decreasing,2018-1,global
20724,unknown,2018-1,global
20729,unknown,2018-1,global
20730,unknown,2018-1,global
20731,unknown,2018-1,global
20732,unknown,2018-1,global
20733,unknown,2018-1,global
20738,unknown,2018-1,global
20745,NA,2018-1,global
20795,unknown,2018-1,global
20860,unknown,2018-1,global
20862,unknown,2018-1,global
21257,unknown,2018-1,global
21326,NA,2018-1,global
21341,decreasing,2018-1,global
21342,unknown,2018-1,global
21343,decreasing,2018-1,global
21500,unknown,2018-1,global
21628,unknown,2018-1,global
21689,unknown,2018-1,global
21856,decreasing,2018-1,global
21857,decreasing,2018-1,global
21858,decreasing,2018-1,global
21859,decreasing,2018-1,global
21860,decreasing,2018-1,global
21994,unknown,2018-1,global
22003,decreasing,2018-1,global
22102,decreasing,2018-1,global
22103,decreasing,2018-1,global
22104,unknown,2018-1,global
22105,decreasing,2018-1,global
22383,stable,2018-1,global
22563,unknown,2018-1,global
22781,increasing,2018-1,global
22823,unknown,2018-1,global
22979,unknown,2018-1,global
23141,decreasing,2018-1,global
23148,decreasing,2018-1,global
23211,unknown,2018-1,global
23259,stable,2018-1,global
31382,decreasing,2018-1,global
32042,unknown,2018-1,global
33705,decreasing,2018-1,global
34364,decreasing,2018-1,global
37930,NA,2018-1,global
38559,decreasing,2018-1,global
39070,stable,2018-1,global
39084,stable,2018-1,global
39086,stable,2018-1,global
39087,NA,2018-1,global
39098,stable,2018-1,global
39105,stable,2018-1,global
39106,stable,2018-1,global
39107,stable,2018-1,global
39109,stable,2018-1,global
39303,decreasing,2018-1,global
39324,unknown,2018-1,global
39327,stable,2018-1,global
39328,decreasing,2018-1,global
39329,decreasing,2018-1,global
39330,decreasing,2018-1,global
39331,decreasing,2018-1,global
39332,decreasing,2018-1,global
39333,unknown,2018-1,global
39334,stable,2018-1,global
39335,decreasing,2018-1,global
39336,unknown,2018-1,global
39337,unknown,2018-1,global
39338,unknown,2018-1,global
39339,decreasing,2018-1,global
39340,decreasing,2018-1,global
39341,decreasing,2018-1,global
39342,stable,2018-1,global
39343,decreasing,2018-1,global
39344,decreasing,2018-1,global
39345,unknown,2018-1,global
39347,unknown,2018-1,global
39349,unknown,2018-1,global
39350,unknown,2018-1,global
39351,increasing,2018-1,global
39352,decreasing,2018-1,global
39354,stable,2018-1,global
39355,stable,2018-1,global
39356,increasing,2018-1,global
39357,unknown,2018-1,global
39358,decreasing,2018-1,global
39359,unknown,2018-1,global
39361,decreasing,2018-1,global
39362,unknown,2018-1,global
39363,unknown,2018-1,global
39366,unknown,2018-1,global
39368,unknown,2018-1,global
39369,unknown,2018-1,global
39370,decreasing,2018-1,global
39371,decreasing,2018-1,global
39372,unknown,2018-1,global
39373,unknown,2018-1,global
