iucn_sid,iucn_rgn,pop_trend
10016,global,NA
10017,global,NA
10018,global,NA
10019,global,NA
10020,global,NA
10021,global,NA
10030,global,unknown
10056,global,decreasing
10057,global,unknown
10060,global,unknown
10063,global,unknown
10064,global,unknown
10065,global,unknown
10066,global,decreasing
10069,global,unknown
10070,global,decreasing
10072,global,decreasing
10074,global,unknown
10075,global,decreasing
10077,global,unknown
10082,global,decreasing
10083,global,unknown
10087,global,decreasing
10088,global,decreasing
10089,global,stable
10097,global,NA
10105,global,NA
10106,global,NA
101729662,global,unknown
101730467,global,unknown
101730582,global,unknown
10268,global,decreasing
10269,global,decreasing
10273,global,NA
102998555,global,decreasing
10303,global,NA
103055306,global,unknown
103055459,global,unknown
10340,global,unknown
103422139,global,unknown
103636217,global,unknown
103645058,global,unknown
103645074,global,unknown
103645092,global,unknown
103645102,global,unknown
103645110,global,unknown
103645248,global,unknown
103670928,global,decreasing
103670944,global,decreasing
103684104,global,unknown
103684251,global,unknown
103684273,global,unknown
103684425,global,unknown
103684487,global,unknown
103685136,global,unknown
103686062,global,unknown
103686142,global,unknown
103686485,global,unknown
103687308,global,stable
103693422,global,unknown
103707192,global,unknown
103707407,global,unknown
103727557,global,increasing
103727590,global,stable
103773898,global,decreasing
103798407,global,decreasing
103798418,global,stable
103817982,global,stable
103818044,global,stable
104006414,global,unknown
104006526,global,increasing
104007058,global,decreasing
104019954,global,decreasing
104023514,global,decreasing
104050689,global,decreasing
104061138,global,decreasing
104062546,global,stable
104062579,global,decreasing
104176764,global,decreasing
10707,global,unknown
10708,global,unknown
10724,global,unknown
107259870,global,decreasing
107261083,global,decreasing
107261198,global,unknown
107261486,global,unknown
107604242,global,unknown
107604828,global,unknown
107604987,global,decreasing
1086,global,unknown
10939,global,unknown
11030,global,unknown
110462086,global,decreasing
11047,global,unknown
11048,global,unknown
11060,global,stable
11130,global,decreasing
11140,global,unknown
11141,global,unknown
11142,global,unknown
11143,global,unknown
11144,global,unknown
11145,global,unknown
11146,global,unknown
11150,global,decreasing
11191,global,NA
11200,global,decreasing
112664049,global,unknown
112664063,global,unknown
112664105,global,unknown
112664138,global,unknown
11368,global,NA
11375,global,unknown
114155281,global,unknown
114155385,global,unknown
114155455,global,unknown
114155499,global,unknown
114155541,global,unknown
114156725,global,unknown
114157206,global,unknown
114164022,global,unknown
114164094,global,unknown
114164251,global,unknown
114165891,global,stable
114167535,global,unknown
114168358,global,unknown
114168486,global,unknown
114172380,global,unknown
114172439,global,unknown
114172794,global,unknown
114172998,global,unknown
114173026,global,unknown
114173059,global,unknown
114173064,global,unknown
114173325,global,unknown
114173401,global,unknown
114173439,global,unknown
114173725,global,unknown
114175236,global,unknown
114175363,global,stable
114175462,global,unknown
114175552,global,unknown
114175593,global,unknown
114175639,global,unknown
114175703,global,unknown
114176786,global,unknown
114177120,global,unknown
114177474,global,unknown
114177531,global,unknown
114177614,global,unknown
114177681,global,unknown
114177913,global,unknown
114178035,global,unknown
114178081,global,unknown
114178119,global,unknown
114178151,global,unknown
114178239,global,unknown
114178331,global,unknown
114178375,global,unknown
114178416,global,unknown
114178539,global,unknown
114178601,global,unknown
114178726,global,unknown
114179335,global,unknown
114179392,global,unknown
114179475,global,unknown
114179505,global,stable
114179753,global,stable
114179950,global,unknown
114179968,global,stable
114180058,global,stable
114180108,global,unknown
114180377,global,unknown
114180416,global,unknown
114180444,global,unknown
114180459,global,unknown
114180492,global,unknown
114180533,global,unknown
114180644,global,unknown
114192257,global,unknown
114192261,global,unknown
114192438,global,unknown
114192542,global,unknown
114192573,global,unknown
114192579,global,unknown
114192667,global,unknown
114192721,global,unknown
114683109,global,unknown
114823717,global,decreasing
114828525,global,decreasing
114842931,global,decreasing
11501,global,NA
11502,global,unknown
11533,global,unknown
11534,global,decreasing
116847578,global,unknown
116855477,global,unknown
116856245,global,unknown
116857982,global,stable
116858686,global,unknown
116863205,global,unknown
116863615,global,unknown
116863801,global,unknown
116864194,global,unknown
116864416,global,unknown
116878521,global,unknown
116878536,global,unknown
116878550,global,unknown
116878564,global,unknown
116878608,global,unknown
116878630,global,unknown
116880225,global,unknown
116880357,global,decreasing
11696,global,unknown
117006624,global,unknown
117007082,global,unknown
117007235,global,unknown
117007332,global,stable
117007442,global,unknown
117007700,global,unknown
117007716,global,unknown
117007746,global,unknown
117007764,global,unknown
117007856,global,unknown
117007988,global,unknown
117008020,global,unknown
117008133,global,unknown
117008207,global,unknown
117008255,global,unknown
117008369,global,unknown
117008482,global,unknown
117008614,global,unknown
117008646,global,unknown
117008661,global,unknown
117008689,global,unknown
117008715,global,unknown
117008727,global,unknown
