iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
222,global,"1994, 1996, 2004","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
224,global,"1996, 2010, 2011","VU, CR, CR","0.4, 0.8, 0.8",decreasing,0.02749
225,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
229,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
230,global,"1994, 1996, 2010","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.00789
232,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
233,global,"1996, 2006","VU, NT","0.4, 0.2",stable,-0.02
234,global,"1996, 2004","NT, LC","0.2, 0",stable,-0.025
235,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
236,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
241,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
242,global,"1996, 2006","NT, VU","0.2, 0.4",decreasing,0.02
243,global,"1994, 1996, 2006","VU, NT, NT","0.4, 0.2, 0.2",increasing,-0.01129
245,global,"1996, 2006","NT, NT","0.2, 0.2",increasing,0
1086,global,"1994, 1996, 2004","EN, VU, VU","0.6, 0.4, 0.4",unknown,-0.01429
1308,global,"1996, 2015","EN, LC","0.6, 0",unknown,-0.03158
1615,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
1793,global,"1996, 2000, 2004, 2008, 2015","LC, LC, LC, LC, NT","0, 0, 0, 0, 0.2",decreasing,0.00967
2055,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",increasing,0
2057,global,"1996, 2008, 2015","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01119
2058,global,"1996, 2008, 2014, 2016","LC, LC, LC, LC","0, 0, 0, 0",decreasing,0
2059,global,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2060,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
2061,global,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2062,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",stable,0
2064,global,"1996, 2016","LC, LC","0, 0",unknown,0
2066,global,"1996, 2015","LC, LC","0, 0",increasing,0
2067,global,"1996, 2015","LC, LC","0, 0",increasing,0
2113,global,"1996, 2004, 2016","LC, LC, LC","0, 0, 0",unknown,0
2467,global,"1994, 1996, 2008, 2012, 2018","VU, VU, LC, LC, LC","0.4, 0.4, 0, 0, 0",increasing,-0.01985
2469,global,"1996, 2012, 2018","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
2472,global,"1996, 2000, 2008, 2012, 2018","EN, CR, CR, CR, EN","0.6, 0.8, 0.8, 0.8, 0.6",unknown,-2.5e-4
2474,global,"1996, 2008, 2018","NT, LC, LC","0.2, 0, 0",unknown,-0.00934
2475,global,"1994, 1996, 2008, 2018","VU, EN, EN, EN","0.4, 0.6, 0.6, 0.6",increasing,0.00532
