am_sid,area_km2_0pct,area_km2_60pct,area_km2_probwt
Biv-32126,1197806.63,596920.7,725424.2131
Bra-235673,13895.960000000001,10327.98,10208.2324
Brc-378165,502460.21,383661.12,362005.3785
Chn-013ca97e-46a8-4c5e-b398-8bb4f340f88b,10079349.24,4748274.02,5366887.6417
Chn-015453c0-3ff9-477d-ab51-c68d85e65af5,11300067.99,9221815.79,9352804.7496
Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,33846838.22,18333914.54,20283402.5477
Chn-08d9eb73-87c3-4b8a-8861-baf5b2862d8c,18020938.65,12004958.42,12818371.0214
Chn-0e470b93-1bf9-4c28-8770-166bb5e2a8c7,8042959.18,3755770.61,4441166.0168
Chn-0e9cfa5e-eab6-490e-9279-34eeeb127eb2,8604293.28,7085145.73,7212368.7608
Chn-12f493b8-a962-48d7-af4b-632ba9c0fa57,9649645.18,7816560.5,8043860.4074
Chn-17d15aec-37c6-4c6a-88d2-9c350613076a,13561379,9629527.2,9941158.7838
Chn-21252d4f-8095-42f9-a7e5-67236bb3099d,7348711.36,6607068.61,6636479.407
Chn-27d923b5-53c3-4d53-aa10-1f02bea6dd01,9409966.28,6277001.84,6657307.2345
Chn-2b605750-6865-42dd-9798-32cfbc2ac7d5,9661588.16,5258767.76,5776020.0847000005
Chn-2bd2f979-5bbd-4725-93f0-c2b66a1e0a2d,7447204.8,5532394.17,5708841.3615
Chn-2d96ad09-2772-4579-b6d6-96420751b7ec,11702177.51,4887994.27,6596782.0327
Chn-2ddce54e-f195-404c-a982-bc296b2a7e64,8606434.03,5735992.76,5879865.1278
Chn-2f5a48ac-ec54-40e1-9a03-ce2be006ee68,10040017.11,7190221.49,7456227.2427
Chn-335d884d-9fab-419b-85fb-ed0a94ffe255,2611876.59,1771429.31,1848245.1907
Chn-364c26b3-84d3-460d-9d53-2d3d5d4352f8,10917082.74,8488984.59,8737266.8455
Chn-3953473a-c9d7-4719-9fdb-dabfd375b330,9502523.89,6172505.11,6687907.0413
Chn-3d368bae-a02b-4109-99a3-33d99b22f83d,3626134.89,2367486.27,2514276.3664
Chn-4251039a-f032-49e7-b4d0-767e2a6b6326,9217991.02,6121941.18,6526735.2377
Chn-42aeac39-f607-4ee5-bce7-0294bbc61fde,7567588.65,5991889.59,6235359.3746
Chn-46f58c2c-1280-4f6a-a148-e854c19246fe,9099855.24,6475074.05,6779401.1493
