am_sid,sciname,common_name,kingdom,phylum,class,iucn_sid,taxa
Fis-26653,Pomadasys stridens,Striped piggy,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-28123,Albula glossodonta,Roundjaw bonefish,Animalia,Chordata,Actinopterygii,194299,bony fish
Fis-22770,Alosa alosa,Allis shad,Animalia,Chordata,Actinopterygii,903,bony fish
Fis-23465,Cheilopogon furcatus,Spotfin flyingfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-52020,Thalassoma ascensionis,Greenfish,Animalia,Chordata,Actinopterygii,21689,bony fish
Fis-1646,Pegusa nasuta,Blackhand sole,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-22868,Coregonus albula,Vendace,Animalia,Chordata,Actinopterygii,5360,bony fish
Fis-25886,Brachaelurus waddi,Blind shark,Animalia,Chordata,Elasmobranchii,41732,cart fish
Fis-52319,Alepocephalus triangularis,Triangulate slickhead,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-32587,Rhabdosargus thorpei,Bigeye stumpnose,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-26147,Saurida tumbil,Greater lizardfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-25680,Acanthopagrus berda,Goldsilk seabream,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-150758,Eleginus nawaga,Navaga,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-54327,Scorpaenopsis oxycephala,Tassled scorpionfish,Animalia,Chordata,Actinopterygii,NA,bony fish
Fis-56329,Coelorinchus kishinouyei,Mugura grenadier,Animalia,Chordata,Actinopterygii,NA,bony fish
SLB-11826,Funchalia woodwardi,Woodward's pelagic shrimp,Animalia,Arthropoda,Malacostraca,NA,invertebrate
SLB-61985,Cladocora arbuscula,tube coral,Animalia,Cnidaria,Anthozoa,133575,invertebrate
ITS-Mam-612598,Mesoplodon traversii,spade-toothed beaked whale,Animalia,Chordata,Mammalia,41760,mammal
ITS-Mam-180450,Cephalorhynchus eutropia,black dolphin,Animalia,Chordata,Mammalia,4160,mammal
ITS-73297,Nucella lapillus,Atlantic dogwinkle,Animalia,Mollusca,Gastropoda,NA,invertebrate
W-Msc-600713,Morula uva,NA,Animalia,Mollusca,Gastropoda,NA,invertebrate
W-Msc-576828,Tonna olearium,oily tun,Animalia,Mollusca,Gastropoda,NA,invertebrate
ITS-567355,Chicoreus pomum,apple murex,Animalia,Mollusca,Gastropoda,NA,invertebrate
ITS-Mam-180420,Sousa teuszii,Atlantic hump-backed dolphin,Animalia,Chordata,Mammalia,20425,mammal
W-Bch-107382,Charybdis hellerii,spiny hands,Animalia,Arthropoda,Malacostraca,NA,invertebrate
ITS-Mam-180635,Arctocephalus philippii,Juan Fernandez fur seal,Animalia,Chordata,Mammalia,2059,mammal
ITS-96967,Pandalus borealis,northern shrimp,Animalia,Arthropoda,Malacostraca,NA,invertebrate
ITS-Mam-180513,Mesoplodon bowdoini,Andrew's beaked whale,Animalia,Chordata,Mammalia,13242,mammal
SLB-93966,Ceratosoma amoena,clown nudibranch,Animalia,Mollusca,Gastropoda,NA,invertebrate
SLB-93407,Murex tribulus,caltrop murex,Animalia,Mollusca,Gastropoda,NA,invertebrate
SLB-76656,Cymatium aquatile,Aquatile hairy triton,Animalia,Mollusca,Gastropoda,NA,invertebrate
Bra-235673,Dyscritosia secreta,NA,Animalia,Brachiopoda,Articulata,NA,invertebrate
W-Bch-208825,Charybdis truncata,blunt-toothed crab,Animalia,Arthropoda,Malacostraca,NA,invertebrate
