eez,loiczid
1,4578
1,4579
1,4580
1,4581
1,4582
1,4583
1,4584
1,4585
1,4586
1,4587
1,4588
1,4589
1,4590
1,4591
1,4592
1,4593
1,4594
1,4595
1,4596
1,4597
1,4598
1,4599
1,4600
1,4601
1,4602
1,4603
1,4604
1,4605
1,4606
1,4607
1,4608
1,4609
1,4610
1,4611
1,4612
1,4613
1,4614
1,4615
1,4616
1,4617
1,4618
1,4619
1,4620
1,4621
1,4622
1,4623
1,4624
1,4625
1,4626
1,4627
1,4628
1,4629
1,4630
1,4631
1,4632
1,4633
1,4634
1,4635
1,4636
1,4637
1,4638
1,4639
1,4640
1,4641
1,4642
1,4643
1,4644
1,4645
1,4646
1,4647
1,4648
1,4649
1,4650
1,4651
1,4652
1,5225
1,5226
1,5227
1,5228
1,5229
1,5230
1,5231
1,5232
1,5233
1,5234
1,5235
1,5236
1,5237
1,5238
1,5239
1,5240
1,5241
1,5242
1,5243
1,5244
1,5245
1,5246
1,5247
1,5248
1,5249
1,5250
1,5251
1,5252
1,5253
1,5254
1,5255
1,5256
1,5257
1,5258
1,5259
1,5260
1,5261
1,5262
1,5263
1,5264
1,5265
1,5266
1,5267
1,5268
1,5269
1,5270
1,5271
1,5272
1,5273
1,5274
1,5275
1,5276
1,5277
1,5278
1,5279
1,5280
1,5281
1,5282
1,5283
1,5284
1,5285
1,5286
1,5287
1,5288
1,5289
1,5290
1,5291
1,5292
1,5293
1,5294
1,5295
1,5296
1,5297
1,5298
1,5299
1,5300
1,5301
1,5302
1,5303
1,5304
1,5305
1,5306
1,5307
1,5308
1,5309
1,5310
1,5311
1,5312
1,5313
1,5314
1,5315
1,5316
1,5317
1,5318
1,5319
1,5320
1,5321
1,5322
1,5323
1,5324
1,5325
1,5326
1,5327
1,5328
1,5329
1,5330
1,5331
1,5332
1,5333
1,5334
1,5335
1,5336
1,5337
1,5338
1,5339
1,5340
1,5341
1,5342
1,5343
1,5344
1,5345
1,5346
1,5347
1,5348
1,5349
1,5350
1,5351
1,5352
1,5353
1,5354
1,5355
1,5356
1,5357
1,5358
1,5359
1,5360
1,5361
1,5362
1,5363
1,5364
1,5365
1,5366
1,5367
1,5368
1,5369
1,5370
1,5371
1,5372
1,5373
1,5374
1,5375
1,5376
1,5377
1,5378
1,5379
1,5380
1,5381
1,5382
1,5383
1,5384
1,5385
1,5386
1,5387
1,5388
1,5389
1,5390
1,5924
1,5925
1,5926
1,5927
1,5928
1,5929
1,5930
1,5931
1,5932
1,5933
1,5934
1,5935
1,5936
1,5937
1,5938
1,5939
1,5940
1,5941
1,5942
1,5943
1,5944
1,5945
1,5946
1,5947
1,5948
1,5949
1,5950
1,5951
1,5952
1,5953
1,5954
1,5955
1,5956
1,5957
1,5958
1,5959
1,5960
1,5961
1,5962
1,5963
1,5964
1,5965
1,5966
1,5967
1,5968
1,5969
1,5970
1,5971
1,5972
1,5973
1,5974
1,5975
1,5976
1,5977
1,5978
1,5979
1,5980
1,5981
1,5982
1,5983
1,5984
1,5985
1,5986
1,5987
1,5988
1,5989
1,5990
1,5991
1,5992
1,5993
1,5994
1,5995
1,5996
1,5997
1,5998
1,5999
1,6e3
1,6001
1,6002
1,6003
1,6004
1,6005
1,6006
1,6007
1,6008
1,6009
1,6010
1,6011
1,6012
1,6013
1,6014
1,6015
1,6016
1,6017
1,6018
1,6019
1,6020
1,6021
1,6022
1,6023
1,6024
1,6025
1,6026
1,6027
1,6028
1,6029
1,6030
1,6031
1,6032
1,6033
1,6034
1,6035
1,6036
1,6037
1,6038
1,6039
1,6040
1,6041
1,6042
1,6043
1,6044
1,6045
1,6046
1,6047
1,6048
1,6049
1,6050
1,6051
1,6052
1,6053
1,6054
1,6055
1,6056
1,6057
1,6058
1,6059
1,6060
1,6061
1,6062
1,6063
1,6064
1,6065
1,6066
1,6067
1,6068
1,6069
1,6070
1,6071
1,6072
1,6073
1,6074
1,6075
1,6076
1,6077
1,6078
1,6079
1,6080
1,6081
1,6082
1,6083
1,6084
1,6085
1,6086
1,6087
1,6088
1,6089
1,6090
1,6091
1,6092
1,6093
1,6094
1,6095
1,6096
1,6097
1,6098
1,6099
1,6100
1,6101
1,6102
1,6103
1,6104
1,6105
1,6106
1,6107
1,6108
1,6109
1,6110
1,6111
1,6112
1,6113
1,6114
1,6115
1,6116
1,6117
1,6118
1,6119
1,6120
1,6121
1,6633
1,6634
1,6635
1,6636
1,6637
1,6638
1,6639
1,6640
1,6641
1,6642
1,6643
1,6644
1,6645
1,6646
1,6647
1,6648
1,6649
1,6650
1,6651
1,6652
1,6653
1,6654
1,6655
1,6656
1,6657
1,6658
1,6659
1,6660
1,6661
1,6662
1,6663
1,6664
1,6665
1,6666
1,6667
1,6668
1,6669
1,6670
1,6671
1,6672
1,6673
1,6674
1,6675
1,6676
1,6677
1,6678
1,6679
1,6680
1,6681
1,6682
1,6683
1,6684
1,6685
1,6686
1,6687
1,6688
1,6689
1,6690
1,6691
1,6692
1,6693
1,6694
1,6695
1,6696
1,6697
1,6698
1,6699
1,6700
1,6701
1,6702
1,6703
1,6704
1,6705
1,6706
1,6707
1,6708
1,6709
1,6710
1,6711
1,6712
1,6713
1,6714
1,6715
1,6716
1,6717
1,6718
1,6719
1,6720
1,6721
1,6722
1,6723
1,6724
1,6725
1,6726
1,6727
1,6728
1,6729
1,6730
1,6731
1,6732
1,6733
1,6734
1,6735
1,6736
1,6737
1,6738
1,6739
1,6740
1,6741
1,6742
1,6743
1,6744
1,6745
1,6746
1,6747
1,6748
1,6749
1,6750
1,6751
1,6752
1,6753
1,6754
1,6755
1,6756
1,6757
1,6758
1,6759
1,6760
1,6761
1,6762
1,6763
1,6764
1,6765
1,6766
1,6767
1,6768
1,6769
1,6770
1,6771
1,6772
1,6773
1,6774
1,6775
1,6776
1,6777
1,6778
1,6779
1,6780
1,6781
1,6782
1,6783
1,6784
1,6785
1,6786
1,6787
1,6788
1,6789
1,6790
1,6791
1,6792
1,6793
1,6794
1,6795
1,6796
1,6797
1,6798
1,6799
1,6800
1,6801
1,6802
1,6803
1,6804
1,6805
1,6806
1,6807
1,6808
1,6809
1,6810
1,6811
1,6812
1,6813
1,6814
1,6815
1,6816
1,6817
1,6818
1,6819
1,6820
1,6821
1,6822
1,6823
1,6824
1,6825
1,6826
1,6827
1,6828
1,6829
1,6830
1,6831
1,6832
1,6833
1,6834
1,6835
1,6836
1,6837
1,6838
1,6839
1,6840
1,6841
1,6842
1,6843
1,6844
1,6845
1,6846
1,7346
1,7347
1,7348
1,7349
1,7350
1,7351
1,7352
1,7353
1,7354
1,7355
1,7356
1,7357
1,7358
1,7359
1,7360
1,7361
1,7362
1,7363
1,7364
1,7365
1,7366
1,7367
1,7368
1,7369
1,7370
1,7371
1,7372
1,7373
1,7374
1,7375
1,7376
1,7377
1,7378
1,7379
1,7380
1,7381
1,7382
1,7383
1,7384
1,7385
1,7386
1,7387
1,7388
1,7389
1,7390
1,7391
1,7392
1,7393
1,7394
1,7395
1,7396
1,7397
1,7398
1,7399
1,7400
1,7401
1,7402
1,7403
1,7404
1,7405
1,7406
1,7407
1,7408
1,7409
1,7410
1,7411
1,7412
1,7413
1,7414
1,7415
1,7416
1,7417
1,7418
1,7419
1,7420
1,7421
1,7422
1,7423
1,7424
1,7425
1,7426
1,7427
1,7428
1,7429
1,7430
1,7431
1,7432
1,7433
1,7434
1,7435
1,7436
1,7437
1,7438
1,7439
1,7440
1,7441
1,7442
1,7443
1,7444
1,7445
1,7446
1,7447
1,7448
1,7449
1,7450
1,7451
1,7452
1,7453
1,7454
1,7455
1,7456
1,7457
1,7458
1,7459
1,7460
1,7461
1,7462
1,7463
1,7464
1,7465
1,7466
1,7467
1,7468
1,7469
1,7470
1,7471
1,7472
1,7473
1,7474
1,7475
1,7476
1,7477
1,7478
1,7479
1,7480
1,7481
1,7482
1,7483
