iucn_sid,sciname,main_common_name,published_year,old_cat,criteria,cat,cat_score,iucn_version
222,Acipenser brevirostrum,Shortnose Sturgeon,2004,VU,A2ce; B1ab(iii),VU,0.4,2017-3
224,Acipenser naccarii,Adriatic Sturgeon,2011,CR,"A2bcde; B2ab(i,ii,iii,iv,v)",CR,0.8,2017-3
225,Acipenser nudiventris,Ship Sturgeon,2010,CR,A2cde,CR,0.8,2017-3
228,Acipenser schrenckii,Amur Sturgeon,2010,CR,A2bd,CR,0.8,2017-3
229,Acipenser stellatus,Stellate Sturgeon,2010,CR,A2cde,CR,0.8,2017-3
230,Acipenser sturio,Atlantic Sturgeon,2010,CR,"A2cde; B2ab(ii,iii,v)",CR,0.8,2017-3
231,Acipenser dabryanus,Yangtze Sturgeon,2010,CR,A2bcd,CR,0.8,2017-3
232,Acipenser gueldenstaedtii,Russian Sturgeon,2010,CR,A2bcde,CR,0.8,2017-3
233,Acipenser medirostris,Green Sturgeon,2006,NT,NA,NT,0.2,2017-3
234,Acipenser transmontanus,White Sturgeon,2004,LC,NA,LC,0,2017-3
235,Acipenser persicus,Persian Sturgeon,2010,CR,A2cde,CR,0.8,2017-3
236,Acipenser sinensis,Chinese Sturgeon,2010,CR,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",CR,0.8,2017-3
241,Acipenser mikadoi,Sakhalin Sturgeon,2010,CR,A2cde,CR,0.8,2017-3
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,2006,VU,A2cde,VU,0.4,2017-3
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,2006,NT,NA,NT,0.2,2017-3
244,Acipenser baerii,Siberian Sturgeon,2010,EN,A2bcd+4bcd,EN,0.6,2017-3
245,Acipenser oxyrinchus,Gulf Sturgeon,2006,NT,NA,NT,0.2,2017-3
903,Alosa alosa,Allis Shad,2008,LC,NA,LC,0,2017-3
904,Alosa fallax,Twaite Shad,2008,LC,NA,LC,0,2017-3
906,Alosa maeotica,Black Sea shad,2008,LC,NA,LC,0,2017-3
907,Alosa immaculata,NA,2008,VU,B2ab(v),VU,0.4,2017-3
908,Alosa alabamae,Alabama Shad,2010,DD,NA,DD,NA,2017-3
1086,Amblyrhynchus cristatus,Fernandina Marine Iguana,2004,VU,B2ac(iv),VU,0.4,2017-3
1118,Pholidoscelis polops,St. Croix Ameiva,2017,EN,B2ab(iii),EN,0.6,2017-3
1308,Anisotremus moricandi,Brownstriped Grunt,2015,LC,NA,LC,0,2017-3
1615,Choranthias salmopunctatus,NA,2015,LC,NA,LC,0,2017-3
1793,Aonyx capensis,African Clawless Otter,2015,NT,NA,NT,0.2,2017-3
2055,Arctocephalus australis,South American Fur Seal,2016,LC,NA,LC,0,2017-3
2057,Arctocephalus galapagoensis,Galápagos Fur Seal,2015,EN,A2ab,EN,0.6,2017-3
2058,Arctocephalus gazella,Antarctic Fur Seal,2016,LC,NA,LC,0,2017-3
2059,Arctocephalus philippii,Juan Fernández Fur Seal,2015,LC,NA,LC,0,2017-3
2060,Arctocephalus pusillus,Afro-Australian Fur Seal,2015,LC,NA,LC,0,2017-3
2061,Arctocephalus townsendi,Guadalupe Fur Seal,2015,LC,NA,LC,0,2017-3
2062,Arctocephalus tropicalis,Subantarctic Fur Seal,2015,LC,NA,LC,0,2017-3
2064,Arctocephalus australis ssp. australis,South American Fur Seal,2016,LC,NA,LC,0,2017-3
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,2015,LC,NA,LC,0,2017-3
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,2015,LC,NA,LC,0,2017-3
2113,Arius madagascariensis,Madagascar Sea Catfish,2016,LC,NA,LC,0,2017-3
2352,Atherina boyeri,Black Sea Silverside,2008,LC,NA,LC,0,2017-3
2467,Balaena mysticetus,Bowhead Whale,2012,LC,NA,LC,0,2017-3
2468,Balaena mysticetus Bering-Chukchi-Beaufort Sea subpopulation,Bowhead Whale,1996,LR/cd,NA,VU,0.4,2017-3
2469,Balaena mysticetus Okhotsk Sea subpopulation,Bowhead Whale,2012,EN,D,EN,0.6,2017-3
2472,Balaena mysticetus Svalbard-Barents Sea (Spitsbergen) subpopulation,Bowhead Whale,2012,CR,D,CR,0.8,2017-3
2474,Balaenoptera acutorostrata,Common Minke Whale,2008,LC,NA,LC,0,2017-3
2475,Balaenoptera borealis,Sei Whale,2008,EN,A1ad,EN,0.6,2017-3
2476,Balaenoptera edeni,Bryde's Whale,2008,DD,NA,DD,NA,2017-3
2477,Balaenoptera musculus,Blue Whale,2008,EN,A1abd,EN,0.6,2017-3
2478,Balaenoptera physalus,Fin Whale,2013,EN,A1d,EN,0.6,2017-3
2479,Balaenoptera musculus ssp. brevicauda,Pygmy Blue Whale,1996,DD,NA,DD,NA,2017-3
2480,Balaenoptera bonaerensis,Antarctic Minke Whale,2008,DD,NA,DD,NA,2017-3
2482,Balaenoptera musculus ssp. musculus North Pacific stock,Blue Whale,1996,LR/cd,NA,VU,0.4,2017-3
2539,Balistes vetula,Queen Triggerfish,2015,NT,NA,NT,0.2,2017-3
2621,Bathygobius burtoni,NA,2015,EN,B2ab(iii),EN,0.6,2017-3
2644,Batrachoides manglae,Cotuero Toadfish,2015,LC,NA,LC,0,2017-3
2761,Benthophiloides brauneri,NA,2008,DD,NA,DD,NA,2017-3
2762,Berardius arnuxii,Arnoux's Beaked Whale,2008,DD,NA,DD,NA,2017-3
2763,Berardius bairdii,Baird's Beaked Whale,2008,DD,NA,DD,NA,2017-3
2895,Bostrychus zonatus,Sunset Gudgeon,2012,DD,NA,DD,NA,2017-3
3381,Butis butis,Crimson-tipped Gudgeon,2017,LC,NA,LC,0,2017-3
3590,Callorhinus ursinus,Northern Fur Seal,2015,VU,A2b,VU,0.4,2017-3
3755,Canis mesomelas,Black-backed Jackal,2014,LC,NA,LC,0,2017-3
3764,Canthigaster rapaensis,NA,2014,EN,B2ab(iii),EN,0.6,2017-3
3778,Caperea marginata,Pygmy Right Whale,2008,DD,NA,DD,NA,2017-3
3851,Carcharhinus limbatus,Blacktip Shark,2009,NT,NA,NT,0.2,2017-3
3852,Carcharhinus obscurus,Dusky Shark,2009,VU,A2bd,VU,0.4,2017-3
3853,Carcharhinus plumbeus,Sandbar Shark,2009,VU,A2bd+4bd,VU,0.4,2017-3
3854,Carcharias taurus,Sand Tiger Shark,2009,VU,A2ab+3d,VU,0.4,2017-3
3855,Carcharodon carcharias,Great White Shark,2009,VU,A2cd+3cd,VU,0.4,2017-3
3897,Caretta caretta,Loggerhead Turtle,2017,VU,A2b,VU,0.4,2017-3
4131,Centropyge resplendens,Resplendent Pygmy Angelfish,2010,LC,NA,LC,0,2017-3
4159,Cephalorhynchus commersonii,Commerson's Dolphin,2017,LC,NA,LC,0,2017-3
4160,Cephalorhynchus eutropia,Chilean Dolphin,2017,NT,NA,NT,0.2,2017-3
4161,Cephalorhynchus heavisidii,Heaviside's Dolphin,2013,DD,NA,DD,NA,2017-3
4162,Cephalorhynchus hectori,Hector's Dolphin,2013,EN,A4d,EN,0.6,2017-3
4292,Cetorhinus maximus,Basking Shark,2005,VU,A2ad+3d,VU,0.4,2017-3
4360,Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,2010,LC,NA,LC,0,2017-3
4361,Chaetodon litus,Easter Island Butterflyfish,2010,LC,NA,LC,0,2017-3
4362,Chaetodon marleyi,Doublesash Butterflyfish,2010,LC,NA,LC,0,2017-3
4363,Prognathodes obliquus,Oblique Butterflyfish,2010,DD,NA,DD,NA,2017-3
4364,Chaetodon robustus,Three-banded Butterflyfish,2010,LC,NA,LC,0,2017-3
4592,Cheilinus undulatus,Humphead Wrasse,2004,EN,A2bd+3bd,EN,0.6,2017-3
4615,Chelonia mydas,Green Turtle,2004,EN,A2bd,EN,0.6,2017-3
4805,Chromis sanctaehelenae,St. Helena Chromis,2015,LC,NA,LC,0,2017-3
4982,Clinus spatulatus,Bot River Klipfish,2014,EN,"B2ab(iii,v)",EN,0.6,2017-3
4987,Clupeonella cultriventris,NA,2008,LC,NA,LC,0,2017-3
5272,Conus nobrei,NA,2012,NT,NA,NT,0.2,2017-3
5273,Conus zebroides,NA,2013,NT,NA,NT,0.2,2017-3
5325,Emblemariopsis tayrona,Tayrona Blenny,2015,LC,NA,LC,0,2017-3
5360,Coregonus albula,Vendace,2011,LC,NA,LC,0,2017-3
5362,Coregonus artedi,Cisco,1996,LR/lc,NA,LC,0,2017-3
5363,Coregonus autumnalis,Arctic Cisco,2008,LC,NA,LC,0,2017-3
5375,Coregonus pidschian,Humpback Whitefish,2008,LC,NA,LC,0,2017-3
5380,Coregonus oxyrinchus,Houting,2008,EX,NA,EX,1,2017-3
5659,Crocodylus acutus,American Crocodile,2012,VU,A2cd,VU,0.4,2017-3
