iucn_sid,year,cat_ts,cat_ts_score,iucn_version
10030,1996,VU,0.4,2017-3
10030,2000,NT,0.2,2017-3
10030,2005,NT,0.2,2017-3
10057,1996,VU,0.4,2017-3
10057,2017,LC,0,2017-3
10061,1996,VU,0.4,2017-3
10063,2017,LC,0,2017-3
10064,1996,VU,0.4,2017-3
10065,1996,VU,0.4,2017-3
10066,1996,VU,0.4,2017-3
10066,2003,VU,0.4,2017-3
10066,2017,VU,0.4,2017-3
10068,1996,VU,0.4,2017-3
10069,1996,VU,0.4,2017-3
10070,2012,VU,0.4,2017-3
10070,2017,VU,0.4,2017-3
10072,1996,VU,0.4,2017-3
10072,2003,VU,0.4,2017-3
10072,2012,VU,0.4,2017-3
10072,2017,VU,0.4,2017-3
10074,1996,VU,0.4,2017-3
10074,2017,LC,0,2017-3
10075,1996,VU,0.4,2017-3
10075,2003,VU,0.4,2017-3
10075,2014,VU,0.4,2017-3
10082,1996,VU,0.4,2017-3
10082,2017,NT,0.2,2017-3
10083,1996,VU,0.4,2017-3
10083,2010,LC,0,2017-3
10083,2017,LC,0,2017-3
10084,1996,VU,0.4,2017-3
10084,2003,VU,0.4,2017-3
10084,2012,VU,0.4,2017-3
10087,1996,VU,0.4,2017-3
10087,2003,VU,0.4,2017-3
10087,2015,VU,0.4,2017-3
10088,1996,VU,0.4,2017-3
10088,2017,EN,0.6,2017-3
10089,1996,VU,0.4,2017-3
10089,2017,LC,0,2017-3
10097,1996,EN,0.6,2017-3
10105,1996,VU,0.4,2017-3
10269,1996,EN,0.6,2017-3
10269,2010,CR,0.8,2017-3
10303,1986,EX,1,2017-3
10303,1988,EX,1,2017-3
10303,1990,EX,1,2017-3
10303,1994,EX,1,2017-3
10303,1996,EX,1,2017-3
10303,2008,EX,1,2017-3
10303,2016,EX,1,2017-3
10340,1996,LC,0,2017-3
10340,2008,LC,0,2017-3
10340,2015,LC,0,2017-3
10707,1986,VU,0.4,2017-3
10707,1988,VU,0.4,2017-3
10707,1990,VU,0.4,2017-3
10707,1996,VU,0.4,2017-3
10708,1996,VU,0.4,2017-3
10708,2008,LC,0,2017-3
1086,1986,EN,0.6,2017-3
1086,1988,EN,0.6,2017-3
1086,1990,EN,0.6,2017-3
1086,1994,EN,0.6,2017-3
1086,1996,VU,0.4,2017-3
1086,2004,VU,0.4,2017-3
11030,1996,LC,0,2017-3
11030,2008,LC,0,2017-3
11047,1996,LC,0,2017-3
11048,1996,LC,0,2017-3
11130,1996,VU,0.4,2017-3
11130,2010,VU,0.4,2017-3
11140,2008,LC,0,2017-3
11140,2012,LC,0,2017-3
11141,1996,LC,0,2017-3
11141,2008,LC,0,2017-3
11142,1996,LC,0,2017-3
