iucn_sid,year,rgn_cat_ts,rgn_cat_ts_score,iucn_rgn,iucn_version
10260,2010,VU,0.4,pan-africa,2017-3
10260,2016,VU,0.4,pan-africa,2017-3
10913,2008,LC,0,mediterranean,2017-3
10913,2016,LC,0,mediterranean,2017-3
11205,1994,EN,0.6,europe,2017-3
11205,1996,CR,0.8,europe,2017-3
11487,2002,LC,0,mediterranean,2017-3
11487,2008,LC,0,mediterranean,2017-3
11487,2016,LC,0,mediterranean,2017-3
1170,1996,VU,0.4,europe,2017-3
1170,2017,LC,0,europe,2017-3
12700,1990,VU,0.4,europe,2017-3
12700,2017,EN,0.6,europe,2017-3
13133517,2014,NT,0.2,mediterranean,2017-3
13133517,2017,NT,0.2,mediterranean,2017-3
13152914,2013,LC,0,europe,2017-3
13152914,2015,LC,0,europe,2017-3
13152923,2013,LC,0,europe,2017-3
13152923,2015,LC,0,europe,2017-3
13152926,2013,LC,0,europe,2017-3
13152926,2015,LC,0,europe,2017-3
13232,2008,LC,0,mediterranean,2017-3
13232,2011,LC,0,mediterranean,2017-3
13257,2007,VU,0.4,pan-africa,2017-3
13257,2010,VU,0.4,pan-africa,2017-3
13304680,2013,EN,0.6,europe,2017-3
13304680,2015,EN,0.6,europe,2017-3
13307196,2013,LC,0,europe,2017-3
13307196,2014,LC,0,europe,2017-3
13318642,2013,LC,0,europe,2017-3
13318642,2014,LC,0,europe,2017-3
13338225,2013,EN,0.6,europe,2017-3
13338225,2015,EN,0.6,europe,2017-3
13339577,2013,LC,0,europe,2017-3
13339577,2014,LC,0,europe,2017-3
13340289,2013,EN,0.6,europe,2017-3
13340289,2015,EN,0.6,europe,2017-3
13340292,2013,LC,0,europe,2017-3
13340292,2015,LC,0,europe,2017-3
13340310,2013,LC,0,europe,2017-3
13340310,2015,LC,0,europe,2017-3
13340333,2013,VU,0.4,europe,2017-3
13340333,2015,VU,0.4,europe,2017-3
13340337,2013,LC,0,europe,2017-3
13340337,2015,LC,0,europe,2017-3
13340340,2013,LC,0,europe,2017-3
13340340,2015,LC,0,europe,2017-3
13340348,2013,VU,0.4,europe,2017-3
13340348,2015,VU,0.4,europe,2017-3
13340361,2013,LC,0,europe,2017-3
13340361,2015,LC,0,europe,2017-3
13340369,2013,EN,0.6,europe,2017-3
13340369,2015,EN,0.6,europe,2017-3
13340374,2013,VU,0.4,europe,2017-3
13340374,2015,VU,0.4,europe,2017-3
13340380,2013,LC,0,europe,2017-3
13340380,2015,LC,0,europe,2017-3
13340388,2013,LC,0,europe,2017-3
