dbf_file,iucn_sid,sciname,subpop,kingdom,phylum,class,order,family,code,marine,terrestrial,freshwater
ANGELFISH.dbf,165888,Genicanthus lamarck,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165887,Pomacanthus arcuatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165889,Pomacanthus zonipectus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165903,Centropyge narcosis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,154809,Apolemichthys kingi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,155083,Centropyge acanthops,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,155308,Centropyge loricula,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165845,Genicanthus caudovittatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165846,Genicanthus spinus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165878,Centropyge flavissima,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165834,Apolemichthys arcuatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165860,Centropyge vrolikii,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165885,Pygoplites diacanthus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165822,Apolemichthys griffisi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165835,Apolemichthys trimaculatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165836,Holacanthus limbaughi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,NT,t,f,f
ANGELFISH.dbf,165837,Centropyge argi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165838,Centropyge colini,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165839,Pomacanthus asfur,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165840,Pomacanthus sexstriatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165841,Apolemichthys xanthopunctatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165842,Pomacanthus rhomboides,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165843,Genicanthus melanospilos,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165844,Apolemichthys xanthurus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165861,Holacanthus clarionensis,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,VU,t,f,f
ANGELFISH.dbf,165862,Pomacanthus imperator,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165863,Chaetodontoplus dimidiatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165864,Genicanthus bellus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165865,Centropyge aurantonotus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165823,Centropyge nahackyi,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,NT,t,f,f
ANGELFISH.dbf,165824,Centropyge boylei,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165825,Holacanthus africanus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165826,Chaetodontoplus chrysocephalus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
ANGELFISH.dbf,165869,Apolemichthys guezei,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,DD,t,f,f
ANGELFISH.dbf,165870,Chaetodontoplus conspicillatus,NA,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMACANTHIDAE,LC,t,f,f
