iucn_sid,sciname,category,subpop_match,dbf_file
2055,Arctocephalus australis,LC,TRUE,MARINE_MAMMALS.dbf
2057,Arctocephalus galapagoensis,EN,FALSE,MARINE_MAMMALS.dbf
2058,Arctocephalus gazella,LC,FALSE,MARINE_MAMMALS.dbf
2059,Arctocephalus philippii,LC,FALSE,MARINE_MAMMALS.dbf
2060,Arctocephalus pusillus,LC,FALSE,MARINE_MAMMALS.dbf
2061,Arctocephalus townsendi,LC,FALSE,MARINE_MAMMALS.dbf
2062,Arctocephalus tropicalis,LC,FALSE,MARINE_MAMMALS.dbf
2467,Balaena mysticetus,LC,TRUE,MARINE_MAMMALS.dbf
2474,Balaenoptera acutorostrata,LC,FALSE,MARINE_MAMMALS.dbf
2475,Balaenoptera borealis,EN,FALSE,MARINE_MAMMALS.dbf
2476,Balaenoptera edeni,DD,TRUE,MARINE_MAMMALS.dbf
2477,Balaenoptera musculus,EN,FALSE,MARINE_MAMMALS.dbf
2478,Balaenoptera physalus,EN,FALSE,MARINE_MAMMALS.dbf
2480,Balaenoptera bonaerensis,DD,FALSE,MARINE_MAMMALS.dbf
2762,Berardius arnuxii,DD,FALSE,MARINE_MAMMALS.dbf
2763,Berardius bairdii,DD,FALSE,MARINE_MAMMALS.dbf
3590,Callorhinus ursinus,VU,FALSE,MARINE_MAMMALS.dbf
3764,Canthigaster rapaensis,EN,FALSE,MARINEFISH_PART_2.dbf
3764,Canthigaster rapaensis,EN,FALSE,PUFFERFISH.dbf
3778,Caperea marginata,DD,FALSE,MARINE_MAMMALS.dbf
3851,Carcharhinus limbatus,NT,FALSE,CHONDRICHTHYES.dbf
3852,Carcharhinus obscurus,VU,FALSE,CHONDRICHTHYES.dbf
3853,Carcharhinus plumbeus,VU,FALSE,CHONDRICHTHYES.dbf
3854,Carcharias taurus,VU,FALSE,CHONDRICHTHYES.dbf
3855,Carcharodon carcharias,VU,FALSE,CHONDRICHTHYES.dbf
3897,Caretta caretta,VU,TRUE,REPTILES.dbf
4131,Centropyge resplendens,LC,FALSE,ANGELFISH.dbf
4131,Centropyge resplendens,LC,FALSE,MARINEFISH_PART_3.dbf
4160,Cephalorhynchus eutropia,NT,FALSE,MARINE_MAMMALS.dbf
4161,Cephalorhynchus heavisidii,DD,FALSE,MARINE_MAMMALS.dbf
4162,Cephalorhynchus hectori,EN,FALSE,MARINE_MAMMALS.dbf
4292,Cetorhinus maximus,VU,FALSE,CHONDRICHTHYES.dbf
4360,Chaetodon flavocoronatus,LC,FALSE,BUTTERFLYFISH.dbf
4360,Chaetodon flavocoronatus,LC,FALSE,MARINEFISH_PART_2.dbf
4361,Chaetodon litus,LC,FALSE,BUTTERFLYFISH.dbf
4361,Chaetodon litus,LC,FALSE,MARINEFISH_PART_1.dbf
4362,Chaetodon marleyi,LC,FALSE,BUTTERFLYFISH.dbf
4362,Chaetodon marleyi,LC,FALSE,MARINEFISH_PART_1.dbf
4363,Prognathodes obliquus,DD,FALSE,BUTTERFLYFISH.dbf
4363,Prognathodes obliquus,DD,FALSE,MARINEFISH_PART_3.dbf
4364,Chaetodon robustus,LC,FALSE,BUTTERFLYFISH.dbf
4364,Chaetodon robustus,LC,FALSE,MARINEFISH_PART_2.dbf
4615,Chelonia mydas,EN,FALSE,REPTILES.dbf
4805,Chromis sanctaehelenae,LC,FALSE,DAMSELFISH.dbf
4805,Chromis sanctaehelenae,LC,FALSE,MARINEFISH_PART_2.dbf
4982,Clinus spatulatus,EN,FALSE,COMBTOOTHBLENNIES.dbf
4982,Clinus spatulatus,EN,FALSE,MARINEFISH_PART_3.dbf
5272,Conus nobrei,NT,FALSE,CONUS.dbf
5273,Conus zebroides,NT,FALSE,CONUS.dbf
5325,Emblemariopsis tayrona,LC,FALSE,COMBTOOTHBLENNIES.dbf
5325,Emblemariopsis tayrona,LC,FALSE,MARINEFISH_PART_2.dbf
5659,Crocodylus acutus,VU,FALSE,REPTILES.dbf
6204,Cystophora cristata,VU,FALSE,MARINE_MAMMALS.dbf
6229,Dalatias licha,NT,FALSE,CHONDRICHTHYES.dbf
6335,Delphinapterus leucas,LC,TRUE,MARINE_MAMMALS.dbf
6336,Delphinus delphis,LC,TRUE,MARINE_MAMMALS.dbf
6337,Delphinus capensis,DD,FALSE,MARINE_MAMMALS.dbf
6494,Dermochelys coriacea,VU,TRUE,REPTILES.dbf
6909,Dugong dugon,VU,FALSE,MARINE_MAMMALS.dbf
7778,Entomacrodus cadenati,LC,FALSE,COMBTOOTHBLENNIES.dbf
7778,Entomacrodus cadenati,LC,FALSE,MARINEFISH_PART_1.dbf
7854,Epinephelus drummondhayi,CR,FALSE,GROUPERS.dbf
7854,Epinephelus drummondhayi,CR,FALSE,MARINEFISH_PART_1.dbf
7855,Hyporthodus exsul,DD,FALSE,GROUPERS.dbf
7855,Hyporthodus exsul,DD,FALSE,MARINEFISH_PART_2.dbf
7858,Epinephelus lanceolatus,VU,FALSE,GROUPERS.dbf
7858,Epinephelus lanceolatus,VU,FALSE,MARINEFISH_PART_3.dbf
7859,Epinephelus marginatus,EN,FALSE,GROUPERS.dbf
7859,Epinephelus marginatus,EN,FALSE,MARINEFISH_PART_1.dbf
7860,Hyporthodus nigritus,CR,FALSE,GROUPERS.dbf
7860,Hyporthodus nigritus,CR,FALSE,MARINEFISH_PART_1.dbf
7861,Hyporthodus niveatus,VU,FALSE,GROUPERS.dbf
7861,Hyporthodus niveatus,VU,FALSE,MARINEFISH_PART_3.dbf
7862,Epinephelus striatus,EN,FALSE,GROUPERS.dbf
7862,Epinephelus striatus,EN,FALSE,MARINEFISH_PART_2.dbf
8005,Eretmochelys imbricata,CR,FALSE,REPTILES.dbf
8010,Erignathus barbatus,LC,FALSE,MARINE_MAMMALS.dbf
8097,Eschrichtius robustus,LC,TRUE,MARINE_MAMMALS.dbf
8153,Eubalaena australis,LC,FALSE,MARINE_MAMMALS.dbf
8239,Eumetopias jubatus,NT,FALSE,MARINE_MAMMALS.dbf
8551,Feresa attenuata,DD,FALSE,MARINE_MAMMALS.dbf
9249,Globicephala macrorhynchus,DD,FALSE,MARINE_MAMMALS.dbf
9250,Globicephala melas,DD,FALSE,MARINE_MAMMALS.dbf
9281,Glyphis gangeticus,CR,FALSE,CHONDRICHTHYES.dbf
9461,Grampus griseus,LC,FALSE,MARINE_MAMMALS.dbf
9660,Halichoerus grypus,LC,TRUE,MARINE_MAMMALS.dbf
10030,Hexanchus griseus,NT,FALSE,CHONDRICHTHYES.dbf
10340,Hydrurga leptonyx,LC,FALSE,MARINE_MAMMALS.dbf
10707,Hyperoodon ampullatus,DD,FALSE,MARINE_MAMMALS.dbf
10708,Hyperoodon planifrons,LC,FALSE,MARINE_MAMMALS.dbf
11047,Kogia breviceps,DD,FALSE,MARINE_MAMMALS.dbf
11048,Kogia sima,DD,FALSE,MARINE_MAMMALS.dbf
11130,Lachnolaimus maximus,VU,FALSE,MARINEFISH_PART_3.dbf
11130,Lachnolaimus maximus,VU,FALSE,WRASSE.dbf
11140,Lagenodelphis hosei,LC,FALSE,MARINE_MAMMALS.dbf
11141,Lagenorhynchus acutus,LC,FALSE,MARINE_MAMMALS.dbf
11142,Lagenorhynchus albirostris,LC,FALSE,MARINE_MAMMALS.dbf
11143,Lagenorhynchus australis,DD,FALSE,MARINE_MAMMALS.dbf
11144,Lagenorhynchus cruciger,LC,FALSE,MARINE_MAMMALS.dbf
11145,Lagenorhynchus obliquidens,LC,FALSE,MARINE_MAMMALS.dbf
11146,Lagenorhynchus obscurus,DD,FALSE,MARINE_MAMMALS.dbf
11150,Lagocephalus gloveri,DD,FALSE,MARINEFISH_PART_1.dbf
11150,Lagocephalus gloveri,DD,FALSE,PUFFERFISH.dbf
11200,Lamna nasus,VU,FALSE,CHONDRICHTHYES.dbf
11534,Lepidochelys olivacea,VU,FALSE,REPTILES.dbf
11696,Leptonychotes weddellii,LC,FALSE,MARINE_MAMMALS.dbf
12125,Lissodelphis borealis,LC,FALSE,MARINE_MAMMALS.dbf
12126,Lissodelphis peronii,DD,FALSE,MARINE_MAMMALS.dbf
