iucn_sid,sciname_api,category
222,Acipenser brevirostrum,VU
224,Acipenser naccarii,CR
225,Acipenser nudiventris,CR
228,Acipenser schrenckii,CR
229,Acipenser stellatus,CR
230,Acipenser sturio,CR
231,Acipenser dabryanus,CR
232,Acipenser gueldenstaedtii,CR
233,Acipenser medirostris,NT
234,Acipenser transmontanus,LC
235,Acipenser persicus,CR
236,Acipenser sinensis,CR
241,Acipenser mikadoi,CR
242,Acipenser oxyrinchus ssp. desotoi,VU
243,Acipenser oxyrinchus ssp. oxyrinchus,NT
244,Acipenser baerii,EN
245,Acipenser oxyrinchus,NT
903,Alosa alosa,LC
904,Alosa fallax,LC
906,Alosa maeotica,LC
907,Alosa immaculata,VU
908,Alosa alabamae,DD
1086,Amblyrhynchus cristatus,VU
1118,Pholidoscelis polops,EN
1308,Anisotremus moricandi,LC
1615,Choranthias salmopunctatus,LC
1793,Aonyx capensis,NT
2064,Arctocephalus australis ssp. australis,LC
2066,Arctocephalus pusillus ssp. pusillus,LC
2067,Arctocephalus pusillus ssp. doriferus,LC
2113,Arius madagascariensis,LC
2352,Atherina boyeri,LC
2472,Balaena mysticetus,CR
2479,Balaenoptera musculus ssp. brevicauda,DD
2482,Balaenoptera musculus ssp. musculus,NT
2539,Balistes vetula,NT
2621,Bathygobius burtoni,EN
2644,Batrachoides manglae,LC
2761,Benthophiloides brauneri,DD
2895,Bostrychus zonatus,DD
3381,Butis butis,LC
3755,Canis mesomelas,LC
4159,Cephalorhynchus commersonii,LC
4592,Cheilinus undulatus,EN
4987,Clupeonella cultriventris,LC
5360,Coregonus albula,LC
5362,Coregonus artedi,LC
5363,Coregonus autumnalis,LC
5375,Coregonus pidschian,LC
5380,Coregonus oxyrinchus,EX
5660,Mecistops cataphractus,CR
5667,Crocodylus palustris,VU
5675,Croilia mossambica,LC
6026,Cyclura carinata,CR
6031,Cyclura pinguis,CR
6040,Cyclura cychlura ssp. figginsi,CR
6041,Cyclura cychlura ssp. inornata,EN
6042,Cyclura cornuta,VU
6043,Cyclura nubila ssp. caymanensis,CR
6045,Cyclura nubila ssp. nubila,VU
6069,Cymatium parthenopaeum,LC
6814,Dunckerocampus dactyliophorus,DD
6930,Dussartius baeticus,VU
7121,Elaphurus davidianus,EW
7134,Eleotris sandwicensis,DD
7135,Eleotris melanosoma,LC
7750,Enhydra lutris,EN
8012,Erignathus barbatus ssp. barbatus,LC
8013,Erignathus barbatus ssp. nauticus,LC
8165,Eucyclogobius newberryi,NT
8407,Eurypegasus draconis,LC
8408,Eurypegasus papilio,LC
8817,Galaxias argenteus,VU
8951,Gasterosteus aculeatus,LC
9266,Psammogobius biocellatus,LC
10056,Hippocampus capensis,EN
10057,Hippocampus abdominalis,LC
10063,Hippocampus breviceps,LC
