dbf_file,iucn_sid,sciname,code,presence,subpop,shape_Area
ANGELFISH.dbf,165888,Genicanthus lamarck,LC,1,NA,702.76946394
ANGELFISH.dbf,165887,Pomacanthus arcuatus,LC,1,NA,325.192036725
ANGELFISH.dbf,165889,Pomacanthus zonipectus,LC,1,NA,88.1691753537
ANGELFISH.dbf,165903,Centropyge narcosis,LC,1,NA,3.01116920535
ANGELFISH.dbf,154809,Apolemichthys kingi,LC,1,NA,16.1024280616
ANGELFISH.dbf,155083,Centropyge acanthops,LC,1,NA,214.963834273
ANGELFISH.dbf,155308,Centropyge loricula,LC,1,NA,569.289421585
ANGELFISH.dbf,165845,Genicanthus caudovittatus,LC,1,NA,168.887741128
ANGELFISH.dbf,165846,Genicanthus spinus,LC,1,NA,42.9289042273
ANGELFISH.dbf,165878,Centropyge flavissima,LC,1,NA,605.255437301
ANGELFISH.dbf,165834,Apolemichthys arcuatus,LC,1,NA,39.0487133975
ANGELFISH.dbf,165860,Centropyge vrolikii,LC,1,NA,947.95367217
ANGELFISH.dbf,165885,Pygoplites diacanthus,LC,1,NA,1560.90254511
ANGELFISH.dbf,165822,Apolemichthys griffisi,LC,1,NA,160.946437628
ANGELFISH.dbf,165835,Apolemichthys trimaculatus,LC,1,NA,1002.09676331
ANGELFISH.dbf,165836,Holacanthus limbaughi,NT,1,NA,2.68378121649
ANGELFISH.dbf,165837,Centropyge argi,LC,1,NA,269.627035152
ANGELFISH.dbf,165838,Centropyge colini,LC,1,NA,247.082573333
ANGELFISH.dbf,165839,Pomacanthus asfur,LC,1,NA,85.9027027554
ANGELFISH.dbf,165840,Pomacanthus sexstriatus,LC,1,NA,869.542977437
ANGELFISH.dbf,165841,Apolemichthys xanthopunctatus,LC,1,NA,67.1434785494
ANGELFISH.dbf,165842,Pomacanthus rhomboides,LC,1,NA,16.1334328061
ANGELFISH.dbf,165843,Genicanthus melanospilos,LC,1,NA,683.569012439
ANGELFISH.dbf,165844,Apolemichthys xanthurus,LC,1,NA,78.4464574914
ANGELFISH.dbf,165861,Holacanthus clarionensis,VU,1,NA,23.2460383144
ANGELFISH.dbf,165862,Pomacanthus imperator,LC,1,NA,1829.75996292
ANGELFISH.dbf,165863,Chaetodontoplus dimidiatus,LC,1,NA,43.9996292614
ANGELFISH.dbf,165864,Genicanthus bellus,LC,1,NA,220.653414197
ANGELFISH.dbf,165865,Centropyge aurantonotus,LC,1,NA,103.374725776
ANGELFISH.dbf,165823,Centropyge nahackyi,NT,1,NA,3.92801117775
ANGELFISH.dbf,165824,Centropyge boylei,LC,1,NA,3.01116920535
ANGELFISH.dbf,165825,Holacanthus africanus,LC,1,NA,66.6357547871
ANGELFISH.dbf,165826,Chaetodontoplus chrysocephalus,LC,1,NA,1.71353165474
ANGELFISH.dbf,165869,Apolemichthys guezei,DD,1,NA,4.41285505215
ANGELFISH.dbf,165870,Chaetodontoplus conspicillatus,LC,1,NA,47.7052032236
ANGELFISH.dbf,165871,Centropyge bispinosa,LC,1,NA,1392.39498957
ANGELFISH.dbf,165872,Genicanthus watanabei,LC,1,NA,383.951920263
ANGELFISH.dbf,165873,Pomacanthus annularis,LC,1,NA,866.495941487
ANGELFISH.dbf,165874,Genicanthus personatus,LC,1,NA,36.329363159
ANGELFISH.dbf,165875,Centropyge shepardi,LC,1,NA,27.1004086557
