iucn_sid,habs,deep_ok
222,"10.1, 12.5, 9.1",TRUE
224,"9.1, 9.4, 9.5, 9.6",FALSE
225,9.1,FALSE
228,9.1,FALSE
229,"9.1, 9.4, 9.5, 9.6",FALSE
230,"9.1, 9.3, 9.4, 9.5, 9.6",FALSE
231,9.1,FALSE
232,"9.1, 9.4, 9.5, 9.6",FALSE
233,"10.1, 9.1",TRUE
234,"10.1, 9.1",TRUE
235,"9.1, 9.4, 9.5, 9.6",FALSE
236,9.1,FALSE
241,"9.1, 9.4, 9.5, 9.6",FALSE
242,"10.1, 12.4, 12.5, 9.1",TRUE
243,"10.1, 9.1",TRUE
244,9.1,FALSE
245,"10.1, 12.4, 12.5, 9.1",TRUE
903,"9.1, 9.1",FALSE
904,"9.1, 9.1",FALSE
906,"9.1, 9.1",FALSE
907,9.1,FALSE
908,"10.1, 12.5, 9.1",TRUE
1086,"10.1, 12.1, 12.4, 9.1",TRUE
1118,12.2,FALSE
1308,"12.6, 15.11, 9.1, 9.2",FALSE
1615,"9.2, 9.3, 9.4, 9.5, 9.6",FALSE
1793,"12.5, 9.1",FALSE
2055,"10.1, 10.2, 12.1, 9.1",TRUE
2057,"10.1, 12.1, 9.1",TRUE
2058,"10.1, 12.1, 9.1",TRUE
2059,"10.1, 12.1, 9.1, 9.2",TRUE
2060,"10.1, 12.1, 9.1",TRUE
2061,"10.1, 12.1, 9.1, 9.2",TRUE
2062,"10.1, 12.1, 9.1",TRUE
2064,"10.1, 10.2, 12.1, 9.1",TRUE
2066,"10.1, 12.1, 9.1",TRUE
2067,"10.1, 12.1, 9.1",TRUE
2113,9.1,FALSE
2352,"9.1, 9.1",FALSE
2467,"10.1, 9.1",TRUE
2468,10.1,TRUE
2469,"10.1, 9.1",TRUE
2472,"10.1, 9.1",TRUE
2474,"10.1, 9.1",TRUE
2475,"10.1, 9.1",TRUE
2476,"10.1, 9.1",TRUE
2477,"10.1, 9.1",TRUE
2478,"10.1, 9.1",TRUE
2479,10.1,TRUE
2480,"10.1, 9.1",TRUE
2482,"10.1, 9.1",TRUE
2539,"9.8.3, 9.2, 9.4, 9.7, 9.9",FALSE
2621,"12.1, 12.6",FALSE
2644,"12.7, 9.6",FALSE
2761,9.1,FALSE
2762,"10.1, 10.2, 10.3",TRUE
2763,"10.1, 10.2, 10.3",TRUE
2895,"12.6, 12.7, 9.1",FALSE
3381,"12.6, 12.7, 9.1",FALSE
3590,"10.1, 12.1, 9.1",TRUE
3755,12.3,FALSE
3764,"9.8.2, 9.8.3, 9.8.4, 9.8.6",FALSE
3778,"10.1, 9.1",TRUE
3851,9.1,FALSE
3852,"10.1, 10.2, 9.1",TRUE
3853,"9.1, 9.1, 9.5, 9.6",FALSE
3854,"10.1, 9.4",TRUE
3855,"10.1, 10.2, 9.1, 9.1",TRUE
3897,"10.1, 12.2, 9.1, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.9",TRUE
4131,9.2,FALSE
4159,"10.1, 9.1, 9.1",TRUE
4160,"9.1, 9.1",FALSE
4161,9.1,FALSE
4162,9.1,FALSE
4292,"10.1, 9.1",TRUE
4360,"9.8.3, 9.2",FALSE
4361,"12.6, 9.2",FALSE
4362,"12.6, 9.1, 9.2",FALSE
4363,9.2,FALSE
4364,9.2,FALSE
4592,"9.1, 9.9",FALSE
4615,"10.1, 12.2, 9.7, 9.9",TRUE
4805,9.2,FALSE
4982,9.1,FALSE
4987,9.1,FALSE
5272,"9.4, 9.7",FALSE
5273,9.2,FALSE
5325,9.2,FALSE
5360,9.1,FALSE
5362,9.1,FALSE
5363,"9.1, 9.1",FALSE
5375,9.1,FALSE
5380,9.1,FALSE
5659,"12.2, 12.7, 9.1",FALSE
5660,9.1,FALSE
5667,9.8.4,FALSE
5675,"12.5, 9.1",FALSE
6026,"12.1, 12.2, 12.4",FALSE
6031,12.1,FALSE
6040,12.2,FALSE
6041,12.1,FALSE
6042,12.1,FALSE
6043,12.2,FALSE
6045,12.1,FALSE
6069,9.1,FALSE
6204,"10.1, 10.2, 10.3, 12.1, 9.1",TRUE
6229,"10.2, 9.3",TRUE
6335,"10.1, 10.2, 10.3, 9.1, 9.1",TRUE
6336,"10.1, 9.1",TRUE
6337,9.1,FALSE
6494,"10.1, 12.2",TRUE
6814,12.6,FALSE
6909,"12.2, 12.7, 9.1, 9.2, 9.4, 9.5, 9.6, 9.9",FALSE
6930,9.1,FALSE
7121,12.5,FALSE
7134,9.1,FALSE
7135,"9.1, 9.6",FALSE
7750,"10.1, 9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",TRUE
7778,12.1,FALSE
7854,"10.1, 9.1, 9.7",TRUE
7855,9.2,FALSE
7858,"10.1, 12.4, 9.1, 9.9",TRUE
7859,"10.1, 9.1",TRUE
7860,"10.1, 9.1, 9.7",TRUE
7861,"9.2, 9.5",FALSE
7862,"9.1, 9.7, 9.9",FALSE
8005,"9.8.1, 9.8.3, 10.1, 12.2, 12.4, 12.7, 9.1, 9.2, 9.6, 9.7, 9.9",TRUE
8010,"10.1, 10.2, 12.2, 9.1, 9.4, 9.5, 9.6",TRUE
8012,"10.1, 10.2, 12.2, 9.4, 9.5",TRUE
8013,"10.1, 10.2, 12.2, 9.4, 9.5, 9.6",TRUE
8097,9.1,FALSE
8099,"10.1, 9.1",TRUE
8153,"10.1, 9.1",TRUE
8165,"9.1, 9.6",FALSE
8239,"10.1, 10.2, 12.1, 9.1",TRUE
8407,"9.8.6, 9.1, 9.3, 9.4, 9.7, 9.9",FALSE
