shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth
165888,165888,Genicanthus lamarck,1,NA,ANGELFISH.dbf,< 200 m
165887,165887,Pomacanthus arcuatus,1,NA,ANGELFISH.dbf,< 200 m
165889,165889,Pomacanthus zonipectus,1,NA,ANGELFISH.dbf,< 200 m
165903,165903,Centropyge narcosis,1,NA,ANGELFISH.dbf,< 200 m
154809,154809,Apolemichthys kingi,1,NA,ANGELFISH.dbf,< 200 m
155083,155083,Centropyge acanthops,1,NA,ANGELFISH.dbf,< 200 m
155308,155308,Centropyge loricula,1,NA,ANGELFISH.dbf,< 200 m
165845,165845,Genicanthus caudovittatus,1,NA,ANGELFISH.dbf,< 200 m
165846,165846,Genicanthus spinus,1,NA,ANGELFISH.dbf,< 200 m
165878,165878,Centropyge flavissima,1,NA,ANGELFISH.dbf,< 200 m
165834,165834,Apolemichthys arcuatus,1,NA,ANGELFISH.dbf,< 200 m
165860,165860,Centropyge vrolikii,1,NA,ANGELFISH.dbf,< 200 m
165885,165885,Pygoplites diacanthus,1,NA,ANGELFISH.dbf,< 200 m
165822,165822,Apolemichthys griffisi,1,NA,ANGELFISH.dbf,< 200 m
165835,165835,Apolemichthys trimaculatus,1,NA,ANGELFISH.dbf,< 200 m
165836,165836,Holacanthus limbaughi,1,NA,ANGELFISH.dbf,< 200 m
165837,165837,Centropyge argi,1,NA,ANGELFISH.dbf,< 200 m
165838,165838,Centropyge colini,1,NA,ANGELFISH.dbf,< 200 m
165839,165839,Pomacanthus asfur,1,NA,ANGELFISH.dbf,< 200 m
165840,165840,Pomacanthus sexstriatus,1,NA,ANGELFISH.dbf,< 200 m
165841,165841,Apolemichthys xanthopunctatus,1,NA,ANGELFISH.dbf,< 200 m
165842,165842,Pomacanthus rhomboides,1,NA,ANGELFISH.dbf,< 200 m
165843,165843,Genicanthus melanospilos,1,NA,ANGELFISH.dbf,< 200 m
165844,165844,Apolemichthys xanthurus,1,NA,ANGELFISH.dbf,< 200 m
165861,165861,Holacanthus clarionensis,1,NA,ANGELFISH.dbf,< 200 m
165862,165862,Pomacanthus imperator,1,NA,ANGELFISH.dbf,< 200 m
165863,165863,Chaetodontoplus dimidiatus,1,NA,ANGELFISH.dbf,< 200 m
165864,165864,Genicanthus bellus,1,NA,ANGELFISH.dbf,< 200 m
165865,165865,Centropyge aurantonotus,1,NA,ANGELFISH.dbf,< 200 m
165823,165823,Centropyge nahackyi,1,NA,ANGELFISH.dbf,< 200 m
165824,165824,Centropyge boylei,1,NA,ANGELFISH.dbf,< 200 m
165825,165825,Holacanthus africanus,1,NA,ANGELFISH.dbf,< 200 m
165826,165826,Chaetodontoplus chrysocephalus,1,NA,ANGELFISH.dbf,< 200 m
165869,165869,Apolemichthys guezei,1,NA,ANGELFISH.dbf,< 200 m
165870,165870,Chaetodontoplus conspicillatus,1,NA,ANGELFISH.dbf,< 200 m
