iucn_sid,sciname
42270,Abies alba
42271,Abies amabilis
42272,Abies balsamea
46521861,Abies balsamea var. balsamea
46521889,Abies balsamea var. phanerolepis
32318,Abies beshanzuensis
34019,Abies bracteata
38320,Abies cephalonica
42274,Abies chensiensis
34117,Abies chensiensis ssp. chensiensis
191552,Abies chensiensis ssp. salouenensis
34118,Abies chensiensis ssp. yulongxueshanensis
42275,Abies cilicica
195504,Abies cilicica ssp. cilicica
33002,Abies cilicica ssp. isaurica
42276,Abies concolor
42277,Abies delavayi
44724,Abies delavayi ssp. fansipanensis
191553,Abies delavayi var. delavayi
191554,Abies delavayi var. motuoensis
191555,Abies delavayi var. nukiangensis
42278,Abies densa
42279,Abies durangensis
34120,Abies durangensis var. coahuilensis
42280,Abies fabri
191556,Abies fabri ssp. fabri
191557,Abies fabri ssp. minensis
32463,Abies fanjingshanensis
42281,Abies fargesii
191558,Abies fargesii var. fargesii
191559,Abies fargesii var. faxoniana
46181060,Abies fargesii var. sutchuensis
42282,Abies firma
42283,Abies forrestii
191560,Abies forrestii var. ferreana
191561,Abies forrestii var. forrestii
34124,Abies forrestii var. georgei
191562,Abies forrestii var. smithii
32101,Abies fraseri
42284,Abies grandis
42285,Abies guatemalensis
46186032,Abies guatemalensis var. guatemalensis
34121,Abies guatemalensis var. jaliscana
42286,Abies hickelii
34123,Abies hickelii var. hickelii
34125,Abies hickelii var. oaxacana
42554,Abies hidalgensis
42287,Abies holophylla
42288,Abies homolepis
191563,Abies homolepis var. homolepis
191564,Abies homolepis var. umbellata
31362,Abies kawakamii
31244,Abies koreana
42289,Abies lasiocarpa
42290,Abies magnifica
42291,Abies mariesii
30478,Abies nebrodensis
42292,Abies nephrolepis
42293,Abies nordmanniana
31325,Abies nordmanniana ssp. equi-trojani
196098,Abies nordmanniana ssp. nordmanniana
30320,Abies numidica
42294,Abies pindrow
42295,Abies pinsapo
34126,Abies pinsapo var. marocana
30309,Abies pinsapo var. pinsapo
42296,Abies procera
42297,Abies recurvata
191570,Abies recurvata var. ernestii
34127,Abies recurvata var. recurvata
39592,Abies religiosa
42298,Abies sachalinensis
34129,Abies sachalinensis var. gracilis
191571,Abies sachalinensis var. mayriana
191572,Abies sachalinensis var. nemorensis
191573,Abies sachalinensis var. sachalinensis
42299,Abies sibirica
34144,Abies sibirica ssp. semenovii
191574,Abies sibirica ssp. sibirica
42300,Abies spectabilis
34130,Abies squamata
