iucn_sid,sciname,lme_id,cat_score,cat_current,rgns,cat_score_global
224,Acipenser naccarii,20,0.8,CR,europe,0.8
224,Acipenser naccarii,21,0.8,CR,europe,0.8
224,Acipenser naccarii,22,0.8,CR,europe,0.8
224,Acipenser naccarii,23,0.8,CR,europe,0.8
224,Acipenser naccarii,24,0.8,CR,europe,0.8
224,Acipenser naccarii,25,0.8,CR,europe,0.8
224,Acipenser naccarii,26,0.8,CR,europe,0.8
224,Acipenser naccarii,59,0.8,CR,europe,0.8
225,Acipenser nudiventris,20,0.8,CR,europe,0.8
225,Acipenser nudiventris,21,0.8,CR,europe,0.8
225,Acipenser nudiventris,22,0.8,CR,europe,0.8
225,Acipenser nudiventris,23,0.8,CR,europe,0.8
225,Acipenser nudiventris,24,0.8,CR,europe,0.8
225,Acipenser nudiventris,25,0.8,CR,europe,0.8
225,Acipenser nudiventris,26,0.8,CR,europe,0.8
225,Acipenser nudiventris,59,0.8,CR,europe,0.8
229,Acipenser stellatus,20,0.8,CR,europe,0.8
229,Acipenser stellatus,21,0.8,CR,europe,0.8
229,Acipenser stellatus,22,0.8,CR,europe,0.8
229,Acipenser stellatus,23,0.8,CR,europe,0.8
229,Acipenser stellatus,24,0.8,CR,europe,0.8
229,Acipenser stellatus,25,0.8,CR,europe,0.8
229,Acipenser stellatus,26,0.8,CR,europe,0.8
229,Acipenser stellatus,59,0.8,CR,europe,0.8
230,Acipenser sturio,20,0.8,CR,europe,0.8
230,Acipenser sturio,21,0.8,CR,europe,0.8
230,Acipenser sturio,22,0.8,CR,europe,0.8
230,Acipenser sturio,23,0.8,CR,europe,0.8
230,Acipenser sturio,24,0.8,CR,europe,0.8
230,Acipenser sturio,25,0.8,CR,europe,0.8
230,Acipenser sturio,26,0.8,CR,europe,0.8
230,Acipenser sturio,59,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,20,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,21,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,22,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,23,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,24,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,25,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,26,0.8,CR,europe,0.8
232,Acipenser gueldenstaedtii,59,0.8,CR,europe,0.8
235,Acipenser persicus,20,0.8,CR,europe,0.8
235,Acipenser persicus,21,0.8,CR,europe,0.8
235,Acipenser persicus,22,0.8,CR,europe,0.8
235,Acipenser persicus,23,0.8,CR,europe,0.8
235,Acipenser persicus,24,0.8,CR,europe,0.8
235,Acipenser persicus,25,0.8,CR,europe,0.8
235,Acipenser persicus,26,0.8,CR,europe,0.8
235,Acipenser persicus,59,0.8,CR,europe,0.8
903,Alosa alosa,20,0,LC,europe,0
903,Alosa alosa,21,0,LC,europe,0
903,Alosa alosa,22,0,LC,europe,0
903,Alosa alosa,23,0,LC,europe,0
903,Alosa alosa,24,0,LC,europe,0
903,Alosa alosa,25,0,LC,europe,0
903,Alosa alosa,26,NA,"NA",northern_africa,0
903,Alosa alosa,27,NA,"NA",northern_africa,0
903,Alosa alosa,33,NA,"NA",northern_africa,0
903,Alosa alosa,59,0,LC,europe,0
904,Alosa fallax,20,0,LC,europe,0
904,Alosa fallax,21,0,LC,europe,0
904,Alosa fallax,22,0,LC,europe,0
904,Alosa fallax,23,0,LC,europe,0
904,Alosa fallax,24,0,LC,europe,0
904,Alosa fallax,25,0,LC,europe,0
904,Alosa fallax,26,NA,"NA",northern_africa,0
904,Alosa fallax,27,NA,"NA",northern_africa,0
904,Alosa fallax,33,NA,"NA",northern_africa,0
904,Alosa fallax,59,0,LC,europe,0
906,Alosa maeotica,20,0,LC,europe,0
906,Alosa maeotica,21,0,LC,europe,0
906,Alosa maeotica,22,0,LC,europe,0
906,Alosa maeotica,23,0,LC,europe,0
906,Alosa maeotica,24,0,LC,europe,0
906,Alosa maeotica,25,0,LC,europe,0
906,Alosa maeotica,26,0,LC,europe,0
906,Alosa maeotica,59,0,LC,europe,0
907,Alosa immaculata,20,0.4,VU,europe,0.4
907,Alosa immaculata,21,0.4,VU,europe,0.4
907,Alosa immaculata,22,0.4,VU,europe,0.4
907,Alosa immaculata,23,0.4,VU,europe,0.4
907,Alosa immaculata,24,0.4,VU,europe,0.4
907,Alosa immaculata,25,0.4,VU,europe,0.4
907,Alosa immaculata,26,0.4,VU,europe,0.4
907,Alosa immaculata,59,0.4,VU,europe,0.4
908,Alosa alabamae,5,NA,DD,gulf_of_mexico,NA
2352,Atherina boyeri,20,0,LC,europe,0
2352,Atherina boyeri,21,0,LC,europe,0
2352,Atherina boyeri,22,0,LC,europe,0
2352,Atherina boyeri,23,0,LC,europe,0
2352,Atherina boyeri,24,0,LC,europe,0
2352,Atherina boyeri,25,0,LC,europe,0
2352,Atherina boyeri,26,0,LC,mediterranean,0
2352,Atherina boyeri,59,0,LC,europe,0
2352,Atherina boyeri,62,0,LC,mediterranean,0
2467,Balaena mysticetus,20,NA,"NA",europe,0
2467,Balaena mysticetus,21,NA,"NA",europe,0
2467,Balaena mysticetus,22,NA,"NA",europe,0
2467,Balaena mysticetus,23,NA,"NA",europe,0
2467,Balaena mysticetus,24,NA,"NA",europe,0
2467,Balaena mysticetus,25,NA,"NA",europe,0
