iucn_sid,sciname,old_cat,iucn_rgn,cat_score,cat_current
224,Acipenser naccarii,CR,europe,0.8,CR
225,Acipenser nudiventris,CR,europe,0.8,CR
229,Acipenser stellatus,CR,europe,0.8,CR
230,Acipenser sturio,CR,europe,0.8,CR
232,Acipenser gueldenstaedtii,CR,europe,0.8,CR
235,Acipenser persicus,CR,europe,0.8,CR
903,Alosa alosa,RE,northern_africa,NA,NA
903,Alosa alosa,LC,europe,0,LC
904,Alosa fallax,RE,northern_africa,NA,NA
904,Alosa fallax,LC,europe,0,LC
906,Alosa maeotica,LC,europe,0,LC
907,Alosa immaculata,VU,europe,0.4,VU
908,Alosa alabamae,DD,gulf_of_mexico,NA,DD
2352,Atherina boyeri,LC,europe,0,LC
2352,Atherina boyeri,LC,mediterranean,0,LC
2467,Balaena mysticetus,"NA",europe,NA,NA
2474,Balaenoptera acutorostrata,LC,europe,0,LC
2475,Balaenoptera borealis,EN,europe,0.6,EN
2477,Balaenoptera musculus,EN,europe,0.6,EN
2478,Balaenoptera physalus,NT,europe,0.2,NT
2478,Balaenoptera physalus,VU,mediterranean,0.4,VU
2539,Balistes vetula,DD,europe,NA,DD
2539,Balistes vetula,LC,gulf_of_mexico,0,LC
2761,Benthophiloides brauneri,DD,europe,NA,DD
3851,Carcharhinus limbatus,DD,europe,NA,DD
3851,Carcharhinus limbatus,DD,mediterranean,NA,DD
3852,Carcharhinus obscurus,DD,europe,NA,DD
3852,Carcharhinus obscurus,DD,mediterranean,NA,DD
3853,Carcharhinus plumbeus,EN,europe,0.6,EN
3853,Carcharhinus plumbeus,EN,mediterranean,0.6,EN
3854,Carcharias taurus,CR,europe,0.8,CR
3854,Carcharias taurus,CR,mediterranean,0.8,CR
3855,Carcharodon carcharias,CR,europe,0.8,CR
3855,Carcharodon carcharias,CR,mediterranean,0.8,CR
4292,Cetorhinus maximus,EN,europe,0.6,EN
4292,Cetorhinus maximus,EN,mediterranean,0.6,EN
4987,Clupeonella cultriventris,LC,europe,0,LC
5360,Coregonus albula,LC,europe,0,LC
5363,Coregonus autumnalis,LC,europe,0,LC
5375,Coregonus pidschian,LC,europe,0,LC
5380,Coregonus oxyrinchus,EX,europe,1,EX
5675,Croilia mossambica,LC,southern_africa,0,LC
5675,Croilia mossambica,LC,pan-africa,0,LC
6204,Cystophora cristata,"NA",europe,NA,NA
6229,Dalatias licha,EN,europe,0.6,EN
6229,Dalatias licha,VU,mediterranean,0.4,VU
6335,Delphinapterus leucas,"NA",europe,NA,NA
6336,Delphinus delphis,DD,europe,NA,DD
6336,Delphinus delphis,EN,mediterranean,0.6,EN
7135,Eleotris melanosoma,LC,eastern_africa,0,LC
7135,Eleotris melanosoma,LC,southern_africa,0,LC
7135,Eleotris melanosoma,LC,pan-africa,0,LC
7854,Epinephelus drummondhayi,LC,gulf_of_mexico,0,LC
7859,Epinephelus marginatus,EN,europe,0.6,EN
7859,Epinephelus marginatus,EN,mediterranean,0.6,EN
7860,Hyporthodus nigritus,NT,gulf_of_mexico,0.2,NT
7861,Hyporthodus niveatus,LC,gulf_of_mexico,0,LC
7862,Epinephelus striatus,CR,gulf_of_mexico,0.8,CR
8010,Erignathus barbatus,"NA",europe,NA,NA
8097,Eschrichtius robustus,RE,europe,NA,NA
8951,Gasterosteus aculeatus,LC,europe,0,LC
9250,Globicephala melas,DD,europe,NA,DD
9250,Globicephala melas,DD,mediterranean,NA,DD
9266,Psammogobius biocellatus,LC,eastern_africa,0,LC
9266,Psammogobius biocellatus,LC,pan-africa,0,LC
9461,Grampus griseus,DD,europe,NA,DD
9461,Grampus griseus,DD,mediterranean,NA,DD
9660,Halichoerus grypus,LC,europe,0,LC
10030,Hexanchus griseus,LC,europe,0,LC
10030,Hexanchus griseus,LC,mediterranean,0,LC
10066,Hippocampus erectus,"NA",europe,NA,NA
10066,Hippocampus erectus,VU,gulf_of_mexico,0.4,VU
10069,Hippocampus hippocampus,DD,europe,NA,DD
10069,Hippocampus hippocampus,NT,mediterranean,0.2,NT
10075,Hippocampus kuda,DD,persian_gulf,NA,DD
10082,Hippocampus reidi,LC,gulf_of_mexico,0,LC
10089,Hippocampus zosterae,NT,gulf_of_mexico,0.2,NT
10103,Hippopotamus amphibius,RE,mediterranean,NA,NA
10269,Huso huso,CR,europe,0.8,CR
10707,Hyperoodon ampullatus,DD,europe,NA,DD
11030,Knipowitschia caucasica,LC,europe,0,LC
11030,Knipowitschia caucasica,LC,mediterranean,0,LC
11047,Kogia breviceps,"NA",europe,NA,NA
11048,Kogia sima,"NA",europe,NA,NA
11130,Lachnolaimus maximus,VU,gulf_of_mexico,0.4,VU
11140,Lagenodelphis hosei,"NA",europe,NA,NA
11141,Lagenorhynchus acutus,LC,europe,0,LC
11142,Lagenorhynchus albirostris,LC,europe,0,LC
11200,Lamna nasus,CR,europe,0.8,CR
11200,Lamna nasus,CR,mediterranean,0.8,CR
11206,Lampetra fluviatilis,LC,europe,0,LC
12416,Lutjanus analis,LC,gulf_of_mexico,0,LC
12417,Lutjanus cyanopterus,DD,gulf_of_mexico,NA,DD
12419,Lutra lutra,NT,europe,0.2,NT
12419,Lutra lutra,NT,mediterranean,0.2,NT
13006,Megaptera novaeangliae,LC,europe,0,LC
13145,Menidia conchorum,EN,gulf_of_mexico,0.6,EN
