iucn_sid,sciname,kingdom,phylum,class,order,family,main_common_name,published_year,old_cat,criteria,aoo_km2,eoo_km2,depth_upper,depth_lower,cat,cat_score
222,Acipenser brevirostrum,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Shortnose Sturgeon,2004,VU,A2ce; B1ab(iii),NA,NA,NA,NA,VU,0.4
224,Acipenser naccarii,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Adriatic Sturgeon,2011,CR,"A2bcde; B2ab(i,ii,iii,iv,v)",1-10,NA,NA,NA,CR,0.8
225,Acipenser nudiventris,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Ship Sturgeon,2010,CR,A2cde,NA,NA,NA,NA,CR,0.8
229,Acipenser stellatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Stellate Sturgeon,2010,CR,A2cde,NA,NA,NA,NA,CR,0.8
230,Acipenser sturio,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Atlantic Sturgeon,2010,CR,"A2cde; B2ab(ii,iii,v)",10,NA,NA,NA,CR,0.8
232,Acipenser gueldenstaedtii,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Russian Sturgeon,2010,CR,A2bcde,NA,NA,NA,NA,CR,0.8
233,Acipenser medirostris,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Green Sturgeon,2006,NT,NA,NA,NA,NA,NA,NT,0.2
234,Acipenser transmontanus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,White Sturgeon,2004,LC,NA,NA,NA,NA,NA,LC,0
236,Acipenser sinensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Chinese Sturgeon,2010,CR,"A2bcd; B2ab(i,ii,iii,iv,v); C2a(ii)",8,NA,NA,NA,CR,0.8
241,Acipenser mikadoi,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Sakhalin Sturgeon,2010,CR,A2cde,NA,NA,NA,NA,CR,0.8
245,Acipenser oxyrinchus,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Gulf Sturgeon,2006,NT,NA,NA,NA,NA,NA,NT,0.2
697,Agonostomus telfairii,ANIMALIA,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,Fairy Mullet,2016,LC,NA,NA,NA,NA,NA,LC,0
903,Alosa alosa,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Allis Shad,2008,LC,NA,NA,NA,NA,NA,LC,0
904,Alosa fallax,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Twaite Shad,2008,LC,NA,NA,NA,NA,NA,LC,0
907,Alosa immaculata,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,NA,2008,VU,B2ab(v),NA,NA,NA,NA,VU,0.4
1086,Amblyrhynchus cristatus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE,Fernandina Marine Iguana,2004,VU,B2ac(iv),NA,NA,NA,NA,VU,0.4
1308,Anisotremus moricandi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,HAEMULIDAE,Brownstriped Grunt,2015,LC,NA,NA,NA,2,12,LC,0
1615,Choranthias salmopunctatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,NA,2015,LC,NA,NA,NA,30,35,LC,0
1847,Aphanius fasciatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,CYPRINODONTIDAE,South European Toothcarp,2006,LC,NA,NA,NA,NA,NA,LC,0
2055,Arctocephalus australis,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,South American Fur Seal,2016,LC,NA,1973796,8591520,NA,600,LC,0
2057,Arctocephalus galapagoensis,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Galápagos Fur Seal,2015,EN,A2ab,109400,119277,0,115,EN,0.6
2058,Arctocephalus gazella,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Antarctic Fur Seal,2016,LC,NA,17531216,39315299,NA,181,LC,0
2059,Arctocephalus philippii,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Juan Fernández Fur Seal,2015,LC,NA,1128008,3945710,0,170,LC,0
2060,Arctocephalus pusillus,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Afro-Australian Fur Seal,2015,LC,NA,828836,19612766,NA,204,LC,0
2061,Arctocephalus townsendi,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Guadalupe Fur Seal,2015,LC,NA,503372,1496773,0,82,LC,0
2062,Arctocephalus tropicalis,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Subantarctic Fur Seal,2015,LC,NA,13434900,39445704,NA,208,LC,0
2352,Atherina boyeri,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,ATHERINIDAE,Black Sea Silverside,2008,LC,NA,NA,NA,NA,NA,LC,0
2467,Balaena mysticetus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENIDAE,Bowhead Whale,2012,LC,NA,NA,NA,NA,NA,LC,0
2474,Balaenoptera acutorostrata,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Common Minke Whale,2008,LC,NA,NA,NA,NA,NA,LC,0
2475,Balaenoptera borealis,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Sei Whale,2008,EN,A1ad,NA,NA,NA,NA,EN,0.6
2477,Balaenoptera musculus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Blue Whale,2008,EN,A1abd,NA,NA,NA,NA,EN,0.6
2478,Balaenoptera physalus,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,BALAENOPTERIDAE,Fin Whale,2013,EN,A1d,NA,NA,NA,NA,EN,0.6
2539,Balistes vetula,ANIMALIA,CHORDATA,ACTINOPTERYGII,TETRAODONTIFORMES,BALISTIDAE,Queen Triggerfish,2015,NT,NA,NA,NA,0,275,NT,0.2
2958,Brachionichthys hirsutus,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,BRACHIONICHTHYIDAE,Spotted Handfish,1996,CR,A1cde,NA,NA,NA,NA,CR,0.8
