loiczid,lat
167254,-26.25
167253,-26.25
167974,-26.75
167973,-26.75
167260,-26.25
167259,-26.25
167980,-26.75
167979,-26.75
167252,-26.25
167251,-26.25
167972,-26.75
167971,-26.75
168700,-27.25
168699,-27.25
169420,-27.75
169419,-27.75
168698,-27.25
168697,-27.25
169418,-27.75
169417,-27.75
168696,-27.25
168695,-27.25
169416,-27.75
169415,-27.75
168694,-27.25
168693,-27.25
169414,-27.75
169413,-27.75
168692,-27.25
165811,-25.25
166532,-25.75
166531,-25.75
167258,-26.25
167257,-26.25
167978,-26.75
168691,-27.25
169412,-27.75
169411,-27.75
170140,-28.25
170139,-28.25
185072,-38.75
185071,-38.75
185800,-39.25
185799,-39.25
186520,-39.75
186519,-39.75
185798,-39.25
185797,-39.25
186518,-39.75
186517,-39.75
185796,-39.25
185795,-39.25
186516,-39.75
186515,-39.75
185794,-39.25
180749,-35.75
180028,-35.25
180027,-35.25
180748,-35.75
180747,-35.75
184356,-38.25
184355,-38.25
185076,-38.75
185075,-38.75
184354,-38.25
184353,-38.25
185074,-38.75
185073,-38.75
184352,-38.25
184351,-38.25
186512,-39.75
186511,-39.75
180030,-35.25
180029,-35.25
180750,-35.75
5657,86.25
5658,86.25
4937,86.75
4938,86.75
5659,86.25
5660,86.25
4939,86.75
4940,86.75
4211,87.25
4212,87.25
257306,-88.75
257305,-88.75
256584,-88.25
256583,-88.25
257304,-88.75
167977,-26.75
167256,-26.25
167255,-26.25
167976,-26.75
167975,-26.75
257303,-88.75
256582,-88.25
256581,-88.25
257302,-88.75
257301,-88.75
258030,-89.25
258029,-89.25
258750,-89.75
258749,-89.75
258028,-89.25
185793,-39.25
186514,-39.75
186513,-39.75
185792,-39.25
185791,-39.25
179303,-34.75
189656,-41.75
189655,-41.75
188934,-41.25
188933,-41.25
189654,-41.75
189653,-41.75
256590,-88.25
256589,-88.25
257310,-88.75
257309,-88.75
256588,-88.25
256587,-88.25
257308,-88.75
257307,-88.75
256586,-88.25
256585,-88.25
