loiczid,clust_100,clust_150,clust_250,clust_500
11990,88,125,180,254
12574,97,133,42,418
12575,97,133,42,418
12576,97,133,42,418
12579,97,133,42,418
12580,97,133,42,418
12582,97,133,9,418
12639,88,70,9,496
12691,88,70,180,254
12696,88,70,180,254
12697,88,70,180,254
12701,88,70,180,254
12706,88,70,180,254
12707,88,70,180,254
12709,88,125,180,254
12710,88,125,180,254
13289,97,133,42,418
13290,97,133,42,418
13291,97,133,42,418
13292,97,133,42,418
13293,97,133,42,418
13294,97,133,42,418
13295,97,133,42,418
13296,97,133,42,418
13297,97,133,42,418
13298,97,133,42,418
13299,97,133,42,418
13300,97,133,42,418
13301,97,133,42,418
13302,97,133,42,418
13303,97,133,9,418
13305,97,133,9,418
13330,97,133,9,125
13332,97,133,9,125
13334,97,133,9,125
13335,97,133,9,125
13336,97,133,9,125
13338,97,133,9,496
13339,97,133,9,496
13340,97,133,9,496
13341,97,133,9,496
13342,97,133,9,496
13343,97,133,9,496
13344,97,133,9,496
13345,97,133,9,496
13346,97,133,9,496
13347,97,133,9,496
13348,97,133,9,496
13349,97,133,9,496
13350,97,133,9,496
13351,97,133,9,496
13352,97,133,9,496
13355,97,70,9,496
13356,88,70,9,496
13357,88,70,9,496
13358,88,70,9,496
13360,88,70,9,496
13361,88,70,180,496
13362,88,70,180,496
13373,88,70,180,496
13374,88,70,180,496
13415,88,70,180,254
13416,88,70,180,254
13417,88,70,180,254
13418,88,70,180,254
13419,88,70,180,254
13421,88,70,180,254
13422,88,70,180,254
13425,88,70,180,254
13426,88,125,180,254
13427,88,125,180,254
13428,88,125,180,254
13429,88,125,180,254
13430,88,125,180,254
13438,88,125,192,254
13505,8,115,52,391
14008,97,133,42,418
14009,97,133,42,418
14011,97,133,42,418
14012,97,133,42,418
14013,97,133,42,418
14015,97,133,42,418
14019,97,133,42,418
14021,97,133,42,418
14049,97,133,9,125
14050,97,133,9,125
14051,97,133,9,125
14052,97,133,9,125
14053,97,133,9,125
14054,97,133,9,125
14055,97,133,9,125
14056,97,133,9,125
14058,97,133,9,496
14060,97,133,9,496
14061,97,133,9,496
14062,97,133,9,496
14063,97,133,9,496
14064,97,133,9,496
14065,97,133,9,496
14066,97,133,9,496
14067,97,133,9,496
14068,97,133,9,496
14069,97,133,9,496
14070,97,133,9,496
14071,97,133,9,496
14072,97,133,9,496
14073,97,133,9,496
14074,97,133,9,496
14076,97,70,9,496
14077,88,70,9,496
14078,88,70,9,496
14079,88,70,9,496
14080,88,70,9,496
14093,88,70,180,496
14094,88,70,180,496
14096,88,70,180,496
14097,88,70,180,496
14103,88,70,180,308
14104,88,70,180,308
14134,88,70,180,254
14135,88,70,180,254
14136,88,70,180,254
14137,88,70,180,254
14138,88,70,180,254
14139,88,70,180,254
14140,88,70,180,254
14141,88,70,180,254
14146,88,125,180,254
14147,88,125,180,254
14150,88,125,192,254
14151,88,125,192,254
14154,88,125,192,254
14159,88,125,192,254
14160,88,125,192,254
14161,8,125,192,254
14732,97,133,42,418
14770,97,133,9,125
14771,97,133,9,125
14772,97,133,9,125
14773,97,133,9,125
14774,97,133,9,125
14775,97,133,9,125
14776,97,133,9,125
14777,97,133,9,125
14778,97,133,9,496
14779,97,133,9,496
14780,97,133,9,496
14781,97,133,9,496
14782,97,133,9,496
14783,97,133,9,496
14784,97,133,9,496
14785,97,133,9,496
14786,97,133,9,496
14787,97,133,9,496
14788,97,133,9,496
14789,97,133,9,496
14790,97,133,9,496
14791,97,133,9,496
14792,97,133,9,496
14794,97,133,9,496
14795,97,70,9,496
14796,97,70,9,496
14797,88,70,9,496
14798,88,70,9,496
14812,88,70,180,496
14813,88,70,180,496
14814,88,70,180,496
14815,88,70,180,496
14816,88,70,180,496
14817,88,70,180,496
14818,88,70,180,496
14819,88,70,180,496
14820,88,70,180,308
14821,88,70,180,308
14822,88,70,180,308
14823,88,70,180,308
14824,88,70,180,308
14825,88,70,180,308
14840,88,70,180,308
14843,88,70,180,308
14844,88,70,180,308
14845,88,70,180,308
14846,88,70,180,308
14847,88,70,180,308
14848,88,70,180,308
14849,88,70,180,308
14850,88,70,180,254
14851,88,70,180,254
14852,88,70,180,254
14853,88,70,180,254
14854,88,70,180,254
14855,88,70,180,254
14856,88,70,180,254
14857,88,70,180,254
14858,88,70,180,254
14859,88,70,180,254
14860,88,70,180,254
14861,88,70,180,254
14862,88,70,180,254
14863,88,125,180,254
14864,88,125,180,254
14865,88,125,180,254
14866,88,125,180,254
14867,88,125,180,254
14868,88,125,192,254
14869,88,125,192,254
14870,88,125,192,254
14871,88,125,192,254
14872,88,125,192,254
14873,88,125,192,254
14874,88,125,192,254
14875,88,125,192,254
14876,88,125,192,254
14877,88,125,192,254
14878,88,125,192,254
14879,88,125,192,254
14880,88,125,192,254
14881,8,125,192,254
15328,11,4,34,416
15329,11,4,34,416
15330,11,4,34,416
15331,11,4,34,416
15502,97,133,9,496
15508,97,133,9,496
15511,97,133,9,496
15512,97,133,9,496
15513,97,133,9,496
15524,88,70,180,496
15525,88,70,180,496
15526,88,70,180,496
15527,88,70,180,496
15528,88,70,180,496
15529,88,70,180,496
15530,88,70,180,496
15531,88,70,180,496
15532,88,70,180,496
15533,88,70,180,496
15534,88,70,180,496
15535,88,70,180,496
15536,88,70,180,496
15537,88,70,180,496
15538,88,70,180,496
15539,88,70,180,496
15540,88,70,180,308
15541,88,70,180,308
15542,88,70,180,308
15543,88,70,180,308
15544,88,70,180,308
15558,88,70,180,308
15559,88,70,180,308
15560,88,70,180,308
15562,88,70,180,308
15563,88,70,180,308
15564,88,70,180,308
15565,88,70,180,308
15566,88,70,180,308
15567,88,70,180,308
15568,88,70,180,308
15569,88,70,180,308
15570,88,70,180,254
15571,88,70,180,254
15572,88,70,180,254
15573,88,70,180,254
15574,88,70,180,254
15575,88,70,180,254
15576,88,70,180,254
15577,88,70,180,254
15578,88,70,180,254
15579,88,70,180,254
15580,88,70,180,254
15581,88,70,180,254
15582,88,125,180,254
15583,88,125,180,254
15584,88,125,180,254
15585,88,125,180,254
15586,88,125,192,254
15587,88,125,192,254
15588,88,125,192,254
15589,88,125,192,254
15590,88,125,192,254
15591,88,125,192,254
15592,88,125,192,254
15593,88,125,192,254
15594,88,125,192,254
15595,88,125,192,254
15596,88,125,192,254
15597,88,125,192,254
15598,88,125,192,254
15602,8,125,192,254
16049,11,4,34,416
16050,11,4,34,416
16051,11,4,34,416
16052,11,4,34,416
16053,11,4,34,416
16054,11,4,34,416
16056,11,4,34,416
16231,97,133,9,496
16233,97,133,9,496
16244,88,70,180,496
16245,88,70,180,496
16246,88,70,180,496
16247,88,70,180,496
16248,88,70,180,496
16249,88,70,180,496
16250,88,70,180,496
16251,88,70,180,496
16252,88,70,180,496
16253,88,70,180,496
16254,88,70,180,496
16255,88,70,180,496
16256,88,70,180,496
16257,88,70,180,496
16258,88,70,180,496
16259,88,70,180,308
16260,88,70,180,308
16261,88,70,180,308
16262,88,70,180,308
16263,88,70,180,308
16264,88,70,180,308
16265,88,70,180,308
16266,88,70,180,308
16267,88,70,180,308
16268,88,70,180,308
16269,88,70,180,308
16271,88,70,180,308
16272,88,70,180,308
16273,88,70,180,308
16274,88,70,180,308
16275,88,70,180,308
16276,88,70,180,308
16277,88,70,180,308
16278,88,70,180,308
16279,88,70,180,308
16280,88,70,180,308
16281,88,70,180,308
16282,88,70,180,308
16283,88,70,180,308
16284,88,70,180,308
16285,88,70,180,308
16286,88,70,180,308
16287,88,70,180,308
16288,88,70,180,308
16289,88,70,180,308
16290,88,70,180,254
16291,88,70,180,254
16292,88,70,180,254
16293,88,70,180,254
16294,88,70,180,254
16295,88,70,180,254
16296,88,70,180,254
16297,88,70,180,254
16298,88,70,180,254
16299,88,70,180,254
16300,88,70,180,254
16301,88,125,180,254
16302,88,125,180,254
16303,88,125,180,254
16304,88,125,180,254
16305,88,125,192,254
16306,88,125,192,254
16307,88,125,192,254
16308,88,125,192,254
16309,88,125,192,254
16310,88,125,192,254
16311,88,125,192,254
16312,88,125,192,254
16315,88,125,192,254
16316,88,125,192,254
16317,88,125,192,254
16318,88,125,192,254
16319,88,125,192,254
16320,88,125,192,254
16321,8,125,192,254
16322,8,125,192,254
16412,8,115,52,109
16755,11,4,34,416
16768,11,4,34,416
16769,11,4,34,416
16770,11,4,34,416
16774,11,4,34,416
16775,11,4,34,416
16776,11,4,34,416
16966,88,70,180,496
16967,88,70,180,496
16968,88,70,180,496
16969,88,70,180,496
16970,88,70,180,496
16971,88,70,180,496
16972,88,70,180,496
16973,88,70,180,496
16974,88,70,180,496
16975,88,70,180,496
16976,88,70,180,496
16977,88,70,180,496
16978,88,70,180,496
16979,88,70,180,308
16980,88,70,180,308
16981,88,70,180,308
16982,88,70,180,308
16983,88,70,180,308
16984,88,70,180,308
16985,88,70,180,308
16986,88,70,180,308
16987,88,70,180,308
16988,88,70,180,308
16989,88,70,180,308
16990,88,70,180,308
16991,88,70,180,308
16992,88,70,180,308
16993,88,70,180,308
16994,88,70,180,308
16995,88,70,180,308
16996,88,70,180,308
16997,88,70,180,308
16998,88,70,180,308
16999,88,70,180,308
17e3,88,70,180,308
17001,88,70,180,308
17002,88,70,180,308
17003,88,70,180,308
17004,88,70,180,308
17005,88,70,180,308
17006,88,70,180,308
17007,88,70,180,308
17008,88,70,180,308
17009,88,70,180,308
17010,88,70,180,254
17011,88,70,180,254
17012,88,70,180,254
17013,88,70,180,254
17014,88,70,180,254
17015,88,70,180,254
17016,88,70,180,254
17017,88,70,180,254
17018,88,70,180,254
17019,88,125,180,254
17020,88,125,180,254
17021,88,125,180,254
17022,88,125,180,254
17023,88,125,192,254
17024,88,125,192,254
17025,88,125,192,254
17026,88,125,192,254
17027,88,125,192,254
17028,88,125,192,254
17029,88,125,192,254
17030,88,125,192,254
17031,88,125,192,254
17032,88,125,192,254
17033,88,125,192,254
17034,88,125,192,254
17035,88,125,192,254
17036,88,125,192,254
17037,88,125,192,254
17038,88,125,192,254
17042,8,125,192,254
17077,8,115,52,391
17080,8,115,52,391
17081,8,115,52,391
17082,8,115,52,391
17083,8,115,52,391
17085,8,115,52,391
17131,8,115,52,109
17133,8,115,52,109
17134,8,115,52,109
17135,8,115,52,109
17136,8,115,52,109
17137,8,115,52,109
17138,8,115,52,109
17139,8,115,52,109
17472,11,4,34,416
17473,11,4,34,416
17474,11,4,34,416
