iucn_sid,sciname,category,dbf_file,map_id,api_pop
2055,Arctocephalus australis,LC,MARINE_MAMMALS.dbf,NA,NA
2057,Arctocephalus galapagoensis,EN,MARINE_MAMMALS.dbf,NA,NA
2058,Arctocephalus gazella,LC,MARINE_MAMMALS.dbf,NA,NA
2059,Arctocephalus philippii,LC,MARINE_MAMMALS.dbf,NA,NA
2060,Arctocephalus pusillus,LC,MARINE_MAMMALS.dbf,NA,NA
2061,Arctocephalus townsendi,LC,MARINE_MAMMALS.dbf,NA,NA
2062,Arctocephalus tropicalis,LC,MARINE_MAMMALS.dbf,NA,NA
2467,Balaena mysticetus,LC,MARINE_MAMMALS.dbf,NA,NA
2474,Balaenoptera acutorostrata,LC,MARINE_MAMMALS.dbf,NA,NA
2475,Balaenoptera borealis,EN,MARINE_MAMMALS.dbf,NA,NA
2476,Balaenoptera edeni,DD,MARINE_MAMMALS.dbf,NA,NA
2477,Balaenoptera musculus,EN,MARINE_MAMMALS.dbf,NA,NA
2478,Balaenoptera physalus,EN,MARINE_MAMMALS.dbf,NA,NA
2480,Balaenoptera bonaerensis,DD,MARINE_MAMMALS.dbf,NA,NA
2762,Berardius arnuxii,DD,MARINE_MAMMALS.dbf,NA,NA
2763,Berardius bairdii,DD,MARINE_MAMMALS.dbf,NA,NA
3590,Callorhinus ursinus,VU,MARINE_MAMMALS.dbf,NA,NA
3764,Canthigaster rapaensis,EN,PUFFERFISH.dbf,NA,NA
3778,Caperea marginata,DD,MARINE_MAMMALS.dbf,NA,NA
3851,Carcharhinus limbatus,NT,CHONDRICHTHYES.dbf,NA,NA
3852,Carcharhinus obscurus,VU,CHONDRICHTHYES.dbf,NA,NA
3853,Carcharhinus plumbeus,VU,CHONDRICHTHYES.dbf,NA,NA
3854,Carcharias taurus,VU,CHONDRICHTHYES.dbf,NA,NA
3855,Carcharodon carcharias,VU,CHONDRICHTHYES.dbf,NA,NA
3897,Caretta caretta,VU,REPTILES.dbf,NA,NA
4131,Centropyge resplendens,LC,ANGELFISH.dbf,NA,NA
4160,Cephalorhynchus eutropia,NT,MARINE_MAMMALS.dbf,NA,NA
4161,Cephalorhynchus heavisidii,DD,MARINE_MAMMALS.dbf,NA,NA
4162,Cephalorhynchus hectori,EN,MARINE_MAMMALS.dbf,NA,NA
4292,Cetorhinus maximus,VU,CHONDRICHTHYES.dbf,NA,NA
4360,Chaetodon flavocoronatus,LC,BUTTERFLYFISH.dbf,NA,NA
4361,Chaetodon litus,LC,BUTTERFLYFISH.dbf,NA,NA
4362,Chaetodon marleyi,LC,BUTTERFLYFISH.dbf,NA,NA
