iucn_sid,sciname,main_common_name,cat,cat_score,published_year,iucn_version
233,Acipenser medirostris,Green Sturgeon,NT,0.2,2006,2018-1
234,Acipenser transmontanus,White Sturgeon,LC,0,2004,2018-1
236,Acipenser sinensis,Chinese Sturgeon,CR,0.8,2010,2018-1
241,Acipenser mikadoi,Sakhalin Sturgeon,CR,0.8,2010,2018-1
242,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,VU,0.4,2006,2018-1
243,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,NT,0.2,2006,2018-1
678,Agathothoma finalis,NA,DD,NA,1996,2018-1
1086,Amblyrhynchus cristatus,Fernandina Marine Iguana,VU,0.4,2004,2018-1
1308,Anisotremus moricandi,Brownstriped Grunt,LC,0,2015,2018-1
1615,Choranthias salmopunctatus,NA,LC,0,2015,2018-1
1866,Aplochiton marinus,NA,DD,NA,1996,2018-1
2064,Arctocephalus australis ssp. australis,South American Fur Seal,LC,0,2016,2018-1
2066,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,LC,0,2015,2018-1
2067,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,LC,0,2015,2018-1
2113,Arius madagascariensis,Madagascar Sea Catfish,LC,0,2016,2018-1
2179,Assiminea infirma,Badwater Snail,VU,0.4,1996,2018-1
2181,Assiminea palauensis,NA,DD,NA,1996,2018-1
2182,Assiminea pecos,Pecos Assiminea,EN,0.6,1996,2018-1
2218,Astraea heliotropium,NA,LC,0,2e3,2018-1
2479,Balaenoptera musculus ssp. brevicauda,Pygmy Blue Whale,DD,NA,1996,2018-1
2482,Balaenoptera musculus ssp. musculus North Pacific stock,Blue Whale,VU,0.4,1996,2018-1
2483,Balaenoptera musculus ssp. musculus North Atlantic stock,North Atlantic Blue Whale,VU,0.4,1996,2018-1
2539,Balistes vetula,Queen Triggerfish,NT,0.2,2015,2018-1
2621,Bathygobius burtoni,NA,EN,0.6,2015,2018-1
