iucn_sid,sciname,presence,subpop,dbf_file,max_depth,kingdom,phylum,class,order,taxon
13486514,Ablennes hians,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Ablennes_hians.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,beloniformes,beloniformes
60469175,Abyssobrotula galatheae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Abyssobrotula_galatheae.dbf,200 m +,ANIMALIA,chordata,actinopterygii,ophidiiformes,ophidiiformes
190201,Acanthonus armatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acanthonus_armatus.dbf,200 m +,ANIMALIA,chordata,actinopterygii,ophidiiformes,ophidiiformes
222,Acipenser brevirostrum,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_brevirostrum.dbf,200 m +,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
232,Acipenser gueldenstaedtii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_gueldenstaedtii.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
224,Acipenser naccarii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_naccarii.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
225,Acipenser nudiventris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_nudiventris.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
245,Acipenser oxyrinchus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_oxyrinchus.dbf,200 m +,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
235,Acipenser persicus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_persicus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
229,Acipenser stellatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_stellatus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
230,Acipenser sturio,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acipenser_sturio.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,acipenseriformes,acipenseriformes
154950,Acyrtops amplicirrus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acyrtops_amplicirrus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
185922,Acyrtops beryllinus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acyrtops_beryllinus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
185877,Acyrtus artius,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acyrtus_artius.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
185876,Acyrtus rubiginosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Acyrtus_rubiginosus.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
192943,Agonostomus monticola,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Agonostomus_monticola.dbf,200 m +,ANIMALIA,chordata,actinopterygii,mugiliformes,mugiliformes
13485141,Ahliesaurus berryi,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Ahliesaurus_berryi.dbf,200 m +,ANIMALIA,chordata,actinopterygii,aulopiformes,aulopiformes
67903537,Alabes parvula,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alabes_parvula.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
67903591,Alabes springeri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alabes_springeri.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,gobiesociformes,gobiesociformes
197036,Aldrichetta forsteri,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aldrichetta_forsteri.dbf,< 200 m,ANIMALIA,chordata,actinopterygii,mugiliformes,mugiliformes
190356,Aldrovandia affinis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aldrovandia_affinis.dbf,200 m +,ANIMALIA,chordata,actinopterygii,notacanthiformes,notacanthiformes
195838,Aldrovandia phalacra,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Aldrovandia_phalacra.dbf,200 m +,ANIMALIA,chordata,actinopterygii,notacanthiformes,notacanthiformes
60469186,Alepisaurus brevirostris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alepisaurus_brevirostris.dbf,200 m +,ANIMALIA,chordata,actinopterygii,aulopiformes,aulopiformes
154820,Alepisaurus ferox,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alepisaurus_ferox.dbf,200 m +,ANIMALIA,chordata,actinopterygii,aulopiformes,aulopiformes
201946,Alosa aestivalis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_aestivalis.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
908,Alosa alabamae,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/zips_from_iucn_2018/IUCN_moremaps_part1/Alosa_alabamae.dbf,200 m +,ANIMALIA,chordata,actinopterygii,clupeiformes,clupeiformes
