group,n_spp,time
ANGELFISH.shp,86,72.98099999999977
BONEFISH_TARPONS.shp,22,18.884000000000015
CHONDRICHTHYES.shp,1128,970.7570000000014
CORALS_PART_3.shp,17,15.068999999999505
DAMSELFISH.shp,127,109.38400000000001
HAGFISH.shp,75,76.17499999999927
MANGROVES.shp,77,88.15999999999985
MARINEFISH_PART_1.shp,874,735.8230000000003
MARINE_MAMMALS.shp,167,167.40399999999863
SEABREAMS_PORGIES.shp,151,125.05299999999988
SEAGRASSES.shp,74,70.02300000000105
SEASNAKES.shp,60,64.56299999999828
SURGEONFISH_TANGS_UNICORNFISH.shp,85,107.46700000000055
