loiczid,meow_id,meow_adj
11990,18,145
12574,1,184
12575,1,184
12576,1,184
12579,1,184
12580,1,184
12582,1,184
12639,18,75
12691,18,49
12696,18,145
12697,18,145
12701,18,145
12706,18,145
12707,18,145
12709,18,145
12710,18,145
13289,1,184
13290,1,184
13291,1,184
13292,1,184
13293,1,184
13294,1,184
13295,1,184
13296,1,184
13297,1,184
13298,1,184
13299,1,184
13300,1,184
13301,1,184
13302,1,184
13303,1,184
13305,1,184
13335,18,75
13336,18,75
13338,18,75
13339,18,75
13340,18,75
13341,18,75
13342,18,75
13343,18,75
13344,18,75
13345,18,75
13346,18,75
13347,18,75
13348,18,75
13349,18,75
13350,18,75
13351,18,75
13352,18,75
13355,18,75
13356,18,75
13357,18,75
13358,18,75
13360,18,75
13361,18,75
13362,18,75
13373,18,192
13374,18,192
13415,18,49
13416,18,145
13417,18,145
13418,18,145
13419,18,145
13421,18,145
13422,18,145
13425,18,145
13426,18,145
13427,18,145
13428,18,145
13429,18,145
13430,18,145
13438,18,145
13505,17,70
14008,1,184
14009,1,184
14011,1,184
14012,1,184
14013,1,184
14015,1,184
14019,1,184
14021,1,184
14055,18,75
14056,18,75
14058,18,75
14060,18,75
14061,18,75
14062,18,75
14063,18,75
14064,18,75
14065,18,75
14066,18,75
14067,18,75
14068,18,75
14069,18,75
14070,18,75
14071,18,75
14072,18,75
14073,18,75
14074,18,75
14076,18,75
14077,18,75
14078,18,75
14079,18,75
14080,18,75
14093,18,192
14094,18,192
14096,18,192
14097,18,192
14103,18,192
14104,18,192
14134,18,49
14135,18,49
14136,18,145
14137,18,145
14138,18,145
14139,18,145
14140,18,145
14141,18,145
14146,18,145
14147,18,145
14150,18,145
14151,18,145
14154,18,145
14159,18,145
14160,18,145
14161,18,145
14732,1,184
14775,18,75
14776,18,75
14777,18,75
14778,18,75
14779,18,75
14780,18,75
14781,18,75
14782,18,75
14783,18,75
14784,18,75
14785,18,75
14786,18,75
14787,18,75
14788,18,75
14789,18,75
14790,18,75
14791,18,75
14792,18,75
14794,18,75
14795,18,75
14796,18,75
14797,18,75
14798,18,75
14812,18,192
14813,18,192
14814,18,192
14815,18,192
14816,18,192
14817,18,192
14818,18,192
14819,18,192
14820,18,192
14821,18,192
14822,18,192
14823,18,192
14824,18,192
14825,18,192
14840,18,49
14844,18,49
14845,18,49
14846,18,49
14847,18,49
14848,18,49
14849,18,49
14850,18,49
14851,18,49
14852,18,49
14853,18,49
14854,18,49
14855,18,49
14856,18,49
14857,18,145
14858,18,145
14859,18,145
14860,18,145
14861,18,145
14862,18,145
14863,18,145
14864,18,145
14865,18,145
14866,18,145
14867,18,145
14868,18,145
14869,18,145
14870,18,145
14871,18,145
14872,18,145
14873,18,145
14874,18,145
14875,18,145
14876,18,145
14877,18,145
14878,18,145
14879,18,145
14880,18,145
14881,18,145
15328,10,22
15329,10,22
15330,10,22
15331,10,22
15495,18,75
15496,18,75
15497,18,75
15498,18,75
15499,18,75
15500,18,75
15501,18,75
15502,18,75
15508,18,75
15511,18,75
15512,18,75
15513,18,75
15524,18,192
15525,18,192
15526,18,192
15527,18,192
15528,18,192
15529,18,192
15530,18,192
15531,18,192
15532,18,192
15533,18,192
15534,18,192
15535,18,192
15536,18,192
15537,18,192
15538,18,192
15539,18,192
15540,18,192
15541,18,192
15542,18,192
15543,18,192
15544,18,192
15558,18,49
15559,18,49
15560,18,49
15562,18,49
15563,18,49
15564,18,49
15565,18,49
15566,18,49
15567,18,49
15568,18,49
15569,18,49
15570,18,49
15571,18,49
15572,18,49
15573,18,49
15574,18,49
15575,18,49
15576,18,49
15577,18,145
15578,18,145
15579,18,145
15580,18,145
15581,18,145
15582,18,145
15583,18,145
15584,18,145
15585,18,145
15586,18,145
15587,18,145
15588,18,145
15589,18,145
15590,18,145
15591,18,145
15592,18,145
15593,18,145
15594,18,145
15595,18,145
15596,18,145
15597,18,145
15598,18,145
15602,18,145
16049,10,22
16050,10,22
16051,10,22
16052,10,22
16053,10,22
16054,10,22
16056,1,56
16186,1,184
16215,18,75
16216,18,75
16217,18,75
16218,18,75
16219,18,75
16220,18,75
