loiczid,eco_code,cells
4593,20001,9
4594,20001,27
4595,20001,27
4596,20001,25
4597,20001,44
4598,20001,43
4599,20001,57
4600,20001,66
4601,20001,77
4602,20001,85
4603,20001,93
4604,20001,112
4605,20001,128
4606,20001,128
4607,20001,138
4608,20001,145
4609,20001,143
4610,20001,151
4611,20001,167
4612,20001,169
4613,20001,169
4614,20001,168
4615,20001,168
4616,20001,169
4617,20001,168
4618,20001,151
4619,20001,166
4620,20001,170
4621,20001,152
4622,20001,136
4623,20001,135
4624,20001,119
4625,20001,113
4626,20001,112
4627,20001,98
4628,20001,83
4629,20001,63
4630,20001,33
5299,20001,6
5300,20001,43
5301,20001,42
5302,20001,36
5303,20001,68
5304,20001,100
5305,20001,90
5306,20001,117
5307,20001,158
5308,20001,177
5309,20001,200
5310,20001,213
5311,20001,212
5312,20001,225
5313,20001,229
5314,20001,230
5315,20001,228
5316,20001,229
5317,20001,230
5318,20001,229
5319,20001,228
5320,20001,231
5321,20001,230
5322,20001,229
5323,20001,231
5324,20001,229
5325,20001,229
5326,20001,228
5327,20001,230
5328,20001,228
5329,20001,231
5330,20001,230
5331,20001,228
5332,20001,229
5333,20001,231
5334,20001,228
5335,20001,230
5336,20001,226
5337,20001,237
5338,20001,226
5339,20001,230
5340,20001,229
5341,20001,230
5342,20001,229
5343,20001,228
5344,20001,231
5345,20001,229
5346,20001,229
5347,20001,228
5348,20001,231
5349,20001,229
5350,20001,230
5351,20001,211
5352,20001,167
5353,20001,111
5354,20001,75
5355,20001,48
5356,20001,34
5357,20001,5
6010,20001,29
6011,20001,82
6012,20001,81
6013,20001,57
6014,20001,53
6015,20001,50
6016,20001,61
6017,20001,118
6018,20001,185
6019,20001,247
6020,20001,257
6021,20001,261
6022,20001,261
6023,20001,257
6024,20001,260
6025,20001,258
6026,20001,258
6027,20001,259
6028,20001,260
6029,20001,260
6030,20001,256
6031,20001,260
6032,20001,259
6033,20001,257
6034,20001,263
6035,20001,258
6036,20001,258
6037,20001,258
6038,20001,259
6039,20001,262
6040,20001,257
6041,20001,259
6042,20001,258
6043,20001,258
6044,20001,260
6045,20001,258
6046,20001,260
6047,20001,261
6048,20001,257
6049,20001,257
6050,20001,260
6051,20001,264
6052,20001,259
6053,20001,260
6054,20001,251
6055,20001,260
6056,20001,261
6057,20001,259
6058,20001,259
6059,20001,257
6060,20001,260
6061,20001,258
6062,20001,259
6063,20001,260
6064,20001,258
6065,20001,259
6066,20001,259
6067,20001,259
6068,20001,259
6069,20001,258
6070,20001,261
6071,20001,257
6072,20001,260
6073,20001,259
6074,20001,258
6075,20001,259
6076,20001,260
6077,20001,259
6078,20001,220
6079,20001,187
6080,20001,119
6081,20001,12
6729,20001,13
6730,20001,250
6731,20001,307
6732,20001,291
6733,20001,307
6734,20001,295
6735,20001,301
6736,20001,301
6737,20001,299
6738,20001,301
6739,20001,300
6740,20001,299
6741,20001,302
6742,20001,299
6743,20001,300
6744,20001,301
6745,20001,300
6746,20001,299
6747,20001,300
6748,20001,302
6749,20001,298
6750,20001,301
6751,20001,301
6752,20001,299
6753,20001,302
6754,20001,300
6755,20001,300
6756,20001,300
6757,20001,301
6758,20001,300
6759,20001,300
6760,20001,301
6761,20001,299
6762,20001,301
6763,20001,300
6764,20001,304
6765,20001,303
6766,20001,292
6767,20001,297
6768,20001,308
6769,20001,295
6770,20001,305
6771,20001,297
6772,20001,300
6773,20001,302
6774,20001,299
6775,20001,301
6776,20001,301
6777,20001,299
6778,20001,301
6779,20001,299
6780,20001,300
6781,20001,301
6782,20001,300
6783,20001,299
6784,20001,302
6785,20001,299
6786,20001,303
6787,20001,296
6788,20001,302
6789,20001,300
6790,20001,299
6791,20001,303
6792,20001,298
6793,20001,300
6794,20001,301
6795,20001,300
6796,20001,301
6797,20001,300
6798,20001,300
6799,20001,300
6800,20001,302
6801,20001,299
6802,20001,301
6803,20001,272
6804,20001,192
6805,20001,110
6806,20001,109
6807,20001,128
6808,20001,120
6809,20001,121
6810,20001,120
6811,20001,121
6812,20001,113
6813,20001,85
6814,20001,66
6815,20001,30
7449,20001,206
7450,20001,320
7451,20001,320
7452,20001,322
7453,20001,321
7454,20001,321
7455,20001,320
7456,20001,321
7457,20001,321
7458,20001,321
7459,20001,320
7460,20001,323
7461,20001,318
7462,20001,323
7463,20001,322
7464,20001,319
7465,20001,321
7466,20001,321
7467,20001,321
7468,20001,322
7469,20001,319
7470,20001,321
7471,20001,319
7472,20001,323
7473,20001,320
7474,20001,322
7475,20001,320
7476,20001,321
7477,20001,320
7478,20001,324
7479,20001,318
7480,20001,319
7481,20001,328
7482,20001,313
7483,20001,320
7484,20001,327
7485,20001,319
7486,20001,320
7487,20001,320
7488,20001,321
7489,20001,321
7490,20001,321
7491,20001,321
7492,20001,321
7493,20001,323
7494,20001,318
7495,20001,322
7496,20001,322
7497,20001,319
7498,20001,321
7499,20001,320
7500,20001,323
7501,20001,320
7502,20001,319
7503,20001,323
7504,20001,319
7505,20001,321
7506,20001,322
7507,20001,321
7508,20001,319
7509,20001,321
7510,20001,321
7511,20001,322
7512,20001,320
7513,20001,322
7514,20001,319
7515,20001,321
7516,20001,321
7517,20001,321
7518,20001,322
7519,20001,318
7520,20001,319
7521,20001,335
7522,20001,311
7523,20001,319
7524,20001,321
7525,20001,322
7526,20001,321
7527,20001,320
7528,20001,320
7529,20001,322
7530,20001,323
7531,20001,318
7532,20001,321
7533,20001,320
7534,20001,321
7535,20001,323
7536,20001,306
7537,20001,249
7538,20001,163
7539,20001,52
8168,20001,142
8169,20001,352
8170,20001,352
8171,20001,354
8172,20001,353
8173,20001,352
8174,20001,350
8175,20001,357
8176,20001,350
8177,20001,352
8178,20001,353
8179,20001,354
8180,20001,352
8181,20001,353
8182,20001,352
8183,20001,351
8184,20001,354
8185,20001,353
8186,20001,352
8187,20001,353
8188,20001,352
8189,20001,353
8190,20001,352
8191,20001,353
8192,20001,352
8193,20001,353
8194,20001,354
8195,20001,348
8196,20001,359
8197,20001,357
8198,20001,352
8199,20001,347
8200,20001,352
8201,20001,352
8202,20001,353
8203,20001,353
8204,20001,354
8205,20001,350
8206,20001,355
8207,20001,351
8208,20001,354
8209,20001,351
8210,20001,352
8211,20001,354
8212,20001,352
8213,20001,353
8214,20001,353
8215,20001,353
8216,20001,354
8217,20001,348
8218,20001,353
8219,20001,353
8220,20001,355
8221,20001,351
8222,20001,354
8223,20001,352
8224,20001,353
8225,20001,352
8226,20001,354
8227,20001,351
8228,20001,353
8229,20001,354
8230,20001,352
8231,20001,353
8232,20001,352
8233,20001,352
8234,20001,353
8235,20001,352
8236,20001,355
8237,20001,350
8238,20001,345
8239,20001,358
8240,20001,353
8241,20001,355
8242,20001,353
8243,20001,354
8244,20001,352
8245,20001,352
8246,20001,352
8247,20001,353
8248,20001,354
8249,20001,352
8250,20001,351
8251,20001,353
8252,20001,353
8253,20001,353
8254,20001,352
8255,20001,353
8256,20001,352
8257,20001,353
8258,20001,352
8259,20001,354
8260,20001,185
8261,20001,3
8887,20001,78
8888,20001,375
8889,20001,386
8890,20001,383
8891,20001,386
8892,20001,386
8893,20001,385
8894,20001,385
8895,20001,384
8896,20001,387
8897,20001,385
8898,20001,386
8899,20001,384
8900,20001,386
8901,20001,384
8902,20001,387
8903,20001,384
8904,20001,386
8905,20001,385
8906,20001,386
8907,20001,386
8908,20001,385
8909,20001,385
8910,20001,385
8911,20001,386
8912,20001,390
8913,20001,375
8914,20001,390
