loiczid,n_spp,mean_risk
8210,1,0
8211,1,0
8850,1,0
8851,1,0
8916,1,0
8917,1,0
8918,1,0
8921,1,0
8922,1,0
8923,1,0
8925,1,0
8926,1,0
8927,1,0
8929,1,0
8930,1,0
8931,1,0
8933,1,0
8934,1,0
8935,1,0
8936,1,0
8937,1,0
8938,1,0
8939,1,0
8940,1,0
8941,1,0
8942,1,0
8943,1,0
8944,1,0
8945,1,0
8946,1,0
8947,1,0
8948,1,0
8949,1,0
8950,1,0
9558,1,0
9560,1,0
9561,1,0
9564,1,0
9567,1,0
9569,1,0
9596,1,0
9597,1,0
9598,1,0
9600,1,0
9601,1,0
9602,1,0
9605,1,0
9606,1,0
9626,1,0
9638,1,0
9642,1,0
9652,1,0
9654,1,0
9655,1,0
9656,1,0
9657,1,0
9658,1,0
9659,1,0
9660,1,0
9661,1,0
9662,1,0
9663,1,0
9664,1,0
9665,1,0
9666,1,0
9667,1,0
9668,1,0
9669,1,0
9670,1,0
9671,1,0
9672,1,0
9673,1,0
9674,1,0
9675,1,0
9676,1,0
9677,1,0
9678,1,0
9679,1,0
9680,1,0
9681,1,0
9682,1,0
9683,1,0
9684,1,0
10267,1,0
10268,1,0
10269,1,0
10270,1,0
10271,1,0
10272,1,0
10273,1,0
10274,1,0
10277,1,0
10315,1,0
10316,1,0
10317,1,0
10318,1,0
10319,1,0
10320,1,0
10321,1,0
10322,1,0
10323,1,0
10324,1,0
10325,1,0
10326,1,0
10327,1,0
10328,1,0
10338,1,0
10339,1,0
10341,1,0
10342,1,0
10344,1,0
10345,1,0
10346,1,0
10348,1,0
10349,1,0
10350,1,0
10392,1,0
10393,1,0
10395,1,0
10396,1,0
10397,1,0
10398,1,0
10399,1,0
10400,1,0
10401,1,0
10402,1,0
10403,1,0
10404,1,0
10405,1,0
10406,1,0
10407,1,0
10408,1,0
10409,1,0
10458,1,0
10459,1,0
10460,1,0
10461,1,0
10466,1,0
10467,1,0
10469,1,0
10530,1,0
10531,1,0
10532,1,0
10533,1,0
10534,1,0
10535,1,0
10536,1,0
10538,1,0
10539,1,0
10540,1,0
10541,1,0
10542,1,0
10543,1,0
10544,1,0
10545,1,0
10546,1,0
10547,1,0
10548,1,0
10549,1,0
10550,1,0
10551,1,0
10977,1,0
10978,1,0
10979,1,0
10980,1,0
10981,1,0
10982,1,0
10983,1,0
10984,1,0
10985,1,0
10986,1,0
10987,1,0
10988,1,0
10989,1,0
11035,1,0
11036,1,0
11037,1,0
11038,1,0
11039,1,0
11040,1,0
11041,1,0
11042,1,0
11043,1,0
11044,1,0
11045,1,0
11046,1,0
11047,1,0
11048,1,0
11049,1,0
11050,1,0
11051,1,0
11054,1,0
11057,1,0
11058,1,0
11060,1,0
11064,1,0
11065,1,0
11066,1,0
11068,1,0
11069,1,0
11070,1,0
11099,1,0
11100,1,0
11101,1,0
11102,1,0
11103,1,0
11104,1,0
11105,1,0
11106,1,0
11107,1,0
11108,1,0
11109,1,0
11110,1,0
11111,1,0
11112,1,0
11113,1,0
11114,1,0
11115,1,0
11116,1,0
11117,1,0
11118,1,0
11119,1,0
11120,1,0
11121,1,0
11122,1,0
11123,1,0
11124,1,0
11125,1,0
11126,1,0
11127,1,0
11128,1,0
11129,1,0
11130,1,0
11131,1,0
11132,1,0
11133,2,0
11134,2,0
11135,2,0
11136,2,0
11137,2,0
11155,1,0
11156,1,0
11157,1,0
11166,1,0
11167,1,0
11168,1,0
11169,1,0
11170,1,0
11171,1,0
11172,1,0
11173,1,0
11174,1,0
11175,1,0
11176,1,0
11177,1,0
11178,1,0
11179,1,0
11180,1,0
11181,1,0
11182,1,0
11183,1,0
11184,1,0
11185,1,0
11186,1,0
11187,1,0
11188,1,0
11190,1,0
11240,1,0
11241,1,0
11242,1,0
11243,1,0
11244,1,0
11245,1,0
11246,1,0
11247,2,0
11248,2,0
11249,2,0
11250,1,0
11251,1,0
11252,1,0
11253,2,0
11254,2,0
11255,2,0
11256,1,0
11257,2,0
11258,2,0
11259,2,0
11260,1,0
