loiczid,n_spp,mean_risk,var_risk,log_mean_risk
8210,1,0,NA,NA
8211,1,0,NA,NA
8850,1,0,NA,NA
8851,1,0,NA,NA
8916,1,0,NA,NA
8917,1,0,NA,NA
8918,1,0,NA,NA
8921,1,0,NA,NA
8922,1,0,NA,NA
8923,1,0,NA,NA
8925,1,0,NA,NA
8926,1,0,NA,NA
8927,1,0,NA,NA
8929,1,0,NA,NA
8930,1,0,NA,NA
8931,1,0,NA,NA
8933,1,0,NA,NA
8934,1,0,NA,NA
8935,1,0,NA,NA
8936,1,0,NA,NA
8937,1,0,NA,NA
8938,1,0,NA,NA
8939,1,0,NA,NA
8940,1,0,NA,NA
8941,1,0,NA,NA
8942,1,0,NA,NA
8943,1,0,NA,NA
8944,1,0,NA,NA
8945,1,0,NA,NA
8946,1,0,NA,NA
8947,1,0,NA,NA
8948,1,0,NA,NA
8949,1,0,NA,NA
8950,1,0,NA,NA
9558,1,0,NA,NA
9560,1,0,NA,NA
9561,1,0,NA,NA
9564,1,0,NA,NA
9567,1,0,NA,NA
9569,1,0,NA,NA
9596,1,0,NA,NA
9597,1,0,NA,NA
9598,1,0,NA,NA
9600,1,0,NA,NA
9601,1,0,NA,NA
9602,1,0,NA,NA
9605,1,0,NA,NA
9606,1,0,NA,NA
9626,1,0,NA,NA
9638,1,0,NA,NA
9642,1,0,NA,NA
9652,1,0,NA,NA
9654,1,0,NA,NA
9655,1,0,NA,NA
9656,1,0,NA,NA
9657,1,0,NA,NA
9658,1,0,NA,NA
9659,1,0,NA,NA
9660,1,0,NA,NA
9661,1,0,NA,NA
9662,1,0,NA,NA
9663,1,0,NA,NA
9664,1,0,NA,NA
9665,1,0,NA,NA
9666,1,0,NA,NA
9667,1,0,NA,NA
9668,1,0,NA,NA
9669,1,0,NA,NA
9670,1,0,NA,NA
9671,1,0,NA,NA
9672,1,0,NA,NA
9673,1,0,NA,NA
9674,1,0,NA,NA
9675,1,0,NA,NA
9676,1,0,NA,NA
9677,1,0,NA,NA
9678,1,0,NA,NA
9679,1,0,NA,NA
9680,1,0,NA,NA
9681,1,0,NA,NA
9682,1,0,NA,NA
9683,1,0,NA,NA
9684,1,0,NA,NA
10267,1,0,NA,NA
10268,1,0,NA,NA
10269,1,0,NA,NA
10270,1,0,NA,NA
10271,1,0,NA,NA
10272,1,0,NA,NA
10273,1,0,NA,NA
10274,1,0,NA,NA
10277,1,0,NA,NA
10315,1,0,NA,NA
10316,1,0,NA,NA
10317,1,0,NA,NA
10318,1,0,NA,NA
10319,1,0,NA,NA
10320,1,0,NA,NA
10321,1,0,NA,NA
10322,1,0,NA,NA
10323,1,0,NA,NA
10324,1,0,NA,NA
10325,1,0,NA,NA
10326,1,0,NA,NA
10327,1,0,NA,NA
10328,1,0,NA,NA
10338,1,0,NA,NA
10339,1,0,NA,NA
10341,1,0,NA,NA
10342,1,0,NA,NA
10344,1,0,NA,NA
10345,1,0,NA,NA
10346,1,0,NA,NA
10348,1,0,NA,NA
10349,1,0,NA,NA
10350,1,0,NA,NA
10392,1,0,NA,NA
10393,1,0,NA,NA
10395,1,0,NA,NA
10396,1,0,NA,NA
10397,1,0,NA,NA
10398,1,0,NA,NA
10399,1,0,NA,NA
10400,1,0,NA,NA
10401,1,0,NA,NA
10402,1,0,NA,NA
10403,1,0,NA,NA
10404,1,0,NA,NA
10405,1,0,NA,NA
