iucn_sid,habs,max_depth
222,"10.1, 12.5, 9.10",200 m +
224,"9.10, 9.4, 9.5, 9.6",< 200 m
225,9.10,< 200 m
229,"9.10, 9.4, 9.5, 9.6",< 200 m
230,"9.10, 9.3, 9.4, 9.5, 9.6",< 200 m
232,"9.10, 9.4, 9.5, 9.6",< 200 m
233,"10.1, 9.10",200 m +
234,"10.1, 9.10",200 m +
235,"9.10, 9.4, 9.5, 9.6",< 200 m
236,9.10,< 200 m
241,"9.10, 9.4, 9.5, 9.6",< 200 m
242,"10.1, 12.4, 12.5, 9.10",200 m +
243,"10.1, 9.10",200 m +
245,"10.1, 12.4, 12.5, 9.10",200 m +
678,"NA",unknown
907,9.1,< 200 m
908,"10.1, 12.5, 9.10",200 m +
1086,"10.1, 12.1, 12.4, 9.1",200 m +
1308,"12.6, 15.11, 9.10, 9.2",< 200 m
1615,"9.2, 9.3, 9.4, 9.5, 9.6",< 200 m
1793,"12.5, 9.10",< 200 m
1866,"NA",unknown
2055,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
2057,"10.1, 12.1, 13.1, 9.1",200 m +
2058,"10.1, 12.1, 13.1, 9.1",200 m +
2059,"10.1, 12.1, 13.1, 9.1, 9.2",200 m +
2060,"10.1, 12.1, 13.1, 9.1",200 m +
2061,"10.1, 12.1, 13.1, 9.1, 9.2",200 m +
2062,"10.1, 12.1, 13.1, 9.1",200 m +
2064,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
2066,"10.1, 12.1, 13.1, 9.1",200 m +
2067,"10.1, 12.1, 13.1, 9.1",200 m +
2113,9.10,< 200 m
2179,"NA",unknown
2181,"NA",unknown
2182,"NA",unknown
2218,"NA",unknown
2352,"9.1, 9.10",< 200 m
2467,"10.1, 9.1",200 m +
2469,9.1,< 200 m
2472,"10.1, 9.1",200 m +
2474,"10.1, 9.1",200 m +
2475,"10.1, 9.1",200 m +
2476,"10.1, 9.1",200 m +
2477,"10.1, 9.1",200 m +
2478,"10.1, 9.1",200 m +
2479,10.1,200 m +
2480,"10.1, 9.1",200 m +
2482,"10.1, 9.1",200 m +
2483,"NA",unknown
2539,"9.2, 9.4, 9.7, 9.8.3, 9.9",< 200 m
2621,"12.1, 12.6",< 20 m
2636,"NA",unknown
2637,"NA",unknown
2644,"12.7, 9.6",< 200 m
2762,"10.1, 10.2, 10.3",200 m +
2763,"10.1, 10.2, 10.3",200 m +
2811,"NA",unknown
2895,"12.6, 12.7, 9.10",< 200 m
2958,"NA",unknown
3381,"12.6, 12.7, 9.10",< 200 m
3565,"NA",unknown
3590,"10.1, 12.1, 13.1, 9.1",200 m +
3764,"9.8.2, 9.8.3, 9.8.4, 9.8.6",< 200 m
3778,"10.1, 9.1",200 m +
3851,9.10,< 200 m
3852,"10.1, 10.2, 9.1",200 m +
3853,"9.1, 9.10, 9.5, 9.6",< 200 m
3854,"10.1, 13.1, 9.4",200 m +
3855,"10.1, 10.2, 9.1, 9.10",200 m +
3856,"NA",unknown
3897,"10.1, 12.2, 9.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.9",200 m +
4131,9.2,< 200 m
4159,"10.1, 9.1, 9.10",200 m +
4160,"9.1, 9.10",< 200 m
4161,9.1,< 200 m
4162,9.1,< 200 m
4292,"10.1, 9.1",200 m +
4360,"9.2, 9.8.3",< 200 m
4361,"12.6, 9.2",< 200 m
4362,"12.6, 9.10, 9.2",< 200 m
4363,9.2,< 200 m
4364,9.2,< 200 m
4592,"9.1, 9.9",< 200 m
4615,"10.1, 12.2, 9.7, 9.9",200 m +
4805,9.2,< 200 m
4982,9.10,< 200 m
5119,"NA",unknown
5216,"NA",unknown
5269,18,unknown
5270,"NA",unknown
5271,"NA",unknown
5272,"9.4, 9.7",< 200 m
5273,9.2,< 200 m
5325,9.2,< 200 m
5362,9.1,< 200 m
5486,"NA",unknown
5659,"12.2, 12.7, 9.10",< 200 m
5668,"NA",unknown
5675,"12.5, 9.10",< 200 m
6069,9.1,< 200 m
6202,"NA",unknown
6203,"NA",unknown
6204,"10.1, 10.2, 10.3, 12.1, 13.1, 17, 9.1",200 m +
6229,"10.2, 9.3",200 m +
6335,"10.1, 10.2, 10.3, 9.1, 9.10",200 m +
6336,"10.1, 9.1",200 m +
6337,9.1,< 200 m
6494,"10.1, 12.2",200 m +
6814,12.6,< 20 m
6909,"12.2, 12.7, 9.10, 9.2, 9.4, 9.5, 9.6, 9.9",< 200 m
7011,"NA",unknown
7035,"NA",unknown
7134,9.10,< 200 m
7135,"9.10, 9.6",< 200 m
7750,"10.1, 9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",200 m +
7778,12.1,< 20 m
7854,"10.1, 9.1, 9.7",200 m +
7855,9.2,< 200 m
7858,"10.1, 12.4, 9.1, 9.9",200 m +
7859,"10.1, 17, 9.1",200 m +
7860,"10.1, 9.1, 9.7",200 m +
7861,"9.2, 9.5",< 200 m
7862,"9.1, 9.7, 9.9",< 200 m
8005,"10.1, 12.2, 12.4, 12.7, 9.1, 9.2, 9.6, 9.7, 9.8.1, 9.8.3, 9.9",200 m +
8010,"10.1, 10.2, 12.2, 17, 9.1, 9.4, 9.5, 9.6",200 m +
8012,"10.1, 10.2, 12.2, 17, 9.4, 9.5",200 m +
8013,"10.1, 10.2, 12.2, 17, 9.4, 9.5, 9.6",200 m +
8097,9.1,< 200 m
8099,"10.1, 9.1",200 m +
8153,"10.1, 9.1",200 m +
8239,"10.1, 10.2, 12.1, 13.1, 9.1",200 m +
8261,"NA",unknown
8262,"NA",unknown
8407,"9.10, 9.3, 9.4, 9.7, 9.8.6, 9.9",< 200 m
8408,"9.3, 9.4, 9.5, 9.6",< 200 m
8409,"NA",unknown
8551,"10.1, 10.2, 10.3",200 m +
8784,"NA",unknown
8806,"NA",unknown
8817,9.10,< 200 m
8951,"9.1, 9.10, 9.9",< 200 m
9175,"NA",unknown
9176,"NA",unknown
9177,"NA",unknown
9249,"10.1, 10.2, 10.3",200 m +
9250,"10.1, 10.2, 10.3",200 m +
9266,"12.6, 12.7, 9.10, 9.4, 9.5",< 200 m
9281,9.10,< 200 m
9461,"10.1, 10.2, 10.3",200 m +
9463,"NA",unknown
9660,"10.1, 10.2, 12.1, 12.2, 12.3, 13.1, 17, 9.1",200 m +
10016,"NA",unknown
10017,"NA",unknown
10018,"NA",unknown
10019,"NA",unknown
10020,"NA",unknown
10021,"NA",unknown
10030,11.5,deep oceanic
10056,"9.10, 9.9",< 200 m
10057,"10.1, 12.5, 12.6, 15.11, 15.12, 9.1, 9.10, 9.2, 9.6, 9.7, 9.9",200 m +
10060,"NA",unknown
10063,"10.1, 12.4, 9.1, 9.10, 9.2, 9.7, 9.9",200 m +
10064,"9.10, 9.7, 9.9",< 200 m
10065,"9.7, 9.9",< 200 m
10066,"12.7, 9.10, 9.2, 9.9",< 200 m
10069,"9.10, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7, 9.8.4, 9.8.5, 9.8.6",< 200 m
10070,"9.7, 9.8.1, 9.8.2, 9.8.5, 9.8.6, 9.9",< 200 m
10072,"12.7, 9.10, 9.2, 9.4, 9.7",< 200 m
10074,"9.2, 9.4, 9.5, 9.6, 9.7, 9.9",< 200 m
10075,"12.7, 9.1, 9.10, 9.6, 9.9",< 200 m
10077,"9.2, 9.4",< 200 m
10082,"12.7, 17, 9.1, 9.10, 9.2, 9.6, 9.7, 9.9",< 200 m
10083,"9.6, 9.7, 9.9",< 200 m
