shp_iucn_sid,iucn_sid,sciname,presence,subpop,dbf_file,max_depth,comp_assessed
222,222,Acipenser brevirostrum,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,200 m +,TRUE
232,232,Acipenser gueldenstaedtii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
224,224,Acipenser naccarii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
225,225,Acipenser nudiventris,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
245,245,Acipenser oxyrinchus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,200 m +,TRUE
235,235,Acipenser persicus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
229,229,Acipenser stellatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
230,230,Acipenser sturio,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
10269,10269,Huso huso,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acipenseriformes.dbf,< 200 m,TRUE
13458323,13458323,Synagrops bellus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,200 m +,FALSE
42830204,42830204,Synagrops japonicus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,< 200 m,FALSE
13458375,13458375,Synagrops microlepis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,200 m +,FALSE
16506077,16506077,Synagrops spinosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,200 m +,FALSE
190161,190161,Synagrops trispinosus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,200 m +,FALSE
20665243,20665243,Verilus sordidus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/acropomatidae.dbf,200 m +,FALSE
172393,172393,Ambassis interrupta,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
195501,195501,Ambassis macracanthus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
180926,180926,Ambassis miops,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
172359,172359,Ambassis nalua,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
57505507,57505507,Ambassis natalensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
155201,155201,Ambassis urotaenia,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
166893,166893,Ambassis vachellii,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ambassidae.dbf,< 200 m,FALSE
18155960,18155960,Ammodytes tobianus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ammodytidae.dbf,< 200 m,FALSE
178060,178060,Ammodytoides gilli,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ammodytidae.dbf,< 200 m,FALSE
15521789,15521789,Gymnammodytes capensis,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ammodytidae.dbf,200 m +,FALSE
198630,198630,Gymnammodytes cicerelus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ammodytidae.dbf,200 m +,FALSE
18155963,18155963,Gymnammodytes semisquamatus,1,NA,/home/shares/ohi/git-annex/globalprep/_raw_data/iucn_spp/d2018-1/ammodytidae.dbf,< 200 m,FALSE
