loiczid,n_spp,mean_trend
11275,1,0
11278,1,0
11752,1,-0.01374
11753,1,-0.01374
11853,1,-0.01374
11854,1,-0.01374
11855,1,-0.01374
11856,1,-0.01374
11857,1,-0.01374
11858,1,0
11861,1,0
11916,1,0
11917,1,0
11924,1,0
11928,1,0
11931,1,0
11938,1,0
11941,1,0
11981,1,0
11984,1,0
11987,1,0
11988,1,0
11990,1,0
11991,1,0
11992,1,0
11994,1,0
11995,1,0
11998,1,0
12000,1,0
12001,1,0
12462,1,-0.01374
12463,1,-0.01374
12464,1,-0.01374
12465,1,-0.01374
12466,1,-0.01374
12467,1,-0.01374
12468,1,-0.01374
12469,1,-0.01374
12470,1,-0.01374
12472,1,-0.01374
12473,1,-0.01374
12474,1,-0.01374
12475,1,-0.01374
12574,1,-0.01374
12575,1,-0.01374
12576,2,-0.00687
12577,1,-0.01374
12578,1,-0.01374
12579,1,-0.01374
12580,1,-0.01374
12581,2,-0.00687
12582,2,-0.00687
12584,1,0
12617,1,0
12619,1,0
12621,1,0
12622,1,0
12624,1,0
12625,1,0
12634,1,0
12635,1,0
12636,1,0
12637,1,0
12638,1,0
12639,1,0
12640,1,0
12641,1,0
12642,1,0
12643,1,0
12644,1,0
12645,1,0
12646,1,0
12647,1,0
12648,1,0
12649,1,0
12650,1,0
12651,1,0
12652,1,0
12653,1,0
12654,1,0
12655,1,0
12656,1,0
12657,1,0
12658,1,0
12659,1,0
12662,1,0
12663,1,0
12664,1,0
12665,1,0
12666,1,0
12667,1,0
12668,1,0
12669,1,0
12671,1,0
12672,1,0
12687,1,0
12690,1,0
12691,1,0
12696,1,0
12697,1,0
12698,1,0
12699,1,0
12700,1,0
12701,1,0
12702,1,0
12703,1,0
12704,1,0
12705,1,0
12706,1,0
12707,1,0
12708,1,0
12709,1,0
12710,1,0
12711,1,0
12712,1,0
12713,1,0
12714,1,0
12715,1,0
12716,1,0
12717,1,0
12718,1,0
12719,1,0
12720,1,0
12721,1,0
12749,1,-0.01374
12751,1,-0.01374
12752,1,-0.01374
12753,1,-0.01374
12755,1,-0.01374
12779,1,-0.01374
12788,1,-0.01374
12789,1,-0.01374
12790,1,-0.01374
12791,1,-0.01374
12792,1,-0.01374
12793,1,-0.01374
12794,1,-0.01374
12795,1,-0.01374
13182,1,-0.01374
13183,1,-0.01374
13184,1,-0.01374
13185,1,-0.01374
13186,1,-0.01374
13187,1,-0.01374
13188,1,-0.01374
13189,1,-0.01374
13190,1,-0.01374
13191,1,-0.01374
13286,1,-0.01374
13287,1,-0.01374
13288,1,-0.01374
13289,1,-0.01374
13290,2,-0.00687
13291,2,-0.00687
13292,2,-0.00687
13293,2,-0.00687
13294,2,-0.00687
13295,2,-0.00687
13296,2,-0.00687
13297,2,-0.00687
13298,2,-0.00687
13299,2,-0.00687
13300,2,-0.00687
13301,2,-0.00687
13302,2,-0.00687
13303,2,-0.00687
13304,2,-0.00687
13305,2,-0.00687
13324,1,0
13325,1,0
13326,1,0
13327,1,0
13328,1,0
13329,2,-0.012765
13330,3,-0.00851
13331,2,-0.012765
13332,3,-0.00851
13333,1,0
13334,3,-0.00851
13335,3,-0.00851
13336,3,-0.00851
13337,2,-0.012765
13338,3,-0.00851
13339,3,-0.00851
13340,3,-0.00851
13341,3,-0.00851
13342,3,-0.00851
13343,3,-0.00851
13344,3,-0.00851
13345,3,-0.00851
13346,3,-0.00851
13347,3,-0.00851
13348,3,-0.00851
13349,3,-0.00851
13350,3,-0.00851
13351,3,-0.00851
13352,3,-0.00851
13357,1,0
13358,1,0
13363,1,0
13364,1,0
13365,1,0
13366,1,0
13367,1,0
13368,1,0
13369,1,0
13370,1,0
13371,1,0
13372,1,0
13373,2,-0.012765
13374,2,-0.012765
13375,2,-0.012765
13376,2,-0.012765
13377,2,-0.012765
13378,2,-0.012765
13379,2,-0.012765
13380,1,0
13381,1,0
13382,1,0
13386,1,0
13387,1,0
13388,1,0
13390,1,0
13391,1,0
13392,1,0
13393,1,0
13395,1,0
13396,1,0
13397,1,0
13398,1,0
13400,1,0
13401,1,0
13402,1,0
13403,1,0
13404,1,0
13405,1,0
13406,1,0
13407,1,0
13408,1,0
13409,1,0
13410,1,0
13411,1,0
13412,1,0
13413,1,0
13414,1,0
13415,1,0
13416,1,0
13417,1,0
13418,1,0
13419,1,0
13421,1,0
13422,1,0
13425,1,0
13426,1,0
13427,1,0
13428,1,0
13429,1,0
13430,1,0
13431,1,0
13432,1,0
13433,1,0
13434,1,0
13435,1,0
13436,1,0
13437,1,0
13438,1,0
13439,1,0
13440,1,0
13442,1,0
13443,1,0
13444,1,0
13445,1,0
13446,1,0
13447,1,0
13470,1,-0.01374
13471,1,-0.01374
13472,1,-0.01374
13473,1,-0.01374
13474,1,-0.01374
13475,1,-0.01374
13476,1,-0.01374
13479,1,-0.01374
13480,1,-0.01374
13503,1,-0.01374
13504,1,-0.01374
13505,1,-0.01374
13506,1,-0.01374
13507,1,-0.01374
13514,1,-0.01374
13515,1,-0.01374
13516,1,-0.01374
13517,1,-0.01374
13518,1,-0.01374
13519,1,-0.01374
13899,1,-0.01374
13900,1,-0.01374
13901,1,-0.01374
13902,1,-0.01374
13905,1,-0.01374
13906,1,-0.01374
13907,1,-0.01374
13908,1,-0.01374
14004,1,-0.01374
14005,1,-0.01374
14006,1,-0.01374
14007,1,-0.01374
14008,1,-0.01374
14009,1,-0.01374
14010,1,0
14011,2,-0.00687
14012,2,-0.00687
14013,1,0
14014,1,0
14015,1,0
14016,1,0
14017,1,0
14018,1,0
14019,1,0
14020,1,0
14021,2,-0.00687
14022,1,0
14023,1,0
14024,1,0
14025,1,0
14026,1,0
14027,1,0
14028,1,0
14043,1,0
14044,1,0
14045,1,0
14046,1,0
14047,1,0
14048,1,0
14049,3,-0.00851
14050,3,-0.00851
14051,3,-0.00851
