iucn_sid,iucn_rgn,pop_trend,trend_score,trend_source
222,global,decreasing,-0,lm
224,global,decreasing,0.02857,lm
225,global,decreasing,0.01429,lm
229,global,decreasing,0.01429,lm
230,global,decreasing,0.00789,lm
232,global,decreasing,0.01429,lm
233,global,stable,-0.02,lm
234,global,stable,-0.025,lm
236,global,decreasing,0.01429,lm
241,global,decreasing,0.01429,lm
245,global,increasing,0,lm
697,global,unknown,NA,NA
903,global,unknown,NA,NA
904,global,stable,0,regr
907,global,decreasing,0.00626,regr
1086,global,unknown,-0.01429,lm
1308,global,unknown,-0.03158,lm
1615,global,unknown,-0.02105,lm
1847,global,stable,0,regr
2055,global,increasing,0,lm
2057,global,decreasing,0.01119,lm
2058,global,decreasing,0,lm
2059,global,increasing,-0.01891,lm
2060,global,increasing,0,lm
2061,global,increasing,-0.01891,lm
2062,global,stable,0,lm
2352,global,unknown,NA,NA
2467,global,increasing,-0.02553,lm
2474,global,stable,-0.01667,lm
2475,global,unknown,0.0093,lm
2477,global,increasing,-0,lm
2478,global,unknown,0.00687,lm
2539,global,decreasing,-0.01053,lm
2958,global,NA,NA,NA
3381,global,stable,-0.0105,lm
3565,global,NA,NA,NA
3590,global,decreasing,-0,lm
3851,global,unknown,-0.01278,lm
3852,global,decreasing,-0.00902,lm
3853,global,decreasing,0.00376,lm
3854,global,unknown,-0.01278,lm
3855,global,unknown,-0,lm
3897,global,decreasing,-0.00427,lm
4159,global,unknown,NA,NA
4160,global,decreasing,-0,lm
4162,global,decreasing,0.00934,lm
4292,global,decreasing,-0,lm
4362,global,stable,-0.02857,lm
4364,global,stable,-0.02857,lm
4592,global,decreasing,0.025,lm
4615,global,decreasing,-0,lm
4987,global,unknown,NA,NA
5360,global,unknown,0,lm
5363,global,unknown,0,lm
5369,global,unknown,NA,NA
5659,global,increasing,-0,lm
5668,global,NA,NA,NA
5675,global,unknown,-0.01818,lm
6204,global,unknown,0.02105,lm
6229,global,unknown,-0.00769,lm
6335,global,unknown,-0.01745,lm
6336,global,unknown,0,lm
6494,global,decreasing,-0.01189,lm
6909,global,decreasing,0,lm
7011,global,NA,NA,NA
7135,global,stable,-0.0105,lm
7750,global,decreasing,0.02439,lm
7854,global,unknown,0,lm
7858,global,decreasing,0,lm
7859,global,decreasing,0.05,lm
7860,global,unknown,0,lm
7861,global,decreasing,-0,lm
7862,global,decreasing,0,lm
8005,global,decreasing,0.0093,lm
8010,global,unknown,0,lm
8097,global,stable,-0.03333,lm
8153,global,increasing,-0.02434,lm
8239,global,increasing,-0.01261,lm
8262,global,NA,NA,NA
8407,global,unknown,NA,NA
8408,global,unknown,NA,NA
8784,global,NA,NA,NA
8951,global,stable,0,lm
9266,global,stable,-0.01025,lm
9281,global,decreasing,0,lm
9461,global,unknown,0,lm
9660,global,increasing,0,lm
10030,global,unknown,-0.02131,lm
10057,global,unknown,-0.01905,lm
10063,global,unknown,NA,NA
10066,global,decreasing,-0,lm
10070,global,decreasing,0,lm
10072,global,decreasing,0,lm
10074,global,unknown,-0.01905,lm
10075,global,decreasing,-0,lm
10082,global,decreasing,-0.00952,lm
10083,global,unknown,-0.02041,lm
10087,global,decreasing,-0,lm
10088,global,decreasing,0.00952,lm
10089,global,stable,-0.01905,lm
10097,global,NA,NA,NA
10105,global,NA,NA,NA
10269,global,decreasing,0.01429,lm
10303,global,NA,NA,NA
10340,global,unknown,0,lm
10708,global,unknown,-0.03333,lm
11030,global,unknown,0,lm
11130,global,decreasing,0,lm
11140,global,unknown,0,lm
11141,global,unknown,0,lm
11142,global,unknown,0,lm
11144,global,unknown,0,lm
11145,global,unknown,0,lm
11200,global,decreasing,0.00263,lm
11206,global,unknown,-0.01667,lm
11375,global,unknown,0.06429,lm
11533,global,NA,NA,NA
11534,global,decreasing,-0.01512,lm
11696,global,unknown,0,lm
11987,global,decreasing,0.01,lm
12103,global,NA,NA,NA
12125,global,unknown,0,lm
12137,global,decreasing,0.01111,lm
12246,global,unknown,0,lm
12416,global,decreasing,-0.01,lm
12417,global,decreasing,0,lm
12419,global,decreasing,0.0037200000000000002,lm
13006,global,increasing,-0.03023,lm
13045,global,NA,NA,NA
13581,global,increasing,0,lm
13583,global,stable,0,lm
13653,global,increasing,7.5e-4,lm
13654,global,decreasing,0.00318,lm
13704,global,unknown,-0.02295,lm
14049,global,decreasing,0.01729,lm
14050,global,decreasing,-0.03333,lm
14051,global,unknown,0,lm
14052,global,decreasing,-0.01667,lm
14053,global,decreasing,-0,lm
14054,global,unknown,NA,NA
14214,global,stable,-0.01374,lm
14264,global,decreasing,-0.3,lm
14524,global,unknown,NA,NA
14549,global,decreasing,0.01456,lm
15106,global,unknown,0.02,lm
15239,global,unknown,-0.01429,lm
15269,global,unknown,0,lm
15319,global,NA,NA,NA
15419,global,decreasing,0.02222,lm
15873,global,unknown,-0.03333,lm
15939,global,NA,NA,NA
16011,global,NA,NA,NA
16012,global,unknown,-0.00952,lm
16474,global,unknown,NA,NA
16564,global,unknown,0,lm
16781,global,stable,0,lm
17013,global,unknown,0,lm
17023,global,unknown,0,lm
17026,global,decreasing,0.00787,lm
17027,global,unknown,-0.03333,lm
17028,global,decreasing,0.00582,lm
17032,global,unknown,-0.02692,lm
17096,global,decreasing,-0.01818,lm
17177,global,decreasing,-0.01818,lm
17710,global,NA,NA,NA
17978,global,decreasing,-0,lm
18175,global,decreasing,0.01396,lm
18376,global,unknown,0,lm
18510,global,NA,NA,NA
18878,global,stable,0,lm
19301,global,NA,NA,NA
19388,global,stable,-0.0125,lm
19488,global,decreasing,0.01343,lm
19855,global,NA,NA,NA
19861,global,unknown,0,lm
19877,global,unknown,0,lm
19899,global,unknown,NA,NA
19950,global,decreasing,-0.0125,lm
20047,global,decreasing,-0.01333,lm
20084,global,NA,NA,NA
20085,global,NA,NA,NA
20317,global,unknown,NA,NA
20425,global,decreasing,0.0459,lm
20729,global,unknown,-0.02692,lm
20731,global,unknown,-0.03333,lm
20738,global,unknown,0,lm
20795,global,unknown,0,lm
21257,global,unknown,0,lm
21341,global,decreasing,0.00626,regr
21342,global,unknown,NA,NA
21343,global,decreasing,0.00626,regr
21856,global,decreasing,0.00626,regr
21857,global,decreasing,0.01333,lm
21858,global,decreasing,0,lm
21859,global,decreasing,0,lm
21860,global,decreasing,0.00626,regr
21994,global,unknown,NA,NA
22003,global,decreasing,0.00789,lm
22103,global,decreasing,0,lm
22135,global,NA,NA,NA
22136,global,NA,NA,NA
22137,global,NA,NA,NA
22138,global,NA,NA,NA
22140,global,NA,NA,NA
22563,global,unknown,0,lm
23148,global,decreasing,0.00626,regr
23211,global,unknown,NA,NA
23259,global,stable,0,regr
29609,global,NA,NA,NA
39302,global,NA,NA,NA
39303,global,decreasing,-0.01667,lm
39304,global,NA,NA,NA
39327,global,stable,-0.00876,lm
39328,global,decreasing,-0,lm
39329,global,decreasing,0.00626,regr
39330,global,decreasing,0.02857,lm
39332,global,decreasing,0.06667,lm
39334,global,stable,0,lm
39337,global,unknown,0,lm
39338,global,unknown,NA,NA
39339,global,decreasing,0.00626,regr
39341,global,decreasing,0.02222,lm
39342,global,stable,0,regr
39345,global,unknown,0,lm
39346,global,unknown,NA,NA
39348,global,unknown,NA,NA
39349,global,unknown,0,lm
39350,global,unknown,0,lm
39351,global,increasing,-0.01751,lm
39352,global,decreasing,0,lm
39353,global,unknown,NA,NA
39354,global,stable,-0.01343,lm
39355,global,stable,-0.01751,lm
39356,global,increasing,-0.13333,lm
39357,global,unknown,0,lm
39358,global,decreasing,0.04444,lm
39359,global,unknown,0,lm
39362,global,unknown,0,lm
39365,global,unknown,NA,NA
39367,global,unknown,NA,NA
39368,global,unknown,0,lm
39369,global,unknown,0.13333,lm
39370,global,decreasing,0.01838,lm
39372,global,unknown,0,lm
39374,global,decreasing,0.01228,lm
39375,global,decreasing,0.00626,regr
39378,global,unknown,0,lm
39380,global,unknown,-0,lm
39381,global,unknown,0,lm
39383,global,unknown,NA,NA
39384,global,unknown,0,lm
39385,global,unknown,0.05714,lm
39386,global,decreasing,0.00626,regr
39387,global,stable,0,lm
39388,global,decreasing,0.04,lm
39389,global,decreasing,-7.9e-4,lm
39393,global,decreasing,0.01496,lm
39394,global,decreasing,0.00626,regr
39396,global,unknown,0,lm
39397,global,decreasing,0.03333,lm
39399,global,decreasing,-0,lm
39400,global,decreasing,0,lm
39412,global,unknown,0,lm
39413,global,decreasing,-0,lm
39415,global,decreasing,0.00626,regr
39416,global,unknown,0,lm
39418,global,decreasing,0.01228,lm
39771,global,stable,0.06667,lm
39773,global,unknown,NA,NA
39774,global,decreasing,0,lm
40715,global,unknown,NA,NA
40797,global,unknown,0,lm
40802,global,decreasing,0,lm
41005,global,decreasing,0,lm
41007,global,decreasing,0,lm
41008,global,decreasing,0,lm
41009,global,unknown,NA,NA
41010,global,decreasing,0,lm
41064,global,decreasing,-0,lm
41664,global,increasing,0,lm
41665,global,stable,0,lm
41666,global,increasing,0,lm
41668,global,decreasing,0.01119,lm
41670,global,unknown,0,lm
41671,global,increasing,0,lm
41672,global,unknown,0,lm
41711,global,unknown,0,lm
41712,global,unknown,0,lm
41718,global,unknown,-0.01667,lm
41719,global,unknown,NA,NA
41720,global,stable,0,regr
41722,global,unknown,0,lm
41723,global,unknown,0,lm
41724,global,unknown,0,lm
41725,global,unknown,0,lm
41726,global,unknown,0,lm
41727,global,unknown,0,lm
41728,global,unknown,0,lm
41729,global,unknown,0,lm
41730,global,unknown,NA,NA
41732,global,unknown,0,lm
41734,global,decreasing,0.00626,regr
41735,global,stable,0,regr
41736,global,unknown,NA,NA
41737,global,unknown,NA,NA
41738,global,unknown,NA,NA
41739,global,stable,0,regr
41740,global,decreasing,-0.02,lm
41741,global,unknown,NA,NA
41743,global,stable,0,lm
41747,global,unknown,NA,NA
41749,global,unknown,NA,NA
41752,global,stable,0,regr
41753,global,stable,0,lm
41755,global,unknown,0,lm
41791,global,unknown,NA,NA
41792,global,unknown,NA,NA
41794,global,unknown,-0.01538,lm
41796,global,stable,0,lm
41797,global,decreasing,0,lm
41798,global,unknown,NA,NA
41799,global,stable,0,regr
41800,global,stable,0,regr
41802,global,unknown,NA,NA
41804,global,unknown,NA,NA
41805,global,unknown,0,lm
41806,global,unknown,0,lm
41807,global,unknown,0,lm
41808,global,unknown,0,lm
41809,global,unknown,NA,NA
41810,global,decreasing,0.03077,lm
41811,global,unknown,0,lm
41814,global,unknown,NA,NA
41816,global,decreasing,0.00626,regr
41818,global,stable,0,lm
41820,global,unknown,0,lm
41823,global,unknown,NA,NA
41824,global,unknown,0,lm
41825,global,unknown,NA,NA
41826,global,stable,0,regr
41827,global,stable,0,regr
41828,global,unknown,0,lm
41829,global,unknown,0,lm
41830,global,unknown,NA,NA
41831,global,unknown,NA,NA
41832,global,unknown,NA,NA
41833,global,unknown,0,lm
41835,global,decreasing,0.00626,regr
41836,global,decreasing,0.00626,regr
41837,global,unknown,-0.01667,lm
41838,global,unknown,-0.01667,lm
41839,global,unknown,0,lm
41841,global,unknown,0,lm
41842,global,unknown,0,lm
41844,global,unknown,0,lm
41846,global,stable,0,lm
41848,global,decreasing,0,lm
41849,global,decreasing,0,lm
41850,global,unknown,NA,NA
41851,global,unknown,NA,NA
41852,global,unknown,NA,NA
41853,global,decreasing,0.00626,regr
41858,global,unknown,0,lm
41862,global,stable,0,lm
41864,global,unknown,0,lm
41871,global,decreasing,0.00626,regr
41872,global,decreasing,0,lm
41873,global,unknown,-0.01667,lm
41874,global,decreasing,0,lm
41876,global,decreasing,0,lm
41878,global,decreasing,0.01538,lm
41880,global,decreasing,0.00626,regr
42700,global,unknown,NA,NA
42704,global,unknown,0,lm
42706,global,unknown,NA,NA
42707,global,decreasing,0.00626,regr
42712,global,decreasing,0.00626,regr
42713,global,unknown,0,lm
42716,global,unknown,0,lm
42717,global,unknown,0,lm
42720,global,unknown,0,lm
42721,global,unknown,0,lm
42727,global,unknown,NA,NA
42728,global,unknown,NA,NA
42729,global,decreasing,0,lm
42730,global,unknown,NA,NA
43974,global,decreasing,0.00626,regr
44183,global,stable,-0.01343,lm
44186,global,unknown,0,lm
44217,global,unknown,NA,NA
44222,global,unknown,NA,NA
44223,global,unknown,NA,NA
44463,global,decreasing,0.00626,regr
44496,global,unknown,NA,NA
44565,global,stable,0,regr
44566,global,unknown,NA,NA
44575,global,decreasing,0.00626,regr
44577,global,unknown,NA,NA
44581,global,decreasing,0.00626,regr
44582,global,unknown,NA,NA
44583,global,unknown,NA,NA
44586,global,unknown,NA,NA
44591,global,unknown,NA,NA
44598,global,unknown,NA,NA
44599,global,unknown,NA,NA
44602,global,unknown,NA,NA
44606,global,stable,0,regr
44609,global,stable,0,regr
44611,global,unknown,NA,NA
44618,global,unknown,NA,NA
44619,global,unknown,NA,NA
44620,global,unknown,NA,NA
44642,global,decreasing,0.00626,regr
44649,global,stable,0,regr
44650,global,stable,0,regr
44651,global,unknown,NA,NA
44654,global,unknown,NA,NA
44655,global,unknown,NA,NA
44656,global,decreasing,0.00626,regr
44657,global,unknown,NA,NA
44668,global,unknown,NA,NA
44669,global,unknown,NA,NA
44670,global,unknown,NA,NA
44673,global,unknown,NA,NA
44674,global,decreasing,0.00626,regr
44675,global,unknown,NA,NA
44677,global,decreasing,0.00626,regr
44681,global,decreasing,0.00626,regr
44682,global,unknown,NA,NA
44683,global,decreasing,0.00626,regr
44684,global,decreasing,0.00626,regr
44686,global,unknown,NA,NA
44993,global,decreasing,0.00626,regr
46863,global,NA,NA,NA
46864,global,unknown,NA,NA
46865,global,unknown,NA,NA
60081,global,unknown,NA,NA
60083,global,stable,0,regr
60085,global,stable,0,regr
60088,global,decreasing,0.00626,regr
60090,global,unknown,NA,NA
60091,global,unknown,NA,NA
60092,global,stable,0,regr
60093,global,unknown,NA,NA
60099,global,unknown,NA,NA
60100,global,unknown,NA,NA
60102,global,stable,0,regr
60103,global,unknown,NA,NA
60104,global,decreasing,0.00626,regr
60105,global,decreasing,0.00626,regr
60106,global,unknown,NA,NA
60108,global,stable,0,lm
60109,global,unknown,NA,NA
60111,global,unknown,0,lm
60112,global,unknown,0,lm
60113,global,decreasing,0.00626,regr
60117,global,decreasing,0.00626,regr
60119,global,decreasing,0.00626,regr
60120,global,decreasing,0.00626,regr
60121,global,decreasing,0,lm
60128,global,unknown,NA,NA
60129,global,unknown,NA,NA
60130,global,unknown,NA,NA
60138,global,stable,0,regr
60139,global,unknown,NA,NA
60140,global,stable,0,lm
60143,global,unknown,NA,NA
60145,global,unknown,NA,NA
60146,global,unknown,0,lm
60147,global,unknown,0,lm
60148,global,unknown,0,lm
60150,global,unknown,0,lm
60153,global,unknown,0,lm
60155,global,unknown,0,lm
60156,global,unknown,-0.02295,lm
60158,global,unknown,0,lm
60159,global,unknown,0,lm
60160,global,unknown,0,lm
60162,global,decreasing,0,lm
60163,global,unknown,0,lm
60164,global,unknown,0,lm
60166,global,decreasing,0,lm
60168,global,unknown,0,lm
60171,global,decreasing,0,lm
60175,global,unknown,0,lm
60180,global,decreasing,0.00626,regr
60185,global,unknown,NA,NA
60191,global,increasing,0,lm
60192,global,stable,0,lm
60195,global,stable,0.02,lm
60197,global,unknown,NA,NA
60198,global,unknown,NA,NA
60199,global,decreasing,0.00626,regr
60200,global,decreasing,0,lm
60202,global,decreasing,0.00626,regr
60203,global,decreasing,0.00626,regr
60204,global,unknown,NA,NA
60210,global,unknown,0,lm
60212,global,unknown,0,lm
60213,global,unknown,NA,NA
60214,global,unknown,NA,NA
60217,global,decreasing,0.00626,regr
60218,global,decreasing,0.00626,regr
60219,global,decreasing,0.00626,regr
60222,global,unknown,NA,NA
60225,global,decreasing,0.00626,regr
60228,global,unknown,NA,NA
60231,global,unknown,NA,NA
60233,global,increasing,-0.00626,regr
60236,global,unknown,NA,NA
60239,global,unknown,NA,NA
60243,global,unknown,NA,NA
60244,global,unknown,NA,NA
60245,global,unknown,NA,NA
60246,global,unknown,NA,NA
60344,global,decreasing,-0,lm
61333,global,decreasing,0.00626,regr
61337,global,unknown,NA,NA
61338,global,decreasing,0.00626,regr
61339,global,decreasing,0.00626,regr
61340,global,decreasing,0.00626,regr
61398,global,decreasing,0.00626,regr
61403,global,unknown,NA,NA
61404,global,unknown,NA,NA
61405,global,decreasing,0.00626,regr
61407,global,stable,0,regr
61408,global,decreasing,0.00626,regr
61417,global,decreasing,0.2,lm
61418,global,decreasing,0.2,lm
61743,global,stable,0,regr
62223,global,unknown,NA,NA
63100,global,decreasing,0.00626,regr
63102,global,unknown,NA,NA
63103,global,unknown,NA,NA
63104,global,decreasing,0.00626,regr
63106,global,decreasing,0.00626,regr
63107,global,unknown,NA,NA
63108,global,unknown,NA,NA
63109,global,unknown,NA,NA
63110,global,decreasing,0.00626,regr
63111,global,unknown,NA,NA
63113,global,decreasing,0.00626,regr
63114,global,stable,0,regr
63116,global,decreasing,0.00626,regr
63117,global,unknown,NA,NA
63118,global,unknown,NA,NA
63119,global,unknown,0,lm
63120,global,decreasing,0.025,lm
63122,global,unknown,NA,NA
63123,global,unknown,NA,NA
63126,global,unknown,NA,NA
63127,global,unknown,0,lm
63128,global,decreasing,0.00626,regr
63129,global,decreasing,0.00626,regr
63131,global,decreasing,0.00626,regr
63132,global,decreasing,0,lm
63141,global,unknown,NA,NA
63144,global,unknown,NA,NA
63145,global,unknown,NA,NA
63146,global,stable,0,regr
63152,global,unknown,0,lm
63153,global,decreasing,0.00626,regr
63154,global,decreasing,0.00626,regr
63155,global,unknown,NA,NA
63156,global,unknown,NA,NA
63165,global,stable,0,lm
63570,global,unknown,NA,NA
63571,global,decreasing,0.00626,regr
64396,global,decreasing,0,lm
64400,global,decreasing,0,lm
64407,global,unknown,NA,NA
64410,global,decreasing,0,lm
64411,global,decreasing,0,lm
64412,global,decreasing,0,lm
132722,global,decreasing,0.00626,regr
132723,global,decreasing,0.00626,regr
132726,global,unknown,NA,NA
132727,global,stable,0,regr
132729,global,stable,0,regr
132730,global,unknown,0,lm
132732,global,decreasing,0.00626,regr
132733,global,stable,0,lm
132736,global,decreasing,0.00626,regr
132737,global,unknown,NA,NA
132738,global,stable,0,regr
132741,global,decreasing,0.00626,regr
132742,global,unknown,NA,NA
132743,global,unknown,NA,NA
132745,global,decreasing,0.00626,regr
132747,global,unknown,NA,NA
132748,global,unknown,NA,NA
132749,global,unknown,NA,NA
132751,global,unknown,NA,NA
132753,global,decreasing,0.00626,regr
132754,global,unknown,0,lm
132755,global,unknown,NA,NA
132756,global,unknown,NA,NA
132757,global,stable,0,regr
132759,global,decreasing,0.00626,regr
132761,global,stable,0,regr
132764,global,unknown,NA,NA
132766,global,unknown,NA,NA
132767,global,unknown,0,lm
132771,global,unknown,NA,NA
132773,global,unknown,NA,NA
132774,global,unknown,NA,NA
132775,global,decreasing,0.00626,regr
132776,global,decreasing,0.00626,regr
