loiczid,stressor_mean,stressor_var,n_zero,n_na
1,NaN,NaN,0,2
2,NaN,NaN,0,2
3,NaN,NaN,0,3
4,NaN,NaN,0,2
5,NaN,NaN,0,3
6,NaN,NaN,0,2
7,NaN,NaN,0,2
8,NaN,NaN,0,3
9,NaN,NaN,0,2
10,NaN,NaN,0,2
11,NaN,NaN,0,3
12,NaN,NaN,0,2
13,NaN,NaN,0,3
14,NaN,NaN,0,2
15,NaN,NaN,0,2
16,NaN,NaN,0,3
17,NaN,NaN,0,2
18,NaN,NaN,0,2
19,NaN,NaN,0,5
20,NaN,NaN,0,4
21,NaN,NaN,0,5
22,NaN,NaN,0,4
23,NaN,NaN,0,5
24,NaN,NaN,0,5
25,NaN,NaN,0,4
26,NaN,NaN,0,4
27,NaN,NaN,0,6
28,NaN,NaN,0,4
29,NaN,NaN,0,5
30,NaN,NaN,0,4
31,NaN,NaN,0,5
32,NaN,NaN,0,5
33,NaN,NaN,0,4
34,NaN,NaN,0,4
35,NaN,NaN,0,6
36,NaN,NaN,0,4
37,NaN,NaN,0,5
38,NaN,NaN,0,4
39,NaN,NaN,0,5
40,NaN,NaN,0,8
41,NaN,NaN,0,6
42,NaN,NaN,0,6
43,NaN,NaN,0,8
44,NaN,NaN,0,6
45,NaN,NaN,0,7
46,NaN,NaN,0,6
47,NaN,NaN,0,7
48,NaN,NaN,0,7
49,NaN,NaN,0,7
50,NaN,NaN,0,6
51,NaN,NaN,0,8
52,NaN,NaN,0,6
53,NaN,NaN,0,7
54,NaN,NaN,0,6
55,NaN,NaN,0,7
56,NaN,NaN,0,7
57,NaN,NaN,0,6
58,NaN,NaN,0,7
59,NaN,NaN,0,8
60,NaN,NaN,0,6
61,NaN,NaN,0,7
62,NaN,NaN,0,8
63,NaN,NaN,0,9
64,NaN,NaN,0,8
65,NaN,NaN,0,8
66,NaN,NaN,0,8
67,NaN,NaN,0,11
68,NaN,NaN,0,8
69,NaN,NaN,0,9
70,NaN,NaN,0,8
71,NaN,NaN,0,9
72,NaN,NaN,0,9
73,NaN,NaN,0,8
74,NaN,NaN,0,8
75,NaN,NaN,0,10
76,NaN,NaN,0,9
77,NaN,NaN,0,9
78,NaN,NaN,0,8
79,NaN,NaN,0,9
80,NaN,NaN,0,9
81,NaN,NaN,0,8
82,NaN,NaN,0,8
83,NaN,NaN,0,10
84,NaN,NaN,0,8
85,NaN,NaN,0,10
86,NaN,NaN,0,9
87,NaN,NaN,0,10
88,NaN,NaN,0,12
89,NaN,NaN,0,9
90,NaN,NaN,0,10
91,NaN,NaN,0,11
92,NaN,NaN,0,10
93,NaN,NaN,0,11
94,NaN,NaN,0,10
95,NaN,NaN,0,10
96,NaN,NaN,0,12
97,NaN,NaN,0,10
98,NaN,NaN,0,10
99,NaN,NaN,0,10
100,NaN,NaN,0,11
101,NaN,NaN,0,11
102,NaN,NaN,0,10
103,NaN,NaN,0,11
104,NaN,NaN,0,11
105,NaN,NaN,0,10
106,NaN,NaN,0,10
107,NaN,NaN,0,11
108,NaN,NaN,0,11
109,NaN,NaN,0,11
110,NaN,NaN,0,9
111,NaN,NaN,0,10
112,NaN,NaN,0,14
113,NaN,NaN,0,12
114,NaN,NaN,0,11
115,NaN,NaN,0,12
116,NaN,NaN,0,12
117,NaN,NaN,0,13
118,NaN,NaN,0,12
119,NaN,NaN,0,11
120,NaN,NaN,0,13
121,NaN,NaN,0,12
122,NaN,NaN,0,12
123,NaN,NaN,0,12
124,NaN,NaN,0,12
125,NaN,NaN,0,12
126,NaN,NaN,0,12
127,NaN,NaN,0,11
128,NaN,NaN,0,14
129,NaN,NaN,0,12
130,NaN,NaN,0,12
131,NaN,NaN,0,12
132,NaN,NaN,0,13
133,NaN,NaN,0,12
134,NaN,NaN,0,12
135,NaN,NaN,0,11
136,NaN,NaN,0,13
137,NaN,NaN,0,12
138,NaN,NaN,0,12
139,NaN,NaN,0,13
140,NaN,NaN,0,13
141,NaN,NaN,0,11
142,NaN,NaN,0,13
143,NaN,NaN,0,14
144,NaN,NaN,0,14
145,NaN,NaN,0,13
146,NaN,NaN,0,13
147,NaN,NaN,0,13
148,NaN,NaN,0,16
149,NaN,NaN,0,12
150,NaN,NaN,0,14
151,NaN,NaN,0,12
152,NaN,NaN,0,15
153,NaN,NaN,0,13
154,NaN,NaN,0,13
155,NaN,NaN,0,14
156,NaN,NaN,0,13
157,NaN,NaN,0,15
158,NaN,NaN,0,13
159,NaN,NaN,0,14
160,NaN,NaN,0,14
161,NaN,NaN,0,12
162,NaN,NaN,0,15
163,NaN,NaN,0,12
164,NaN,NaN,0,15
165,NaN,NaN,0,13
166,NaN,NaN,0,15
167,NaN,NaN,0,12
168,NaN,NaN,0,15
169,NaN,NaN,0,13
170,NaN,NaN,0,14
171,NaN,NaN,0,13
172,NaN,NaN,0,13
173,NaN,NaN,0,15
174,NaN,NaN,0,12
175,NaN,NaN,0,15
176,NaN,NaN,0,14
177,NaN,NaN,0,15
178,NaN,NaN,0,15
179,NaN,NaN,0,13
180,NaN,NaN,0,15
181,NaN,NaN,0,16
182,NaN,NaN,0,14
183,NaN,NaN,0,14
184,NaN,NaN,0,16
185,NaN,NaN,0,15
186,NaN,NaN,0,16
187,NaN,NaN,0,13
188,NaN,NaN,0,14
189,NaN,NaN,0,17
190,NaN,NaN,0,13
191,NaN,NaN,0,16
192,NaN,NaN,0,14
193,NaN,NaN,0,16
194,NaN,NaN,0,15
195,NaN,NaN,0,13
196,NaN,NaN,0,16
197,NaN,NaN,0,16
198,NaN,NaN,0,13
199,NaN,NaN,0,14
200,NaN,NaN,0,17
201,NaN,NaN,0,14
202,NaN,NaN,0,17
203,NaN,NaN,0,13
204,NaN,NaN,0,13
205,NaN,NaN,0,17
206,NaN,NaN,0,13
207,NaN,NaN,0,15
208,NaN,NaN,0,14
209,NaN,NaN,0,15
210,NaN,NaN,0,16
211,NaN,NaN,0,15
212,NaN,NaN,0,14
213,NaN,NaN,0,15
214,NaN,NaN,0,15
215,NaN,NaN,0,14
216,NaN,NaN,0,16
217,NaN,NaN,0,14
218,NaN,NaN,0,16
219,NaN,NaN,0,16
220,NaN,NaN,0,14
221,NaN,NaN,0,18
222,NaN,NaN,0,15
223,NaN,NaN,0,14
224,NaN,NaN,0,17
225,NaN,NaN,0,16
226,NaN,NaN,0,16
227,NaN,NaN,0,16
228,NaN,NaN,0,15
229,NaN,NaN,0,16
230,NaN,NaN,0,17
231,NaN,NaN,0,14
232,NaN,NaN,0,17
233,NaN,NaN,0,16
234,NaN,NaN,0,15
235,NaN,NaN,0,15
236,NaN,NaN,0,14
