cell_id,iucn_sid,sciname,spp_gp,iucn_rgn,cat_score,range_km2,cell_group,depth,spp_max_depth
3398132,165888,Genicanthus lamarck,angelfish,global,0,3511675,Papua New Guinea,5,< 200 m
2110256,165889,Pomacanthus zonipectus,angelfish,global,0,346359,N Sea of Cortez,62,< 200 m
2124660,165889,Pomacanthus zonipectus,angelfish,global,0,346359,N Sea of Cortez,96,< 200 m
2221857,165889,Pomacanthus zonipectus,angelfish,global,0,346359,Vizcaino Bay Baja,51,< 200 m
3273298,165889,Pomacanthus zonipectus,angelfish,global,0,346359,Galapagos,197,< 200 m
3944241,155083,Centropyge acanthops,angelfish,global,0,591041,W Madagascar,23,< 200 m
4048604,155083,Centropyge acanthops,angelfish,global,0,591041,W Madagascar,106,< 200 m
3398132,155308,Centropyge loricula,angelfish,global,0,452743,Papua New Guinea,5,< 200 m
3877173,155308,Centropyge loricula,angelfish,global,0,452743,Fiji,7,< 200 m
3877173,165878,Centropyge flavissima,angelfish,global,0,569309,Fiji,7,< 200 m
3398132,165860,Centropyge vrolikii,angelfish,global,0,3786372,Papua New Guinea,5,< 200 m
3145557,165885,Pygoplites diacanthus,angelfish,global,0,5531706,Malaysia,20,< 200 m
3398132,165885,Pygoplites diacanthus,angelfish,global,0,5531706,Papua New Guinea,5,< 200 m
3877173,165885,Pygoplites diacanthus,angelfish,global,0,5531706,Fiji,7,< 200 m
3944241,165885,Pygoplites diacanthus,angelfish,global,0,5531706,W Madagascar,23,< 200 m
4048604,165885,Pygoplites diacanthus,angelfish,global,0,5531706,W Madagascar,106,< 200 m
3398132,165822,Apolemichthys griffisi,angelfish,global,0,245461,Papua New Guinea,5,< 200 m
3145557,165835,Apolemichthys trimaculatus,angelfish,global,0,3454764,Malaysia,20,< 200 m
3398132,165835,Apolemichthys trimaculatus,angelfish,global,0,3454764,Papua New Guinea,5,< 200 m
3877173,165835,Apolemichthys trimaculatus,angelfish,global,0,3454764,Fiji,7,< 200 m
3944241,165835,Apolemichthys trimaculatus,angelfish,global,0,3454764,W Madagascar,23,< 200 m
4048604,165835,Apolemichthys trimaculatus,angelfish,global,0,3454764,W Madagascar,106,< 200 m
3398132,165838,Centropyge colini,angelfish,global,0,390892,Papua New Guinea,5,< 200 m
3877173,165838,Centropyge colini,angelfish,global,0,390892,Fiji,7,< 200 m
3398132,165840,Pomacanthus sexstriatus,angelfish,global,0,4571421,Papua New Guinea,5,< 200 m
3145557,165843,Genicanthus melanospilos,angelfish,global,0,2182743,Malaysia,20,< 200 m
3398132,165843,Genicanthus melanospilos,angelfish,global,0,2182743,Papua New Guinea,5,< 200 m
3877173,165843,Genicanthus melanospilos,angelfish,global,0,2182743,Fiji,7,< 200 m
2221857,165861,Holacanthus clarionensis,angelfish,global,0.4,68163,Vizcaino Bay Baja,51,< 200 m
3145557,165862,Pomacanthus imperator,angelfish,global,0,7567734,Malaysia,20,< 200 m
3398132,165862,Pomacanthus imperator,angelfish,global,0,7567734,Papua New Guinea,5,< 200 m
3877173,165862,Pomacanthus imperator,angelfish,global,0,7567734,Fiji,7,< 200 m
3944241,165862,Pomacanthus imperator,angelfish,global,0,7567734,W Madagascar,23,< 200 m
4048604,165862,Pomacanthus imperator,angelfish,global,0,7567734,W Madagascar,106,< 200 m
3145557,165871,Centropyge bispinosa,angelfish,global,0,3710628,Malaysia,20,< 200 m
3398132,165871,Centropyge bispinosa,angelfish,global,0,3710628,Papua New Guinea,5,< 200 m
3877173,165871,Centropyge bispinosa,angelfish,global,0,3710628,Fiji,7,< 200 m
3944241,165871,Centropyge bispinosa,angelfish,global,0,3710628,W Madagascar,23,< 200 m
4048604,165871,Centropyge bispinosa,angelfish,global,0,3710628,W Madagascar,106,< 200 m
3877173,165872,Genicanthus watanabei,angelfish,global,0,358634,Fiji,7,< 200 m
3145557,165873,Pomacanthus annularis,angelfish,global,0,4900267,Malaysia,20,< 200 m
3398132,165873,Pomacanthus annularis,angelfish,global,0,4900267,Papua New Guinea,5,< 200 m
3944241,165876,Centropyge multispinis,angelfish,global,0,1271102,W Madagascar,23,< 200 m
3145557,165828,Centropyge fisheri,angelfish,global,0,4747773,Malaysia,20,< 200 m
3398132,165828,Centropyge fisheri,angelfish,global,0,4747773,Papua New Guinea,5,< 200 m
3877173,165828,Centropyge fisheri,angelfish,global,0,4747773,Fiji,7,< 200 m
3145557,165829,Pomacanthus xanthometopon,angelfish,global,0,3946603,Malaysia,20,< 200 m
3398132,165829,Pomacanthus xanthometopon,angelfish,global,0,3946603,Papua New Guinea,5,< 200 m
3944241,165831,Pomacanthus chrysurus,angelfish,global,0,430414,W Madagascar,23,< 200 m
4048604,165831,Pomacanthus chrysurus,angelfish,global,0,430414,W Madagascar,106,< 200 m
3398132,165848,Centropyge heraldi,angelfish,global,0,1218463,Papua New Guinea,5,< 200 m
3877173,165848,Centropyge heraldi,angelfish,global,0,1218463,Fiji,7,< 200 m
3145557,165851,Pomacanthus semicirculatus,angelfish,global,0,7485727,Malaysia,20,< 200 m
3398132,165851,Pomacanthus semicirculatus,angelfish,global,0,7485727,Papua New Guinea,5,< 200 m
3877173,165851,Pomacanthus semicirculatus,angelfish,global,0,7485727,Fiji,7,< 200 m
3944241,165851,Pomacanthus semicirculatus,angelfish,global,0,7485727,W Madagascar,23,< 200 m
4048604,165851,Pomacanthus semicirculatus,angelfish,global,0,7485727,W Madagascar,106,< 200 m
3398132,165852,Paracentropyge multifasciata,angelfish,global,0,2466073,Papua New Guinea,5,< 200 m
3877173,165852,Paracentropyge multifasciata,angelfish,global,0,2466073,Fiji,7,< 200 m
3145557,165855,Centropyge eibli,angelfish,global,0,816728,Malaysia,20,< 200 m
3398132,165867,Pomacanthus navarchus,angelfish,global,0,1928531,Papua New Guinea,5,< 200 m
3398132,165868,Centropyge nox,angelfish,global,0,2458836,Papua New Guinea,5,< 200 m
3877173,165868,Centropyge nox,angelfish,global,0,2458836,Fiji,7,< 200 m
2221857,165880,Holacanthus passer,angelfish,global,0,312268,Vizcaino Bay Baja,51,< 200 m
3273298,165880,Holacanthus passer,angelfish,global,0,312268,Galapagos,197,< 200 m
3145557,165884,Chaetodontoplus mesoleucus,angelfish,global,0,3975804,Malaysia,20,< 200 m
3398132,165893,Centropyge aurantia,angelfish,global,0,356910,Papua New Guinea,5,< 200 m
3877173,165896,Centropyge multicolor,angelfish,global,0,185945,Fiji,7,< 200 m
3398132,165897,Centropyge nigriocellus,angelfish,global,0,88658,Papua New Guinea,5,< 200 m
3398132,165901,Centropyge tibicen,angelfish,global,0,5818401,Papua New Guinea,5,< 200 m
3877173,165901,Centropyge tibicen,angelfish,global,0,5818401,Fiji,7,< 200 m
3145557,165902,Centropyge bicolor,angelfish,global,0,5381967,Malaysia,20,< 200 m
3398132,165902,Centropyge bicolor,angelfish,global,0,5381967,Papua New Guinea,5,< 200 m
3877173,165902,Centropyge bicolor,angelfish,global,0,5381967,Fiji,7,< 200 m
3398132,168374,Chaetodontoplus poliourus,angelfish,global,0,467218,Papua New Guinea,5,< 200 m
2110256,178043,Albula esuncula,bonefish_tarpons,global,0,511560,N Sea of Cortez,62,< 200 m
2124660,178043,Albula esuncula,bonefish_tarpons,global,0,511560,N Sea of Cortez,96,< 200 m
2221857,178043,Albula esuncula,bonefish_tarpons,global,0,511560,Vizcaino Bay Baja,51,< 200 m
3273298,178043,Albula esuncula,bonefish_tarpons,global,0,511560,Galapagos,197,< 200 m
3145557,194298,Albula argentea,bonefish_tarpons,global,NA,5219168,Malaysia,20,< 200 m
3398132,194298,Albula argentea,bonefish_tarpons,global,NA,5219168,Papua New Guinea,5,< 200 m
3877173,194298,Albula argentea,bonefish_tarpons,global,NA,5219168,Fiji,7,< 200 m
3944241,194298,Albula argentea,bonefish_tarpons,global,NA,5219168,W Madagascar,23,< 200 m
3398131,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Papua New Guinea,0,200 m +
3398132,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Papua New Guinea,5,200 m +
3398133,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Papua New Guinea,3e3,200 m +
3877173,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Fiji,7,200 m +
3880763,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Fiji,3e3,200 m +
3884370,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Fiji,2e3,200 m +
3944241,166868,Megalops cyprinoides,bonefish_tarpons,eastern_africa,0,17705974,W Madagascar,23,200 m +
3965838,166868,Megalops cyprinoides,bonefish_tarpons,eastern_africa,0,17705974,W Madagascar,1e3,200 m +
3969436,166868,Megalops cyprinoides,bonefish_tarpons,eastern_africa,0,17705974,W Madagascar,2e3,200 m +
3973169,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Reunion,5e3,200 m +
3973171,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Reunion,4e3,200 m +
4009158,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Reunion,0,200 m +
4012758,166868,Megalops cyprinoides,bonefish_tarpons,global,NA,17705974,Reunion,1e3,200 m +
4009158,172363,Elops machnata,bonefish_tarpons,global,0,176350,Reunion,0,< 200 m
2110256,184047,Elops affinis,bonefish_tarpons,global,NA,1320805,N Sea of Cortez,62,200 m +
2124660,184047,Elops affinis,bonefish_tarpons,global,NA,1320805,N Sea of Cortez,96,200 m +
2211043,184047,Elops affinis,bonefish_tarpons,global,NA,1320805,Vizcaino Bay Baja,2e3,200 m +
2221857,184047,Elops affinis,bonefish_tarpons,global,NA,1320805,Vizcaino Bay Baja,51,200 m +
3398132,194299,Albula glossodonta,bonefish_tarpons,global,0.4,1762555,Papua New Guinea,5,< 200 m
3398132,194307,Elops hawaiensis,bonefish_tarpons,global,NA,16315561,Papua New Guinea,5,200 m +
3398133,194307,Elops hawaiensis,bonefish_tarpons,global,NA,16315561,Papua New Guinea,3e3,200 m +
3877173,194307,Elops hawaiensis,bonefish_tarpons,global,NA,16315561,Fiji,7,200 m +
3880763,194307,Elops hawaiensis,bonefish_tarpons,global,NA,16315561,Fiji,3e3,200 m +
3884370,194307,Elops hawaiensis,bonefish_tarpons,global,NA,16315561,Fiji,2e3,200 m +
3145557,165631,Chaetodon auriga,butterflyfish,global,0,8250828,Malaysia,20,< 200 m
3273298,165631,Chaetodon auriga,butterflyfish,global,0,8250828,Galapagos,197,< 200 m
3398132,165631,Chaetodon auriga,butterflyfish,global,0,8250828,Papua New Guinea,5,< 200 m
3877173,165631,Chaetodon auriga,butterflyfish,global,0,8250828,Fiji,7,< 200 m
3944241,165631,Chaetodon auriga,butterflyfish,global,0,8250828,W Madagascar,23,< 200 m
4048604,165631,Chaetodon auriga,butterflyfish,global,0,8250828,W Madagascar,106,< 200 m
2221857,165635,Chaetodon humeralis,butterflyfish,global,0,436782,Vizcaino Bay Baja,51,< 200 m
3273298,165635,Chaetodon humeralis,butterflyfish,global,0,436782,Galapagos,197,< 200 m
3398132,165653,Chaetodon pelewensis,butterflyfish,global,0,973514,Papua New Guinea,5,< 200 m
3877173,165653,Chaetodon pelewensis,butterflyfish,global,0,973514,Fiji,7,< 200 m
3273298,165658,Prognathodes carlhubbsi,butterflyfish,global,0.2,10293,Galapagos,197,< 200 m
3398132,165640,Heniochus chrysostomus,butterflyfish,global,0,3362481,Papua New Guinea,5,< 200 m
3877173,165640,Heniochus chrysostomus,butterflyfish,global,0,3362481,Fiji,7,< 200 m
3273298,165633,Johnrandallia nigrirostris,butterflyfish,global,0,329283,Galapagos,197,< 200 m
3398132,165665,Chaetodon ulietensis,butterflyfish,global,0,2359400,Papua New Guinea,5,< 200 m
3877173,165665,Chaetodon ulietensis,butterflyfish,global,0,2359400,Fiji,7,< 200 m
3145557,165667,Forcipiger longirostris,butterflyfish,global,0,3007378,Malaysia,20,< 200 m
3398132,165667,Forcipiger longirostris,butterflyfish,global,0,3007378,Papua New Guinea,5,< 200 m
3877173,165667,Forcipiger longirostris,butterflyfish,global,0,3007378,Fiji,7,< 200 m
3944241,165667,Forcipiger longirostris,butterflyfish,global,0,3007378,W Madagascar,23,< 200 m
4048604,165667,Forcipiger longirostris,butterflyfish,global,0,3007378,W Madagascar,106,< 200 m
3145557,165668,Chaetodon citrinellus,butterflyfish,global,0,4788647,Malaysia,20,< 200 m
3398132,165668,Chaetodon citrinellus,butterflyfish,global,0,4788647,Papua New Guinea,5,< 200 m
3877173,165668,Chaetodon citrinellus,butterflyfish,global,0,4788647,Fiji,7,< 200 m
3398132,165672,Hemitaurichthys polylepis,butterflyfish,global,0,2631558,Papua New Guinea,5,< 200 m
3877173,165672,Hemitaurichthys polylepis,butterflyfish,global,0,2631558,Fiji,7,< 200 m
3145557,165628,Chaetodon kleinii,butterflyfish,global,0,5537537,Malaysia,20,< 200 m
3398132,165628,Chaetodon kleinii,butterflyfish,global,0,5537537,Papua New Guinea,5,< 200 m
3877173,165628,Chaetodon kleinii,butterflyfish,global,0,5537537,Fiji,7,< 200 m
3944241,165628,Chaetodon kleinii,butterflyfish,global,0,5537537,W Madagascar,23,< 200 m
4048604,165628,Chaetodon kleinii,butterflyfish,global,0,5537537,W Madagascar,106,< 200 m
3944241,165709,Chaetodon blackburnii,butterflyfish,global,0,305925,W Madagascar,23,< 200 m
4048604,165709,Chaetodon blackburnii,butterflyfish,global,0,305925,W Madagascar,106,< 200 m
3145557,165723,Chaetodon collare,butterflyfish,global,0,1869308,Malaysia,20,< 200 m
3145557,165626,Heniochus acuminatus,butterflyfish,global,0,8104593,Malaysia,20,< 200 m
3398132,165626,Heniochus acuminatus,butterflyfish,global,0,8104593,Papua New Guinea,5,< 200 m
3877173,165626,Heniochus acuminatus,butterflyfish,global,0,8104593,Fiji,7,< 200 m
3944241,165626,Heniochus acuminatus,butterflyfish,global,0,8104593,W Madagascar,23,< 200 m
4048604,165626,Heniochus acuminatus,butterflyfish,global,0,8104593,W Madagascar,106,< 200 m
3145557,165630,Chaetodon vagabundus,butterflyfish,global,0,6931465,Malaysia,20,< 200 m
3398132,165630,Chaetodon vagabundus,butterflyfish,global,0,6931465,Papua New Guinea,5,< 200 m
3877173,165630,Chaetodon vagabundus,butterflyfish,global,0,6931465,Fiji,7,< 200 m
3944241,165630,Chaetodon vagabundus,butterflyfish,global,0,6931465,W Madagascar,23,< 200 m
4048604,165630,Chaetodon vagabundus,butterflyfish,global,0,6931465,W Madagascar,106,< 200 m
3398132,165632,Chaetodon punctatofasciatus,butterflyfish,global,0,2055692,Papua New Guinea,5,< 200 m
3145557,165638,Chaetodon meyeri,butterflyfish,global,0,3451557,Malaysia,20,< 200 m
3273298,165638,Chaetodon meyeri,butterflyfish,global,0,3451557,Galapagos,197,< 200 m
