cell_id,iucn_sid,spp_gp,max_depth
3398132,165888,ANGELFISH,< 200 m
2110256,165889,ANGELFISH,< 200 m
2124660,165889,ANGELFISH,< 200 m
2221857,165889,ANGELFISH,< 200 m
3273298,165889,ANGELFISH,< 200 m
3944241,155083,ANGELFISH,< 200 m
4048604,155083,ANGELFISH,< 200 m
3398132,155308,ANGELFISH,< 200 m
3877173,155308,ANGELFISH,< 200 m
3877173,165878,ANGELFISH,< 200 m
3398132,165860,ANGELFISH,< 200 m
3145557,165885,ANGELFISH,< 200 m
3398132,165885,ANGELFISH,< 200 m
3877173,165885,ANGELFISH,< 200 m
3944241,165885,ANGELFISH,< 200 m
4048604,165885,ANGELFISH,< 200 m
3398132,165822,ANGELFISH,< 200 m
3145557,165835,ANGELFISH,< 200 m
3398132,165835,ANGELFISH,< 200 m
3877173,165835,ANGELFISH,< 200 m
3944241,165835,ANGELFISH,< 200 m
4048604,165835,ANGELFISH,< 200 m
3398132,165838,ANGELFISH,< 200 m
3877173,165838,ANGELFISH,< 200 m
3398132,165840,ANGELFISH,< 200 m
3145557,165843,ANGELFISH,< 200 m
3398132,165843,ANGELFISH,< 200 m
3877173,165843,ANGELFISH,< 200 m
2221857,165861,ANGELFISH,< 200 m
3145557,165862,ANGELFISH,< 200 m
3398132,165862,ANGELFISH,< 200 m
3877173,165862,ANGELFISH,< 200 m
3944241,165862,ANGELFISH,< 200 m
4048604,165862,ANGELFISH,< 200 m
3145557,165871,ANGELFISH,< 200 m
3398132,165871,ANGELFISH,< 200 m
3877173,165871,ANGELFISH,< 200 m
3944241,165871,ANGELFISH,< 200 m
4048604,165871,ANGELFISH,< 200 m
3877173,165872,ANGELFISH,< 200 m
3145557,165873,ANGELFISH,< 200 m
3398132,165873,ANGELFISH,< 200 m
3944241,165876,ANGELFISH,< 200 m
3145557,165828,ANGELFISH,< 200 m
3398132,165828,ANGELFISH,< 200 m
3877173,165828,ANGELFISH,< 200 m
3145557,165829,ANGELFISH,< 200 m
3398132,165829,ANGELFISH,< 200 m
3944241,165831,ANGELFISH,< 200 m
4048604,165831,ANGELFISH,< 200 m
3398132,165848,ANGELFISH,< 200 m
3877173,165848,ANGELFISH,< 200 m
3145557,165851,ANGELFISH,< 200 m
3398132,165851,ANGELFISH,< 200 m
3877173,165851,ANGELFISH,< 200 m
3944241,165851,ANGELFISH,< 200 m
4048604,165851,ANGELFISH,< 200 m
3398132,165852,ANGELFISH,< 200 m
3877173,165852,ANGELFISH,< 200 m
3145557,165855,ANGELFISH,< 200 m
3398132,165867,ANGELFISH,< 200 m
3398132,165868,ANGELFISH,< 200 m
3877173,165868,ANGELFISH,< 200 m
2221857,165880,ANGELFISH,< 200 m
3273298,165880,ANGELFISH,< 200 m
3145557,165884,ANGELFISH,< 200 m
3398132,165893,ANGELFISH,< 200 m
3877173,165896,ANGELFISH,< 200 m
3398132,165897,ANGELFISH,< 200 m
3398132,165901,ANGELFISH,< 200 m
3877173,165901,ANGELFISH,< 200 m
3145557,165902,ANGELFISH,< 200 m
3398132,165902,ANGELFISH,< 200 m
3877173,165902,ANGELFISH,< 200 m
3398132,168374,ANGELFISH,< 200 m
2110256,178043,BONEFISH_TARPONS,< 200 m
2124660,178043,BONEFISH_TARPONS,< 200 m
2221857,178043,BONEFISH_TARPONS,< 200 m
3273298,178043,BONEFISH_TARPONS,< 200 m
3145557,194298,BONEFISH_TARPONS,< 200 m
3398132,194298,BONEFISH_TARPONS,< 200 m
3877173,194298,BONEFISH_TARPONS,< 200 m
3944241,194298,BONEFISH_TARPONS,< 200 m
3398131,166868,BONEFISH_TARPONS,200 m +
3398132,166868,BONEFISH_TARPONS,200 m +
3398133,166868,BONEFISH_TARPONS,200 m +
3877173,166868,BONEFISH_TARPONS,200 m +
3880763,166868,BONEFISH_TARPONS,200 m +
3884370,166868,BONEFISH_TARPONS,200 m +
3944241,166868,BONEFISH_TARPONS,200 m +
3965838,166868,BONEFISH_TARPONS,200 m +
3969436,166868,BONEFISH_TARPONS,200 m +
3973169,166868,BONEFISH_TARPONS,200 m +
3973171,166868,BONEFISH_TARPONS,200 m +
4009158,166868,BONEFISH_TARPONS,200 m +
4012758,166868,BONEFISH_TARPONS,200 m +
4009158,172363,BONEFISH_TARPONS,< 200 m
2110256,184047,BONEFISH_TARPONS,200 m +
2124660,184047,BONEFISH_TARPONS,200 m +
2211043,184047,BONEFISH_TARPONS,200 m +
2221857,184047,BONEFISH_TARPONS,200 m +
3398132,194299,BONEFISH_TARPONS,< 200 m
3398132,194307,BONEFISH_TARPONS,200 m +
3398133,194307,BONEFISH_TARPONS,200 m +
3877173,194307,BONEFISH_TARPONS,200 m +
3880763,194307,BONEFISH_TARPONS,200 m +
3884370,194307,BONEFISH_TARPONS,200 m +
3145557,165631,BUTTERFLYFISH,< 200 m
3273298,165631,BUTTERFLYFISH,< 200 m
3398132,165631,BUTTERFLYFISH,< 200 m
3877173,165631,BUTTERFLYFISH,< 200 m
3944241,165631,BUTTERFLYFISH,< 200 m
4048604,165631,BUTTERFLYFISH,< 200 m
2221857,165635,BUTTERFLYFISH,< 200 m
3273298,165635,BUTTERFLYFISH,< 200 m
3398132,165653,BUTTERFLYFISH,< 200 m
3877173,165653,BUTTERFLYFISH,< 200 m
3273298,165658,BUTTERFLYFISH,< 200 m
3398132,165640,BUTTERFLYFISH,< 200 m
3877173,165640,BUTTERFLYFISH,< 200 m
3273298,165633,BUTTERFLYFISH,< 200 m
3398132,165665,BUTTERFLYFISH,< 200 m
3877173,165665,BUTTERFLYFISH,< 200 m
3145557,165667,BUTTERFLYFISH,< 200 m
3398132,165667,BUTTERFLYFISH,< 200 m
