am_sid,iucn_sid,sciname,main_common_name,cat,cat_score
Fis-28123,194299,Albula glossodonta,Shortjaw Bonefish,VU,0.4
Fis-22770,903,Alosa alosa,Allis Shad,LC,0
Fis-52020,21689,Thalassoma ascensionis,NA,VU,0.4
Fis-22868,5360,Coregonus albula,Vendace,LC,0
Fis-25886,41732,Brachaelurus waddi,Blind Shark,LC,0
SLB-61985,133575,Cladocora arbuscula,Tube Coral,LC,0
ITS-Mam-180450,4160,Cephalorhynchus eutropia,Chilean Dolphin,NT,0.2
ITS-Mam-180420,20425,Sousa teuszii,Atlantic Humpbacked Dolphin,CR,0.8
ITS-Mam-180635,2059,Arctocephalus philippii,Juan Fernández Fur Seal,LC,0
ITS-Mam-612591,41711,Eubalaena japonica,North Pacific Right Whale,EN,0.6
ITS-Mam-180419,20424,Sousa chinensis,NA,NT,0.2
ITS-556336,163260,Alluroteuthis antarctica,NA,LC,0
SLB-88336,180265,Actinopyga miliaris,Harry Blackfish,VU,0.4
Fis-29372,183775,Engraulis ringens,Peruvian Anchoveta,LC,0
Fis-22215,154712,Coryphaena hippurus,Common Dolphinfish,LC,0
Fis-29358,170350,Coryphaena equiselis,Pompano Dolphinfish,LC,0
Fis-22703,132761,Cephalopholis cruentata,Graysby,LC,0
Fis-22704,132819,Epinephelus adscensionis,Rock Hind,LC,0
Fis-22720,195409,Epinephelus itajara,Atlantic Goliath Grouper,CR,0.8
Fis-22721,44681,Epinephelus morio,Red Grouper,NT,0.2
Fis-22722,7862,Epinephelus striatus,Nassau Grouper,EN,0.6
Fis-29302,2539,Balistes vetula,Queen Triggerfish,NT,0.2
Fis-29344,155123,Clupea harengus,Atlantic Herring,LC,0
Fis-22711,60344,Anguilla anguilla,European Eel,CR,0.8
Fis-22713,154687,Arnoglossus imperialis,Imperial Scaldfish,LC,0
Fis-22731,185128,Parablennius gattorugine,Tompot Blenny,LC,0
Fis-22742,155044,Buglossidium luteum,Solenette,LC,0
Fis-22745,187803,Centrolabrus exoletus,Rock Cook,LC,0
Fis-22750,187752,Coris julis,Mediterranean Rainbow Wrasse,LC,0
Fis-22769,187748,Symphodus melops,Corkwing Wrasse,LC,0
Fis-22752,187751,Ctenolabrus rupestris,Goldsinny Wrasse,LC,0
Fis-22755,135606,Dicentrarchus labrax,European Seabass,LC,0
Fis-29394,8784,Gadus morhua,Atlantic Cod,VU,0.4
Fis-22766,170338,Istiophorus platypterus,Sailfish,LC,0
Fis-22219,155126,Apsilus dentatus,Black Snapper,LC,0
Fis-29375,154999,Etelis carbunculus,Ruby Snapper,LC,0
Fis-22768,11200,Lamna nasus,Porbeagle,VU,0.4
Fis-22735,170331,Acanthocybium solandri,Wahoo,LC,0
Fis-22747,4292,Cetorhinus maximus,Basking Shark,VU,0.4
Fis-29265,170349,Allothunnus fallai,Slender Tuna,LC,0
Fis-22738,170355,Auxis rochei,Bullet Tuna,LC,0
Fis-22739,170344,Auxis thazard,Frigate Tuna,LC,0
Fis-22754,170321,Cybiosarda elegans,Leaping Bonito,LC,0
Fis-22758,170336,Euthynnus affinis,Kawakawa,LC,0
Fis-22759,170345,Euthynnus alletteratus,Little Tunny,LC,0
Fis-29391,170320,Euthynnus lineatus,Black Skipjack,LC,0
Fis-29263,154820,Alepisaurus ferox,Long Snouted Lancetfish,LC,0
Fis-29402,170340,Gasterochisma melampus,Butterfly Mackerel,LC,0
Fis-21661,170308,Grammatorcynus bicarinatus,Shark Mackerel,LC,0
Fis-21662,170358,Grammatorcynus bilineatus,Double-lined Mackerel,LC,0
Fis-22776,170342,Gymnosarda unicolor,Dogtooth Tuna,LC,0
Fis-22777,170310,Katsuwonus pelamis,Skipjack Tuna,LC,0
Fis-22805,170319,Orcynopsis unicolor,Plain Bonito,LC,0
Fis-22815,170332,Sarda australis,Australian Bonito,LC,0
Fis-22817,170313,Sarda orientalis,Oriental Bonito,LC,0
Fis-22818,155096,Sarda sarda,Atlantic Bonito,LC,0
Fis-29506,170329,Scomber australasicus,Blue Mackerel,LC,0
Fis-29507,170306,Scomber japonicus,Pacific Chub Mackerel,LC,0
Fis-29508,170354,Scomber scombrus,Atlantic Mackerel,LC,0
Fis-29509,170335,Scomberomorus brasiliensis,Serra Spanish Mackerel,LC,0
Fis-22819,170339,Scomberomorus cavalla,King Mackerel,LC,0
Fis-22820,170316,Scomberomorus commerson,Narrow-barred Spanish Mackerel,NT,0.2
Fis-22821,20047,Scomberomorus concolor,Monterrey Spanish Mackerel,VU,0.4
Fis-22823,170343,Scomberomorus koreanus,Korean Seerfish,LC,0
Fis-22824,170353,Scomberomorus lineolatus,Streaked Seerfish,LC,0
Fis-22825,170323,Scomberomorus maculatus,Atlantic Spanish Mackerel,LC,0
