iucn_sid,poly_range_km2
165888,8502933.166332489
165887,3787249.1462452505
165889,1029936.9416682214
165903,34608.65606172237
154809,175439.65556695173
155083,2564186.4386594575
155308,6803485.76823179
165845,2012464.9633580283
165846,487729.74370938947
165878,7192483.665131717
165834,443162.50521241385
165860,11383581.111310104
165885,18703847.658711217
165822,1968111.799745778
165835,12052373.730389135
165836,32515.513433149157
165837,3119526.476261905
165838,2986491.301167232
165839,1020014.7904306703
165840,10486436.585075771
165841,824607.431946255
165842,169593.82176771984
165843,8220887.3728349535
165844,948296.1262842785
165861,262237.47787789226
165862,21845373.91127821
165863,541116.2602556678
165864,2662420.5328019867
165865,1248246.1553755838
165823,46195.40100535275
165824,34608.65606172237
165825,810306.2850853468
165826,20988.56410388397
165869,50753.284524462324
165870,536490.4140921449
165871,16669306.455639143
165872,4481363.042918844
165873,10479371.681687636
165874,411073.062988639
165875,312619.37169367477
165876,3647046.3232834213
165827,101591.48794190533
165828,16932259.243858512
165829,10221103.132814737
165830,327351.16218532535
165831,1680529.7419012762
165832,1302875.2545136493
165833,1978912.2430353528
165847,50309.24757661974
165848,8625874.788382966
165849,1037701.4081815534
165850,1241535.893257366
165851,17109045.25247479
165852,10631991.515731106
165853,1220196.4324426078
165854,116215.3578824078
165855,2310268.127662224
165856,1210366.8085681058
165857,1898000.5571970586
165858,687279.5542941885
165866,125672.90846241721
165867,6450829.886282901
165868,7791989.873486668
165879,3801186.3253363967
165880,967907.4981812981
165881,962681.6683385627
165882,1339167.1336264662
165883,4064102.841754656
165884,7456517.54117588
165890,78486.70895725646
165891,495785.89669917745
165892,109776.15699841638
165893,2801292.9055555486
165894,784801.3471518102
165895,459801.9329244044
165896,3688110.525054162
165897,1931936.3744287172
165898,4012983.962242907
165899,443162.50521241385
165900,735264.2228670166
165901,12284728.14322993
165902,14425901.279040199
168374,2865384.639645967
169679,80137.1126458953
4131,34849.59454893157
178043,1377041.338615321
194303,3467022.1230446347
194305,965714.3704726239
191822,791074.6216643046
194298,12307013.362836933
166868,3118059.655683436
166868,17791647.28302506
194301,2964124.1665910315
194302,198783.57399697337
172363,2238331.0472087264
172363,2523.6584814168896
190357,576176.3478455712
184047,1347590.696894274
194299,8338035.122124651
