iucn_sid,iucn_rgn,years,cat_ts,scores,pop_trend_desc,calc_trend
222,global,"1994, 1996, 2004","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
224,global,"1996, 2010","VU, CR","0.4, 0.8",decreasing,0.02857
225,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
229,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
230,global,"1994, 1996, 2010","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.00789
232,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
233,global,"1996, 2006","VU, NT","0.4, 0.2",stable,-0.02
234,global,"1996, 2004","NT, LC","0.2, 0",stable,-0.025
236,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
241,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
245,global,"1996, 2006","NT, NT","0.2, 0.2",increasing,0
1086,global,"1994, 1996, 2004","EN, VU, VU","0.6, 0.4, 0.4",unknown,-0.01429
1308,global,"1996, 2015","EN, LC","0.6, 0",unknown,-0.03158
1615,global,"1996, 2015","VU, LC","0.4, 0",unknown,-0.02105
2055,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",increasing,0
2057,global,"1996, 2008, 2015","VU, EN, EN","0.4, 0.6, 0.6",decreasing,0.01119
2058,global,"1996, 2008, 2014, 2016","LC, LC, LC, LC","0, 0, 0, 0",decreasing,0
2059,global,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2060,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",increasing,0
2061,global,"1994, 1996, 2008, 2015","VU, VU, NT, LC","0.4, 0.4, 0.2, 0",increasing,-0.01891
2062,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",stable,0
2467,global,"1994, 1996, 2008, 2012","VU, VU, LC, LC","0.4, 0.4, 0, 0",increasing,-0.02553
2474,global,"1996, 2008","NT, LC","0.2, 0",stable,-0.01667
2475,global,"1994, 1996, 2008","VU, EN, EN","0.4, 0.6, 0.6",unknown,0.0093
2477,global,"1994, 1996, 2008","EN, EN, EN","0.6, 0.6, 0.6",increasing,-0
2478,global,"1994, 1996, 2008, 2013","VU, EN, EN, EN","0.4, 0.6, 0.6, 0.6",unknown,0.00687
2539,global,"1996, 2015","VU, NT","0.4, 0.2",decreasing,-0.01053
3381,global,"1996, 2010, 2012, 2017","NT, LC, LC, LC","0.2, 0, 0, 0",stable,-0.0105
3590,global,"1996, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
3851,global,"1996, 2000, 2009","VU, NT, NT","0.4, 0.2, 0.2",unknown,-0.01278
3852,global,"1996, 2000, 2009","EN, NT, VU","0.6, 0.2, 0.4",decreasing,-0.00902
3853,global,"1996, 2000, 2009","VU, NT, VU","0.4, 0.2, 0.4",decreasing,0.00376
3854,global,"1996, 2000, 2009","EN, VU, VU","0.6, 0.4, 0.4",unknown,-0.01278
3855,global,"1996, 2000, 2009","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
3897,global,"1994, 1996, 2015, 2017","VU, EN, VU, VU","0.4, 0.6, 0.4, 0.4",decreasing,-0.00427
4160,global,"2008, 2013, 2017","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
4162,global,"1996, 2000, 2008, 2013","VU, EN, EN, EN","0.4, 0.6, 0.6, 0.6",decreasing,0.00934
4292,global,"1996, 2000, 2005","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
4362,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4364,global,"1996, 2010","VU, LC","0.4, 0",stable,-0.02857
4592,global,"1996, 2004","VU, EN","0.4, 0.6",decreasing,0.025
4615,global,"1994, 1996, 2004","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
5360,global,"2008, 2011","LC, LC","0, 0",unknown,0
5363,global,"1996, 2008","LC, LC","0, 0",unknown,0
5659,global,"1994, 1996, 2012","VU, VU, VU","0.4, 0.4, 0.4",increasing,-0
5675,global,"1996, 2007","NT, LC","0.2, 0",unknown,-0.01818
6204,global,"1996, 2008, 2016","LC, VU, VU","0, 0.4, 0.4",unknown,0.02105
6229,global,"1996, 1996, 2009","NT, VU, NT","0.2, 0.4, 0.2",unknown,-0.00769
6335,global,"1996, 2008, 2012, 2017","VU, NT, NT, LC","0.4, 0.2, 0.2, 0",unknown,-0.01745
6336,global,"1996, 2008","LC, LC","0, 0",unknown,0
6494,global,"1994, 1996, 2000, 2013","EN, EN, CR, VU","0.6, 0.6, 0.8, 0.4",decreasing,-0.01189
6909,global,"1994, 1996, 2006, 2008, 2015","VU, VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0
7135,global,"1996, 2010, 2012, 2017","NT, LC, LC, LC","0.2, 0, 0, 0",stable,-0.0105
7750,global,"1996, 2000, 2008, 2011, 2015","LC, EN, EN, EN, EN","0, 0.6, 0.6, 0.6, 0.6",decreasing,0.02439
7854,global,"1996, 2006","CR, CR","0.8, 0.8",unknown,0
7858,global,"1996, 2006","VU, VU","0.4, 0.4",decreasing,0
7859,global,"1996, 2004","NT, EN","0.2, 0.6",decreasing,0.05
7860,global,"1996, 2006","CR, CR","0.8, 0.8",unknown,0
7861,global,"1996, 2007, 2008","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
7862,global,"1996, 2003","EN, EN","0.6, 0.6",decreasing,0
8005,global,"1994, 1996, 2008","EN, CR, CR","0.6, 0.8, 0.8",decreasing,0.0093
8010,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",unknown,0
8097,global,"1996, 2008","VU, LC","0.4, 0",stable,-0.03333
8153,global,"1994, 1996, 2008, 2013","VU, VU, LC, LC","0.4, 0.4, 0, 0",increasing,-0.02434
8239,global,"1994, 1996, 2008, 2012, 2016","VU, EN, EN, NT, NT","0.4, 0.6, 0.6, 0.2, 0.2",increasing,-0.01261
8951,global,"1996, 2008, 2010, 2013, 2015","LC, LC, LC, LC, LC","0, 0, 0, 0, 0",stable,0
9266,global,"1996, 2012, 2017","NT, LC, LC","0.2, 0, 0",stable,-0.01025
9281,global,"1996, 2007","CR, CR","0.8, 0.8",decreasing,0
9461,global,"2008, 2012","LC, LC","0, 0",unknown,0
9660,global,"1996, 2008, 2016","LC, LC, LC","0, 0, 0",increasing,0
10030,global,"1996, 2000, 2005","VU, NT, NT","0.4, 0.2, 0.2",unknown,-0.02131
10057,global,"1996, 2017","VU, LC","0.4, 0",unknown,-0.01905
10066,global,"1996, 2003, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10070,global,"2012, 2017","VU, VU","0.4, 0.4",decreasing,0
10072,global,"1996, 2003, 2012, 2017","VU, VU, VU, VU","0.4, 0.4, 0.4, 0.4",decreasing,0
10074,global,"1996, 2017","VU, LC","0.4, 0",unknown,-0.01905
10075,global,"1996, 2003, 2014","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10082,global,"1996, 2017","VU, NT","0.4, 0.2",decreasing,-0.00952
10083,global,"1996, 2010, 2017","VU, LC, LC","0.4, 0, 0",unknown,-0.02041
10087,global,"1996, 2003, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10088,global,"1996, 2017","VU, EN","0.4, 0.6",decreasing,0.00952
10089,global,"1996, 2017","VU, LC","0.4, 0",stable,-0.01905
10269,global,"1996, 2010","EN, CR","0.6, 0.8",decreasing,0.01429
10340,global,"1996, 2008, 2015","LC, LC, LC","0, 0, 0",unknown,0
10708,global,"1996, 2008","VU, LC","0.4, 0",unknown,-0.03333
11030,global,"1996, 2008","LC, LC","0, 0",unknown,0
