shp_basename,taxon
angelfish,Chordata: Actinopterygii
bli_marine_v2017,Chordata: Aves
bonefish_tarpons,Chordata: Actinopterygii
butterflyfish,Chordata: Actinopterygii
chondrichthyes,Chordata: Chondrichthyes
combtoothblennies,Chordata: Actinopterygii
conus,Mollusca
corals,Cnidaria
damselfish,Chordata: Actinopterygii
groupers,Chordata: Actinopterygii
hagfish,Chordata: Myxini
lobsters,Arthropoda
mangroves,Tracheophyta
marine_mammals,Chordata: Mammalia
pufferfish,Chordata: Actinopterygii
reptiles,Chordata: Reptilia
seabreams_porgies,Chordata: Actinopterygii
seacucumbers,Echinodermata
seagrasses,Tracheophyta
seasnakes,Chordata: Reptilia
surgeonfish_tangs_unicornfish,Chordata: Actinopterygii
tunas_billfishes,Chordata: Actinopterygii
wrasse,Chordata: Actinopterygii
