iucn_sid,pop_trend,year,old_cat,cat_txt,param_id,api_error,cat_ts,cat_score,cat_ts_score,trend_score
10030,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10030,unknown,2000,LR/nt,Lower Risk/near threatened,NA,NA,NT,0.2,0.2,NA
10030,unknown,2005,NT,Near Threatened,NA,NA,NT,0.2,0.2,NA
10056,decreasing,1988,V,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10056,decreasing,1990,V,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10056,decreasing,1994,V,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10056,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10056,decreasing,2000,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10056,decreasing,2012,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10056,decreasing,2017,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10057,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10057,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
10063,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
10064,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10065,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10066,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10066,decreasing,2003,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10066,decreasing,2017,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10069,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10070,decreasing,2012,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10070,decreasing,2017,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10072,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10072,decreasing,2003,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10072,decreasing,2012,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10072,decreasing,2017,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10074,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10074,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
10075,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10075,decreasing,2003,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10075,decreasing,2014,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10082,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10082,decreasing,2017,NT,Near Threatened,NA,NA,NT,0.2,0.2,-0.5
10083,unknown,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,NA
10083,unknown,2010,LC,Least Concern,NA,NA,LC,0,0,NA
10083,unknown,2017,LC,Least Concern,NA,NA,LC,0,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10087,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10087,decreasing,2003,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10087,decreasing,2015,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10088,decreasing,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,-0.5
10088,decreasing,2017,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10089,stable,1996,VU,Vulnerable,NA,NA,VU,0.4,0.4,0
10089,stable,2017,LC,Least Concern,NA,NA,LC,0,0,0
10097,NA,1996,EN,Endangered,NA,NA,EN,0.6,0.6,NA
10103,stable,1996,LR/lc,Lower Risk/least concern,NA,NA,LC,0,0,0
10103,stable,2006,VU,Vulnerable,NA,NA,VU,0.4,0.4,0
10103,stable,2008,VU,Vulnerable,NA,NA,VU,0.4,0.4,0
10103,stable,2017,VU,Vulnerable,NA,NA,VU,0.4,0.4,0
10105,NA,1996,LR/cd,Lower Risk/conservation dependent,NA,NA,VU,0.4,0.4,NA
101309950,decreasing,2016,NT,Near Threatened,NA,NA,NT,0.2,0.2,-0.5
10268,decreasing,1986,R,Rare,NA,NA,EN,0.6,0.6,-0.5
10268,decreasing,1988,R,Rare,NA,NA,EN,0.6,0.6,-0.5
10268,decreasing,1990,R,Rare,NA,NA,EN,0.6,0.6,-0.5
10268,decreasing,1994,R,Rare,NA,NA,EN,0.6,0.6,-0.5
10268,decreasing,1996,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10268,decreasing,2010,CR,Critically Endangered,NA,NA,CR,0.8,0.8,-0.5
10269,decreasing,1996,EN,Endangered,NA,NA,EN,0.6,0.6,-0.5
10269,decreasing,2010,CR,Critically Endangered,NA,NA,CR,0.8,0.8,-0.5
10276,stable,1986,V,Vulnerable,NA,NA,VU,0.4,0.4,0
10276,stable,1988,V,Vulnerable,NA,NA,VU,0.4,0.4,0
10276,stable,1990,V,Vulnerable,NA,NA,VU,0.4,0.4,0
10276,stable,1994,V,Vulnerable,NA,NA,VU,0.4,0.4,0
10276,stable,1996,LR/lc,Lower Risk/least concern,NA,NA,LC,0,0,0
10276,stable,2000,LR/nt,Lower Risk/near threatened,NA,NA,NT,0.2,0.2,0
10276,stable,2008,NT,Near Threatened,NA,NA,NT,0.2,0.2,0
10276,stable,2015,NT,Near Threatened,NA,NA,NT,0.2,0.2,0
