iucn_sid,code,habitat,suitability,season,majorimportance,cat,subcat1,subcat2,include
43,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Suitable,NA,NA,12,5,NA,TRUE
222,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
222,12.5,Marine Intertidal - Salt Marshes (Emergent Grasses),Suitable,NA,NA,12,5,NA,TRUE
222,13.4,Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes,Suitable,NA,NA,13,4,NA,TRUE
222,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
222,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
224,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
224,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
224,9.4,Marine Neritic - Subtidal Sandy,Marginal,NA,NA,9,4,NA,TRUE
224,9.5,Marine Neritic - Subtidal Sandy-Mud,Marginal,NA,NA,9,5,NA,TRUE
224,9.6,Marine Neritic - Subtidal Muddy,Marginal,NA,NA,9,6,NA,TRUE
225,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
225,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
228,9.10,Marine Neritic - Estuaries,Unknown,NA,NA,9,10,NA,TRUE
229,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
229,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
229,9.4,Marine Neritic - Subtidal Sandy,Suitable,NA,NA,9,4,NA,TRUE
229,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,NA,NA,9,5,NA,TRUE
229,9.6,Marine Neritic - Subtidal Muddy,Suitable,NA,NA,9,6,NA,TRUE
230,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
230,9.10,Marine Neritic - Estuaries,Suitable,NA,Yes,9,10,NA,TRUE
230,9.3,Marine Neritic - Subtidal Loose Rock/pebble/gravel,Suitable,NA,NA,9,3,NA,TRUE
230,9.4,Marine Neritic - Subtidal Sandy,Suitable,NA,NA,9,4,NA,TRUE
230,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,NA,NA,9,5,NA,TRUE
230,9.6,Marine Neritic - Subtidal Muddy,Suitable,NA,NA,9,6,NA,TRUE
231,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
232,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
232,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
232,9.4,Marine Neritic - Subtidal Sandy,Suitable,NA,NA,9,4,NA,TRUE
232,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,NA,NA,9,5,NA,TRUE
232,9.6,Marine Neritic - Subtidal Muddy,Suitable,NA,NA,9,6,NA,TRUE
233,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
233,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
233,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
234,10.1,Marine Oceanic - Epipelagic (0-200m),Suitable,NA,NA,10,1,NA,TRUE
234,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,NA,5,1,NA,FALSE
234,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Suitable,NA,NA,5,5,NA,FALSE
234,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
235,9.10,Marine Neritic - Estuaries,Suitable,NA,NA,9,10,NA,TRUE
235,9.4,Marine Neritic - Subtidal Sandy,Suitable,NA,NA,9,4,NA,TRUE
235,9.5,Marine Neritic - Subtidal Sandy-Mud,Suitable,NA,NA,9,5,NA,TRUE
235,9.6,Marine Neritic - Subtidal Muddy,Suitable,NA,NA,9,6,NA,TRUE
236,15.1,Artificial/Aquatic - Water Storage Areas (over 8ha),Marginal,NA,NA,15,1,NA,FALSE
236,15.2,Artificial/Aquatic - Ponds (below 8ha),Marginal,NA,NA,15,2,NA,FALSE
236,15.3,Artificial/Aquatic - Aquaculture Ponds,Marginal,NA,NA,15,3,NA,FALSE
236,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),Suitable,NA,Yes,5,1,NA,FALSE
236,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),Marginal,NA,NA,5,5,NA,FALSE
