iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
2055,"2008, 2016","LC, LC","0, 0",increasing,NA
2057,"2008, 2015","EN, EN","0.6, 0.6",decreasing,NA
2058,"2008, 2014, 2016","LC, LC, LC","0, 0, 0",decreasing,0
2059,"2008, 2015","NT, LC","0.2, 0",increasing,NA
2060,"2008, 2015","LC, LC","0, 0",increasing,NA
2061,"2008, 2015","NT, LC","0.2, 0",increasing,NA
2062,"2008, 2015","LC, LC","0, 0",stable,NA
2467,"2008, 2012","LC, LC","0, 0",increasing,NA
2478,"2008, 2013","EN, EN","0.6, 0.6",unknown,NA
3381,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
3590,"2008, 2015","VU, VU","0.4, 0.4",decreasing,NA
3897,"2015, 2017","VU, VU","0.4, 0.4",decreasing,NA
4160,"2008, 2013, 2017","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
4162,"2008, 2013","EN, EN","0.6, 0.6",decreasing,NA
5360,"2008, 2011","LC, LC","0, 0",unknown,NA
6204,"2008, 2016","VU, VU","0.4, 0.4",unknown,NA
6335,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
6909,"2006, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
7135,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
7750,"2008, 2011, 2015","EN, EN, EN","0.6, 0.6, 0.6",decreasing,-0
7861,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
8010,"2008, 2016","LC, LC","0, 0",unknown,NA
8153,"2008, 2013","LC, LC","0, 0",increasing,NA
8239,"2008, 2012, 2016","EN, NT, NT","0.6, 0.2, 0.2",increasing,-0.05
8951,"2008, 2010, 2013, 2015","LC, LC, LC, LC","0, 0, 0, 0",stable,0
9266,"2012, 2017","LC, LC","0, 0",stable,NA
9461,"2008, 2012","LC, LC","0, 0",unknown,NA
9660,"2008, 2016","LC, LC","0, 0",increasing,NA
10066,"2003, 2017","VU, VU","0.4, 0.4",decreasing,NA
10070,"2012, 2017","VU, VU","0.4, 0.4",decreasing,NA
10072,"2003, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
10075,"2003, 2014","VU, VU","0.4, 0.4",decreasing,NA
10083,"2010, 2017","LC, LC","0, 0",unknown,NA
10087,"2003, 2015","VU, VU","0.4, 0.4",decreasing,NA
10340,"2008, 2015","LC, LC","0, 0",unknown,NA
11140,"2008, 2012","LC, LC","0, 0",unknown,NA
11142,"2008, 2012","LC, LC","0, 0",unknown,NA
11145,"2008, 2012","LC, LC","0, 0",unknown,NA
11696,"2008, 2015","LC, LC","0, 0",unknown,NA
12125,"2008, 2012","LC, LC","0, 0",unknown,NA
12246,"2008, 2015","LC, LC","0, 0",unknown,NA
12419,"2004, 2008, 2015","NT, NT, NT","0.2, 0.2, 0.2",decreasing,-0
13581,"2008, 2015","LC, LC","0, 0",increasing,NA
13583,"2008, 2015","LC, LC","0, 0",stable,NA
13653,"2008, 2013, 2015","CR, CR, EN","0.8, 0.8, 0.6",increasing,-0.02308
13654,"2008, 2015","CR, EN","0.8, 0.6",decreasing,NA
13704,"2008, 2012, 2017","NT, NT, LC","0.2, 0.2, 0",unknown,-0.02295
14049,"2007, 2008","EN, EN","0.6, 0.6",decreasing,NA
14051,"2007, 2008, 2015","VU, VU, VU","0.4, 0.4, 0.4",unknown,-0
14053,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
14214,"2008, 2013","LC, LC","0, 0",stable,NA
14549,"2008, 2015","EN, EN","0.6, 0.6",decreasing,NA
15269,"2008, 2015","LC, LC","0, 0",unknown,NA
15419,"2008, 2017","VU, EN","0.4, 0.6",decreasing,NA
16781,"2008, 2013","LC, LC","0, 0",stable,NA
17013,"2008, 2016","LC, LC","0, 0",unknown,NA
17026,"2008, 2015","VU, EN","0.4, 0.6",decreasing,NA
17028,"2007, 2008, 2017","CR, CR, CR","0.8, 0.8, 0.8",decreasing,-0
17032,"2008, 2012","LC, LC","0, 0",unknown,NA
17096,"2006, 2017","NT, LC","0.2, 0",decreasing,NA
17177,"2006, 2017","NT, LC","0.2, 0",decreasing,NA
17978,"2008, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
18175,"2006, 2013","CR, CR","0.8, 0.8",decreasing,NA
18376,"2011, 2014","LC, LC","0, 0",unknown,NA
18878,"2008, 2013","LC, LC","0, 0",stable,NA
19488,"2005, 2016","VU, EN","0.4, 0.6",decreasing,NA
20425,"2008, 2012, 2017","VU, VU, CR","0.4, 0.4, 0.8",decreasing,0.0459
20729,"2008, 2012","LC, LC","0, 0",unknown,NA
20738,"2008, 2012","LC, LC","0, 0",unknown,NA
21257,"2008, 2016","LC, LC","0, 0",unknown,NA
22103,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
22563,"2008, 2012","LC, LC","0, 0",unknown,NA
39327,"2003, 2016","LC, LC","0, 0",stable,NA
39328,"2005, 2016","NT, NT","0.2, 0.2",decreasing,NA
39334,"2005, 2015","LC, LC","0, 0",stable,NA
39351,"2003, 2016","LC, LC","0, 0",increasing,NA
39354,"2005, 2016","NT, LC","0.2, 0",stable,NA
39355,"2003, 2016","LC, LC","0, 0",stable,NA
39370,"2009, 2016, 2017","NT, NT, VU","0.2, 0.2, 0.4",decreasing,0.01579
39374,"2006, 2015","VU, VU","0.4, 0.4",decreasing,NA
39380,"2009, 2015","NT, NT","0.2, 0.2",unknown,NA
39387,"2005, 2016","LC, LC","0, 0",stable,NA
39389,"2006, 2013","CR, EN","0.8, 0.6",decreasing,NA
39393,"2006, 2013","CR, CR","0.8, 0.8",decreasing,NA
39396,"2005, 2015","LC, LC","0, 0",unknown,NA
39399,"2005, 2016","NT, NT","0.2, 0.2",decreasing,NA
39413,"2005, 2016","VU, VU","0.4, 0.4",decreasing,NA
39416,"2006, 2015","LC, LC","0, 0",unknown,NA
39418,"2006, 2015","EN, EN","0.6, 0.6",decreasing,NA
39774,"2007, 2008","VU, VU","0.4, 0.4",decreasing,NA
40802,"2002, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
41007,"2012, 2017","VU, VU","0.4, 0.4",decreasing,NA
41008,"2002, 2015","VU, VU","0.4, 0.4",decreasing,NA
41010,"2012, 2017","VU, VU","0.4, 0.4",decreasing,NA
41064,"2007, 2016","CR, CR","0.8, 0.8",decreasing,NA
41664,"2008, 2015","LC, LC","0, 0",increasing,NA
41665,"2008, 2014, 2016","LC, LC, LC","0, 0, 0",stable,0
41666,"2008, 2015","LC, LC","0, 0",increasing,NA
41668,"2008, 2015","EN, EN","0.6, 0.6",decreasing,NA
41671,"2008, 2015","LC, LC","0, 0",increasing,NA
41672,"2008, 2016","LC, LC","0, 0",unknown,NA
