Region,Georegion,Area (x10^3^ km^2^),% marine<br>reserve,μ<sub>reserve</sub>,μ<sub>non-reserve</sub>,Risk differential<br>(μ<sub>reserve</sub> - μ<sub>non-reserve</sub>)
Egypt,Africa,236.6,1,0.099,0.244,-0.146
Georgia,Asia,22.9,0.6,0.113,0.207,-0.094
Colombia,S. America,730.7,0.5,0.089,0.151,-0.062
Panama,C. America/Caribbean,332.6,0.7,0.082,0.142,-0.061
Turks & Caicos Is.,C. America/Caribbean,154.2,2.2,0.101,0.16,-0.059
Albania,Europe,11.2,1,0.187,0.241,-0.054
Russia,Europe,"7,613.1",0.6,0.104,0.15,-0.046
Cuba,C. America/Caribbean,365.8,1.8,0.079,0.125,-0.046
Costa Rica,C. America/Caribbean,576.1,0.6,0.134,0.18,-0.046
Nicaragua,C. America/Caribbean,223.9,2.3,0.075,0.12,-0.044
Palmyra Atoll,Oceania,353.2,1.3,0.159,0.203,-0.044
Canada,N. America,"5,698.1",0.6,0.098,0.142,-0.044
Saba,C. America/Caribbean,9.5,28,0.074,0.113,-0.039
Norway,Europe,"1,716.7",4.6,0.165,0.203,-0.038
Venezuela,S. America,473.3,0.7,0.085,0.122,-0.037
Lithuania,Europe,6.1,2.3,0.147,0.183,-0.036
Jarvis Is.,Oceania,318.8,0.6,0.165,0.2,-0.035
Sint Eustatius,C. America/Caribbean,2.2,3.6,0.07,0.103,-0.032
Bangladesh,Asia,84.6,1.5,0.102,0.131,-0.029
Greenland,Europe,"2,264.5",4.4,0.139,0.167,-0.029
Mauritania,Africa,156.2,4.2,0.136,0.159,-0.023
Republique du Congo,Africa,39.9,2.9,0.164,0.186,-0.022
Indonesia,Asia,"5,947.9",1.4,0.117,0.138,-0.021
Dominican Republic,C. America/Caribbean,270.8,12.4,0.114,0.135,-0.021
Thailand,Asia,306.9,1.5,0.092,0.111,-0.019
Estonia,Europe,36.3,0.8,0.169,0.188,-0.018
S. Korea,Asia,325.0,1.2,0.097,0.115,-0.018
Howland Is. & Baker Is.,Oceania,437.9,0.8,0.172,0.19,-0.018
Norfolk Is.,Oceania,432.6,9.7,0.171,0.188,-0.017
Guinea Bissau,Africa,106.5,1.5,0.151,0.167,-0.016
Jan Mayen,Europe,291.2,1.5,0.213,0.228,-0.015
Germany,Europe,56.4,14.4,0.157,0.171,-0.014
Sweden,Europe,155.0,1.2,0.184,0.197,-0.013
Taiwan,Asia,343.0,1.1,0.125,0.136,-0.012
British Indian Ocean Terr.,Asia,642.7,99.4,0.17,0.174,-0.004
Kerguelen Is.,Southern Islands,567.2,19.6,0.154,0.155,-0.002
Pitcairn,Oceania,839.5,99.5,0.199,0.2,-0.002
Crozet Is.,Southern Islands,574.4,1.6,0.165,0.166,-0.001
Finland,Europe,79.5,2.1,0.2,0.2,0
Chile,S. America,"3,657.3",12.5,0.205,0.205,0.001
United Arab Emirates,Asia,54.7,11.1,0.113,0.112,0.001
Amsterdam Is. & St. Paul Is.,Southern Islands,509.8,0.8,0.217,0.215,0.002
Azores,Europe,957.3,0.5,0.233,0.23,0.003
Heard & McDonald Is.,Southern Islands,416.1,16.8,0.146,0.14,0.005
Macquarie Is.,Oceania,475.3,12.1,0.163,0.152,0.012
Belize,C. America/Caribbean,36.2,4.1,0.116,0.104,0.012
Guatemala,C. America/Caribbean,118.3,3.2,0.181,0.169,0.012
Brazil,S. America,"3,672.6",3.3,0.182,0.169,0.013
Australia,Oceania,"6,956.8",15.2,0.158,0.142,0.015
Mexico,N. America,"3,284.7",13.5,0.186,0.17,0.016
New Zealand,Oceania,"4,107.0",29.5,0.195,0.176,0.019
United States,N. America,"8,591.2",17.6,0.188,0.16,0.027
