kingdom,phylum,class,order,family,spp_gp,species,subpops
Animalia,Arthropoda,Malacostraca,Decapoda,Enoplometopidae,lobsters,12,0
Animalia,Arthropoda,Malacostraca,Decapoda,Glypheidae,lobsters,2,0
Animalia,Arthropoda,Malacostraca,Decapoda,Nephropidae,lobsters,53,0
Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,lobsters,54,0
Animalia,Arthropoda,Malacostraca,Decapoda,Polychelidae,lobsters,38,0
Animalia,Arthropoda,Malacostraca,Decapoda,Scyllaridae,lobsters,86,0
Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,acipenseriformes,9,0
Animalia,Chordata,Actinopterygii,Albuliformes,Albulidae,bonefish_tarpons,10,0
Animalia,Chordata,Actinopterygii,Elopiformes,Elopidae,bonefish_tarpons,7,0
Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,bonefish_tarpons,2,0
Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,surgeonfish_tangs_unicornfish,81,0
Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,combtoothblennies,393,0
Animalia,Chordata,Actinopterygii,Perciformes,Centracanthidae,seabreams_porgies,9,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,combtoothblennies,94,0
Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,butterflyfish,128,0
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,combtoothblennies,85,0
Animalia,Chordata,Actinopterygii,Perciformes,Dactyloscopidae,combtoothblennies,48,0
Animalia,Chordata,Actinopterygii,Perciformes,Epinephelidae,groupers,162,0
Animalia,Chordata,Actinopterygii,Perciformes,Istiophoridae,tunas_billfishes,9,0
Animalia,Chordata,Actinopterygii,Perciformes,Labridae,wrasse,601,0
Animalia,Chordata,Actinopterygii,Perciformes,Labrisomidae,combtoothblennies,118,0
Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,angelfish,86,0
Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,tunas_billfishes,51,0
Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,seabreams_porgies,134,0
Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,combtoothblennies,171,0
Animalia,Chordata,Actinopterygii,Perciformes,Xiphiidae,tunas_billfishes,1,0
Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,pufferfish,152,0
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,bli_marine_v2017,17,0
Animalia,Chordata,Aves,Accipitriformes,Pandionidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Anseriformes,Anatidae,bli_marine_v2017,69,0
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,bli_marine_v2017,4,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,bli_marine_v2017,25,0
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,bli_marine_v2017,36,0
Animalia,Chordata,Aves,Charadriiformes,Chionidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Charadriiformes,Dromadidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Charadriiformes,Glareolidae,bli_marine_v2017,5,0
Animalia,Chordata,Aves,Charadriiformes,Haematopodidae,bli_marine_v2017,9,0
Animalia,Chordata,Aves,Charadriiformes,Jacanidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,bli_marine_v2017,96,0
Animalia,Chordata,Aves,Charadriiformes,Pluvianidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae,bli_marine_v2017,6,0
Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,bli_marine_v2017,56,0
Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,bli_marine_v2017,7,0
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,bli_marine_v2017,6,0
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,bli_marine_v2017,27,0
Animalia,Chordata,Aves,Coraciiformes,Meropidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Falconiformes,Falconidae,bli_marine_v2017,6,0
Animalia,Chordata,Aves,Galliformes,Megapodiidae,bli_marine_v2017,5,0
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,bli_marine_v2017,5,0
Animalia,Chordata,Aves,Gruiformes,Gruidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Gruiformes,Rallidae,bli_marine_v2017,14,0
Animalia,Chordata,Aves,Passeriformes,Acanthizidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Passeriformes,Alaudidae,bli_marine_v2017,6,0
Animalia,Chordata,Aves,Passeriformes,Calcariidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Passeriformes,Cisticolidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Passeriformes,Corvidae,bli_marine_v2017,8,0
Animalia,Chordata,Aves,Passeriformes,Emberizidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Estrildidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Passeriformes,Fringillidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Furnariidae,bli_marine_v2017,5,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,bli_marine_v2017,6,0
Animalia,Chordata,Aves,Passeriformes,Icteridae,bli_marine_v2017,4,0
Animalia,Chordata,Aves,Passeriformes,Leiotrichidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Locustellidae,bli_marine_v2017,3,0
Animalia,Chordata,Aves,Passeriformes,Meliphagidae,bli_marine_v2017,1,0
Animalia,Chordata,Aves,Passeriformes,Motacillidae,bli_marine_v2017,9,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,bli_marine_v2017,2,0
Animalia,Chordata,Aves,Passeriformes,Nectariniidae,bli_marine_v2017,1,0
