cell_id,mean_risk,var_risk,n_spp_threatened,n_spp_risk,mean_trend,n_spp_trend
1342861,0,NA,0,1,-0.00406,1
1345707,0,NA,0,1,-0.00406,1
1345708,0,NA,0,1,-0.00406,1
1348546,0,NA,0,1,-0.00406,1
1348547,0,NA,0,1,-0.00406,1
1351385,0,NA,0,1,-0.00406,1
1351386,0,NA,0,1,-0.00406,1
1357075,0,NA,0,1,-0.00406,1
1357076,0,NA,0,1,-0.00406,1
1359913,0,NA,0,1,-0.00406,1
1359914,0,NA,0,1,-0.00406,1
1359915,0,NA,0,1,-0.00406,1
1362752,0,NA,0,1,-0.00406,1
1362753,0,NA,0,1,-0.00406,1
1362754,0,NA,0,1,-0.00406,1
1365591,0,NA,0,1,-0.00406,1
1365592,0,NA,0,1,-0.00406,1
1365593,0,NA,0,1,-0.00406,1
1425225,0,NA,0,1,-0.00406,1
1425226,0,NA,0,1,-0.00406,1
1428064,0,NA,0,1,-0.00406,1
1428065,0,NA,0,1,-0.00406,1
1428066,0,NA,0,1,-0.00406,1
1430903,0,NA,0,1,-0.00406,1
1430904,0,NA,0,1,-0.00406,1
1430905,0,NA,0,1,-0.00406,1
1433742,0,NA,0,1,-0.00406,1
1433743,0,NA,0,1,-0.00406,1
1433744,0,NA,0,1,-0.00406,1
1433745,0,NA,0,1,-0.00406,1
1433746,0,NA,0,1,-0.00406,1
1433747,0,NA,0,1,-0.00406,1
1433748,0,NA,0,1,-0.00406,1
1433749,0,NA,0,1,-0.00406,1
1436581,0,NA,0,1,-0.00406,1
1436582,0,NA,0,1,-0.00406,1
1436583,0,NA,0,1,-0.00406,1
1436584,0,NA,0,1,-0.00406,1
1436585,0,NA,0,1,-0.00406,1
1436586,0,NA,0,1,-0.00406,1
1436587,0,NA,0,1,-0.00406,1
1439422,0,NA,0,1,-0.00406,1
1439438,0,NA,0,1,-0.00406,1
1439439,0,NA,0,1,-0.00406,1
1442261,0,NA,0,1,-0.00406,1
1442277,0,NA,0,1,-0.00406,1
1442278,0,NA,0,1,-0.00406,1
1445116,0,NA,0,1,-0.00406,1
1445117,0,NA,0,1,-0.00406,1
1447963,0,NA,0,1,-0.00406,1
1447964,0,NA,0,1,-0.00406,1
1447973,0,NA,0,1,-0.00406,1
1447974,0,NA,0,1,-0.00406,1
1450802,0,NA,0,1,-0.00406,1
1450803,0,NA,0,1,-0.00406,1
1450812,0,NA,0,1,-0.00406,1
1450813,0,NA,0,1,-0.00406,1
1453641,0,NA,0,1,-0.00406,1
1453642,0,NA,0,1,-0.00406,1
1453643,0,NA,0,1,-0.00406,1
1453644,0,NA,0,1,-0.00406,1
1453650,0,NA,0,1,-0.00406,1
1453651,0,NA,0,1,-0.00406,1
1453652,0,NA,0,1,-0.00406,1
1456479,0,NA,0,1,-0.00406,1
1456480,0,NA,0,1,-0.00406,1
1456481,0,NA,0,1,-0.00406,1
1456482,0,NA,0,1,-0.00406,1
1456483,0,NA,0,1,-0.00406,1
1456489,0,NA,0,1,-0.00406,1
1456490,0,NA,0,1,-0.00406,1
1456491,0,NA,0,1,-0.00406,1
1459319,0,NA,0,1,-0.00406,1
1459320,0,NA,0,1,-0.00406,1
1459321,0,NA,0,1,-0.00406,1
1459322,0,NA,0,1,-0.00406,1
1459328,0,NA,0,1,-0.00406,1
1459329,0,NA,0,1,-0.00406,1
1462158,0,NA,0,1,-0.00406,1
1462159,0,NA,0,1,-0.00406,1
1462160,0,NA,0,1,-0.00406,1
1462161,0,NA,0,1,-0.00406,1
1462167,0,NA,0,1,-0.00406,1
1462168,0,NA,0,1,-0.00406,1
1464998,0,NA,0,1,-0.00406,1
1464999,0,NA,0,1,-0.00406,1
1465000,0,NA,0,1,-0.00406,1
1467856,0,NA,0,1,-0.00406,1
1467857,0,NA,0,1,-0.00406,1
1467858,0,NA,0,1,-0.00406,1
1470695,0,NA,0,1,-0.00406,1
1470696,0,NA,0,1,-0.00406,1
1470697,0,NA,0,1,-0.00406,1
1473534,0,NA,0,1,-0.00406,1
1473535,0,NA,0,1,-0.00406,1
1473536,0,NA,0,1,-0.00406,1
1473537,0,NA,0,1,-0.00406,1
1476373,0,NA,0,1,-0.00406,1
1476374,0,NA,0,1,-0.00406,1
1476375,0,NA,0,1,-0.00406,1
1476376,0,NA,0,1,-0.00406,1
1479213,0,NA,0,1,-0.00406,1
1479214,0,NA,0,1,-0.00406,1
1479215,0,NA,0,1,-0.00406,1
1482052,0,NA,0,1,-0.00406,1
1482053,0,NA,0,1,-0.00406,1
1482054,0,NA,0,1,-0.00406,1
1484891,0,NA,0,1,-0.00406,1
1484892,0,NA,0,1,-0.00406,1
1484893,0,NA,0,1,-0.00406,1
1487731,0,NA,0,1,-0.00406,1
1487732,0,NA,0,1,-0.00406,1
