cell_id,mean_risk,n_spp_risk
1125938,0.2,1
1125939,0.2,1
1125940,0.2,1
1125941,0.2,1
1125942,0.2,1
1125943,0.2,1
1125944,0.2,1
1128776,0.2,1
1128777,0.2,1
1128778,0.2,1
1128779,0.2,1
1128780,0.2,1
1128781,0.2,1
1128782,0.2,1
1128783,0.2,1
1131614,0.2,1
1131615,0.2,1
1131616,0.2,1
1131617,0.2,1
1131618,0.2,1
1131619,0.2,1
1131620,0.2,1
1131621,0.2,1
1131622,0.2,1
1134453,0.2,1
1134454,0.2,1
1134455,0.2,1
1134456,0.2,1
1134457,0.2,1
1134458,0.2,1
1134459,0.2,1
1134460,0.2,1
1137292,0.2,1
1137293,0.2,1
1137294,0.2,1
1137295,0.2,1
1137296,0.2,1
1137297,0.2,1
1137298,0.2,1
1137299,0.2,1
1140130,0.2,1
1140131,0.2,1
1140132,0.2,1
1140133,0.2,1
1140134,0.2,1
1140135,0.2,1
1140136,0.2,1
1140137,0.2,1
1140138,0.2,1
1142969,0.2,1
1142970,0.2,1
1142971,0.2,1
1142972,0.2,1
1142973,0.2,1
1142974,0.2,1
1142975,0.2,1
1142976,0.2,1
1145808,0.2,1
1145809,0.2,1
1145810,0.2,1
1145811,0.2,1
1145812,0.2,1
1145813,0.2,1
1145814,0.2,1
1145815,0.2,1
1148646,0.2,1
1148647,0.2,1
1148648,0.2,1
1148649,0.2,1
1148650,0.2,1
1148651,0.2,1
1148652,0.2,1
1148653,0.2,1
1148654,0.2,1
1151485,0.2,1
1151486,0.2,1
1151487,0.2,1
1151488,0.2,1
1151489,0.2,1
1151490,0.2,1
1151491,0.2,1
1151492,0.2,1
1154324,0.2,1
1154325,0.2,1
1154326,0.2,1
1154327,0.2,1
1154328,0.2,1
1154329,0.2,1
1154330,0.2,1
1154331,0.2,1
1157162,0.2,1
1157163,0.2,1
1157164,0.2,1
1157165,0.2,1
1157166,0.2,1
1157167,0.2,1
1157168,0.2,1
1157169,0.2,1
1157170,0.2,1
1160001,0.2,1
1160002,0.2,1
1160003,0.2,1
1160004,0.2,1
1160005,0.2,1
1160006,0.2,1
1160007,0.2,1
1160008,0.2,1
1160009,0.2,1
1162840,0.2,1
1162841,0.2,1
1162842,0.2,1
1162843,0.2,1
1162844,0.2,1
1162845,0.2,1
1162846,0.2,1
1162847,0.2,1
1165679,0.2,1
1165680,0.2,1
1165681,0.2,1
1165682,0.2,1
1165683,0.2,1
1165684,0.2,1
1165685,0.2,1
1165686,0.2,1
1168518,0.2,1
1168519,0.2,1
1168520,0.2,1
1168521,0.2,1
1168522,0.2,1
1168523,0.2,1
1168524,0.2,1
1168525,0.2,1
1171357,0.2,1
1171358,0.2,1
1171359,0.2,1
1171360,0.2,1
1171361,0.2,1
1171362,0.2,1
1171363,0.2,1
1171364,0.2,1
1174196,0.2,1
1174197,0.2,1
1174198,0.2,1
1174199,0.2,1
1174200,0.2,1
1174201,0.2,1
1174202,0.2,1
1177034,0.2,1
1177035,0.2,1
1177036,0.2,1
1177037,0.2,1
1177038,0.2,1
1177039,0.2,1
1177040,0.2,1
1177041,0.2,1
1179873,0.2,1
1179874,0.2,1
1179875,0.2,1
1179876,0.2,1
1179877,0.2,1
1179878,0.2,1
1179879,0.2,1
1179880,0.2,1
1182694,0.2,1
1182695,0.2,1
1182696,0.2,1
1182697,0.2,1
1182712,0.2,1
1182713,0.2,1
1182714,0.2,1
1182715,0.2,1
1182716,0.2,1
1182717,0.2,1
1182718,0.2,1
1182719,0.2,1
1185532,0.2,1
1185533,0.2,1
1185534,0.2,1
1185535,0.2,1
1185536,0.2,1
1185537,0.2,1
1185551,0.2,1
1185552,0.2,1
1185553,0.2,1
1185554,0.2,1
1185555,0.2,1
1185556,0.2,1
1185557,0.2,1
1188371,0.2,1
1188372,0.2,1
1188373,0.2,1
1188374,0.2,1
1188375,0.2,1
1188376,0.2,1
1188377,0.2,1
1188389,0.2,1
1188390,0.2,1
1188391,0.2,1
1188392,0.2,1
1188393,0.2,1
1188394,0.2,1
1188395,0.2,1
1188396,0.2,1
1191210,0.2,1
1191211,0.2,1
1191212,0.2,1
1191213,0.2,1
1191214,0.2,1
1191215,0.2,1
1191216,0.2,1
1191217,0.2,1
1191228,0.2,1
1191229,0.2,1
1191230,0.2,1
1191231,0.2,1
1191232,0.2,1
1191233,0.2,1
1191234,0.2,1
1191235,0.2,1
1194048,0.2,1
1194049,0.2,1
1194050,0.2,1
1194051,0.2,1
1194052,0.2,1
1194053,0.2,1
1194054,0.2,1
1194055,0.2,1
1194056,0.2,1
1194057,0.2,1
1194059,0.2,1
1194060,0.2,1
1194061,0.2,1
1194062,0.2,1
1194063,0.2,1
1194067,0.2,1
1194068,0.2,1
1194069,0.2,1
1194070,0.2,1
1194071,0.2,1
1194072,0.2,1
1194073,0.2,1
1194074,0.2,1
1196887,0.2,1
1196888,0.2,1
1196889,0.2,1
1196890,0.2,1
1196891,0.2,1
1196892,0.2,1
1196893,0.2,1
1196894,0.2,1
1196895,0.2,1
1196896,0.2,1
1196897,0.2,1
1196898,0.2,1
1196899,0.2,1
1196900,0.2,1
1196901,0.2,1
1196902,0.2,1
1196903,0.2,1
1196904,0.2,1
1196905,0.2,1
1196906,0.2,1
1196907,0.2,1
1196908,0.2,1
1196909,0.2,1
1196910,0.2,1
1196911,0.2,1
1196912,0.2,1
1196913,0.2,1
1199726,0.2,1
1199727,0.2,1
1199728,0.2,1
1199729,0.2,1
1199730,0.2,1
1199731,0.2,1
1199732,0.2,1
1199733,0.2,1
1199734,0.2,1
1199735,0.2,1
1199736,0.2,1
1199737,0.2,1
1199738,0.2,1
1199739,0.2,1
1199740,0.2,1
1199741,0.2,1
1199742,0.2,1
1199743,0.2,1
1199744,0.2,1
1199745,0.2,1
1199746,0.2,1
1199747,0.2,1
1199748,0.2,1
1199749,0.2,1
1199750,0.2,1
1199751,0.2,1
1202565,0.2,1
1202566,0.2,1
1202567,0.2,1
1202568,0.2,1
1202569,0.2,1
1202570,0.2,1
1202571,0.2,1
1202572,0.2,1
1202573,0.2,1
1202574,0.2,1
1202575,0.2,1
1202576,0.2,1
1202577,0.2,1
1202578,0.2,1
1202579,0.2,1
1202580,0.2,1
1202581,0.2,1
1202582,0.2,1
1202583,0.2,1
1202584,0.2,1
1202585,0.2,1
1202586,0.2,1
1202587,0.2,1
1202588,0.2,1
1202589,0.2,1
1202590,0.2,1
1205404,0.2,1
1205405,0.2,1
1205406,0.2,1
1205407,0.2,1
1205408,0.2,1
1205409,0.2,1
1205410,0.2,1
1205411,0.2,1
1205412,0.2,1
1205413,0.2,1
1205414,0.2,1
1205415,0.2,1
1205416,0.2,1
1205417,0.2,1
1205418,0.2,1
1205419,0.2,1
1205420,0.2,1
1205421,0.2,1
1205422,0.2,1
