cell_id,mean_risk,n_spp_risk
215770,0.6,1
215772,0.6,1
215776,0.6,1
218607,0.6,1
218610,0.6,1
218611,0.6,1
218612,0.6,1
218613,0.6,1
218614,0.6,1
218615,0.6,1
221445,0.6,1
221446,0.6,1
221447,0.6,1
221448,0.6,1
221449,0.6,1
221450,0.6,1
221451,0.6,1
224284,0.6,1
224285,0.6,1
224286,0.6,1
224287,0.6,1
224288,0.6,1
224289,0.6,1
224290,0.6,1
224291,0.6,1
224357,0.6,1
224358,0.6,1
224359,0.6,1
224360,0.6,1
224361,0.6,1
224362,0.6,1
224363,0.6,1
224364,0.6,1
224365,0.6,1
224366,0.6,1
227126,0.6,1
227127,0.6,1
227128,0.6,1
227129,0.6,1
227130,0.6,1
227131,0.6,1
227132,0.6,1
227179,0.6,1
227180,0.6,1
227190,0.6,1
227191,0.6,1
227192,0.6,1
227196,0.6,1
227197,0.6,1
227198,0.6,1
227199,0.6,1
227200,0.6,1
227201,0.6,1
227202,0.6,1
227203,0.6,1
227204,0.6,1
227205,0.6,1
227206,0.6,1
227207,0.6,1
227208,0.6,1
227209,0.6,1
227210,0.6,1
227211,0.6,1
227212,0.6,1
227213,0.6,1
227214,0.6,1
229966,0.6,1
229967,0.6,1
229968,0.6,1
229969,0.6,1
229970,0.6,1
229971,0.6,1
229981,0.6,1
229982,0.6,1
229983,0.6,1
229984,0.6,1
229985,0.6,1
229986,0.6,1
229987,0.6,1
230020,0.6,1
230021,0.6,1
230022,0.6,1
230023,0.6,1
230024,0.6,1
230026,0.6,1
230027,0.6,1
230028,0.6,1
230031,0.6,1
230032,0.6,1
230033,0.6,1
230034,0.6,1
230035,0.6,1
230036,0.6,1
230037,0.6,1
230038,0.6,1
230039,0.6,1
230040,0.6,1
230041,0.6,1
230042,0.6,1
230043,0.6,1
230044,0.6,1
230045,0.6,1
230046,0.6,1
230047,0.6,1
230048,0.6,1
230049,0.6,1
230050,0.6,1
230051,0.6,1
230052,0.6,1
230053,0.6,1
230054,0.6,1
230055,0.6,1
230056,0.6,1
232803,0.6,1
232804,0.6,1
232805,0.6,1
232806,0.6,1
232807,0.6,1
232808,0.6,1
232809,0.6,1
232810,0.6,1
232811,0.6,1
232812,0.6,1
232813,0.6,1
232814,0.6,1
232815,0.6,1
232816,0.6,1
232817,0.6,1
232818,0.6,1
232819,0.6,1
232820,0.6,1
232821,0.6,1
232822,0.6,1
232823,0.6,1
232824,0.6,1
232825,0.6,1
232826,0.6,1
232827,0.6,1
232828,0.6,1
232829,0.6,1
232830,0.6,1
232831,0.6,1
232861,0.6,1
232862,0.6,1
232863,0.6,1
232864,0.6,1
232865,0.6,1
232866,0.6,1
232867,0.6,1
232868,0.6,1
232869,0.6,1
232870,0.6,1
232871,0.6,1
232872,0.6,1
232873,0.6,1
232874,0.6,1
232875,0.6,1
232876,0.6,1
232877,0.6,1
232878,0.6,1
232879,0.6,1
232880,0.6,1
232881,0.6,1
232882,0.6,1
232883,0.6,1
232884,0.6,1
232885,0.6,1
232886,0.6,1
232887,0.6,1
232888,0.6,1
232889,0.6,1
232890,0.6,1
232891,0.6,1
232892,0.6,1
232893,0.6,1
232894,0.6,1
232895,0.6,1
232896,0.6,1
232897,0.6,1
232898,0.6,1
232899,0.6,1
232900,0.6,1
232901,0.6,1
232902,0.6,1
235641,0.6,1
235642,0.6,1
235643,0.6,1
235644,0.6,1
235645,0.6,1
235646,0.6,1
235647,0.6,1
235648,0.6,1
235649,0.6,1
235650,0.6,1
235651,0.6,1
235652,0.6,1
235653,0.6,1
235654,0.6,1
235655,0.6,1
235656,0.6,1
235657,0.6,1
235658,0.6,1
235659,0.6,1
235660,0.6,1
235661,0.6,1
235662,0.6,1
235663,0.6,1
235664,0.6,1
235665,0.6,1
235666,0.6,1
235667,0.6,1
235668,0.6,1
235669,0.6,1
235670,0.6,1
235700,0.6,1
235701,0.6,1
235702,0.6,1
235703,0.6,1
235704,0.6,1
235705,0.6,1
235706,0.6,1
235707,0.6,1
235708,0.6,1
235709,0.6,1
235710,0.6,1
235711,0.6,1
235712,0.6,1
235713,0.6,1
235714,0.6,1
235715,0.6,1
235716,0.6,1
235717,0.6,1
235718,0.6,1
235719,0.6,1
235720,0.6,1
235721,0.6,1
235722,0.6,1
235723,0.6,1
235724,0.6,1
235725,0.6,1
235726,0.6,1
235727,0.6,1
235728,0.6,1
235729,0.6,1
235730,0.6,1
235731,0.6,1
235732,0.6,1
235733,0.6,1
235734,0.6,1
235735,0.6,1
235736,0.6,1
235737,0.6,1
235738,0.6,1
235739,0.6,1
235740,0.6,1
235741,0.6,1
235742,0.6,1
235743,0.6,1
235744,0.6,1
238478,0.6,1
238479,0.6,1
238480,0.6,1
238481,0.6,1
238482,0.6,1
238483,0.6,1
238484,0.6,1
238485,0.6,1
238486,0.6,1
238487,0.6,1
238488,0.6,1
238489,0.6,1
238490,0.6,1
238491,0.6,1
238492,0.6,1
238493,0.6,1
238494,0.6,1
238495,0.6,1
238496,0.6,1
238497,0.6,1
238498,0.6,1
238499,0.6,1
238500,0.6,1
238501,0.6,1
238502,0.6,1
238503,0.6,1
238504,0.6,1
238505,0.6,1
238506,0.6,1
238507,0.6,1
238508,0.6,1
238509,0.6,1
238539,0.6,1
238540,0.6,1
238541,0.6,1
238542,0.6,1
238543,0.6,1
238544,0.6,1
238545,0.6,1
238546,0.6,1
238547,0.6,1
238548,0.6,1
238549,0.6,1
238550,0.6,1
238551,0.6,1
238552,0.6,1
238553,0.6,1
238554,0.6,1
238555,0.6,1
238556,0.6,1
238557,0.6,1
238558,0.6,1
238559,0.6,1
238560,0.6,1
238561,0.6,1
238562,0.6,1
238563,0.6,1
238564,0.6,1
238565,0.6,1
238566,0.6,1
238567,0.6,1
238568,0.6,1
238569,0.6,1
238570,0.6,1
238571,0.6,1
238572,0.6,1
238573,0.6,1
238574,0.6,1
238575,0.6,1
238576,0.6,1
238577,0.6,1
238578,0.6,1
238579,0.6,1
238580,0.6,1
238581,0.6,1
241316,0.6,1
241317,0.6,1
241318,0.6,1
241319,0.6,1
241320,0.6,1
241321,0.6,1
241322,0.6,1
241323,0.6,1
241324,0.6,1
241325,0.6,1
241326,0.6,1
241327,0.6,1
241328,0.6,1
241329,0.6,1
241330,0.6,1
241331,0.6,1
241332,0.6,1
241333,0.6,1
241334,0.6,1
241335,0.6,1
241336,0.6,1
241337,0.6,1
241338,0.6,1
241339,0.6,1
241340,0.6,1
241341,0.6,1
241342,0.6,1
241343,0.6,1
241344,0.6,1
241345,0.6,1
241346,0.6,1
241347,0.6,1
241348,0.6,1
241349,0.6,1
241350,0.6,1
241375,0.6,1
241376,0.6,1
241377,0.6,1
241378,0.6,1
241379,0.6,1
241380,0.6,1
241381,0.6,1
241382,0.6,1
241383,0.6,1
241384,0.6,1
241385,0.6,1
241386,0.6,1
241387,0.6,1
241388,0.6,1
241389,0.6,1
241390,0.6,1
241391,0.6,1
241392,0.6,1
241393,0.6,1
241394,0.6,1
241395,0.6,1
241396,0.6,1
241397,0.6,1
241398,0.6,1
241399,0.6,1
241400,0.6,1
241401,0.6,1
241402,0.6,1
241403,0.6,1
241404,0.6,1
241405,0.6,1
241406,0.6,1
241407,0.6,1
241408,0.6,1
241409,0.6,1
241410,0.6,1
241411,0.6,1
241412,0.6,1
241413,0.6,1
241414,0.6,1
241415,0.6,1
241416,0.6,1
241417,0.6,1
241418,0.6,1
241419,0.6,1
241420,0.6,1
241421,0.6,1
241422,0.6,1
241464,0.6,1
244155,0.6,1
244156,0.6,1
244157,0.6,1
244158,0.6,1
244159,0.6,1
244160,0.6,1
244161,0.6,1
244162,0.6,1
244163,0.6,1
244164,0.6,1
244165,0.6,1
244166,0.6,1
244167,0.6,1
244168,0.6,1
244169,0.6,1
244170,0.6,1
244171,0.6,1
244172,0.6,1
244173,0.6,1
244174,0.6,1
244175,0.6,1
244176,0.6,1
244177,0.6,1
244178,0.6,1
244179,0.6,1
244180,0.6,1
244181,0.6,1
244182,0.6,1
244183,0.6,1
244184,0.6,1
244185,0.6,1
244186,0.6,1
244187,0.6,1
244188,0.6,1
244189,0.6,1
244190,0.6,1
244191,0.6,1
244192,0.6,1
244193,0.6,1
244194,0.6,1
244195,0.6,1
244196,0.6,1
244212,0.6,1
244217,0.6,1
244218,0.6,1
244219,0.6,1
244220,0.6,1
244221,0.6,1
244222,0.6,1
244223,0.6,1
244224,0.6,1
244225,0.6,1
244226,0.6,1
244227,0.6,1
244228,0.6,1
244229,0.6,1
244230,0.6,1
244231,0.6,1
244232,0.6,1
244233,0.6,1
244234,0.6,1
244235,0.6,1
244236,0.6,1
244237,0.6,1
244238,0.6,1
244239,0.6,1
244240,0.6,1
244241,0.6,1
244242,0.6,1
244243,0.6,1
244244,0.6,1
244245,0.6,1
244246,0.6,1
244247,0.6,1
244248,0.6,1
244249,0.6,1
244250,0.6,1
244251,0.6,1
244252,0.6,1
244253,0.6,1
244254,0.6,1
244255,0.6,1
244256,0.6,1
244257,0.6,1
244258,0.6,1
244259,0.6,1
244260,0.6,1
244261,0.6,1
244298,0.6,1
244299,0.6,1
244300,0.6,1
244301,0.6,1
244302,0.6,1
244303,0.6,1
244304,0.6,1
244305,0.6,1
246994,0.6,1
246995,0.6,1
246996,0.6,1
246997,0.6,1
246998,0.6,1
246999,0.6,1
247000,0.6,1
247001,0.6,1
247002,0.6,1
247003,0.6,1
247004,0.6,1
247005,0.6,1
247006,0.6,1
247007,0.6,1
247008,0.6,1
247009,0.6,1
247010,0.6,1
247011,0.6,1
247012,0.6,1
247013,0.6,1
247014,0.6,1
247015,0.6,1
247016,0.6,1
247017,0.6,1
247018,0.6,1
247019,0.6,1
247020,0.6,1
247021,0.6,1
247022,0.6,1
247023,0.6,1
247024,0.6,1
247025,0.6,1
247026,0.6,1
247027,0.6,1
247028,0.6,1
247029,0.6,1
247030,0.6,1
247031,0.6,1
247032,0.6,1
247033,0.6,1
247034,0.6,1
247035,0.6,1
247036,0.6,1
247037,0.6,1
247038,0.6,1
247039,0.6,1
247046,0.6,1
247051,0.6,1
247053,0.6,1
247054,0.6,1
247055,0.6,1
247056,0.6,1
247057,0.6,1
247058,0.6,1
247059,0.6,1
247060,0.6,1
247061,0.6,1
247062,0.6,1
247063,0.6,1
247064,0.6,1
247065,0.6,1
247066,0.6,1
247067,0.6,1
247068,0.6,1
247069,0.6,1
247070,0.6,1
247071,0.6,1
247072,0.6,1
247073,0.6,1
247074,0.6,1
247075,0.6,1
247076,0.6,1
247077,0.6,1
247078,0.6,1
247079,0.6,1
247080,0.6,1
247081,0.6,1
247082,0.6,1
247083,0.6,1
247084,0.6,1
247085,0.6,1
247086,0.6,1
247087,0.6,1
247088,0.6,1
247089,0.6,1
247090,0.6,1
247091,0.6,1
247092,0.6,1
247093,0.6,1
247094,0.6,1
247095,0.6,1
247096,0.6,1
247097,0.6,1
247098,0.6,1
247099,0.6,1
247100,0.6,1
247101,0.6,1
247126,0.6,1
247134,0.6,1
247135,0.6,1
247136,0.6,1
247137,0.6,1
247138,0.6,1
247139,0.6,1
247140,0.6,1
247141,0.6,1
247142,0.6,1
247143,0.6,1
247144,0.6,1
249833,0.6,1
249834,0.6,1
249835,0.6,1
249836,0.6,1
249837,0.6,1
249838,0.6,1
249839,0.6,1
249840,0.6,1
249841,0.6,1
249842,0.6,1
249843,0.6,1
249844,0.6,1
249845,0.6,1
249846,0.6,1
249847,0.6,1
249848,0.6,1
249849,0.6,1
249850,0.6,1
249851,0.6,1
249852,0.6,1
249853,0.6,1
249854,0.6,1
249855,0.6,1
249856,0.6,1
249857,0.6,1
249858,0.6,1
249859,0.6,1
249860,0.6,1
249861,0.6,1
249862,0.6,1
249863,0.6,1
249864,0.6,1
249865,0.6,1
249866,0.6,1
249867,0.6,1
249868,0.6,1
249869,0.6,1
249870,0.6,1
249871,0.6,1
249872,0.6,1
249873,0.6,1
249874,0.6,1
249875,0.6,1
249876,0.6,1
249877,0.6,1
249878,0.6,1
249879,0.6,1
249888,0.6,1
