cell_id,mean_risk,n_spp_risk
1072825,0,1
1072826,0,1
1072827,0,1
1075664,0,1
1075665,0,1
1078502,0,1
1078503,0,1
1081341,0,1
1081342,0,1
1084177,0,1
1084178,0,1
1084179,0,1
1084181,0,1
1087015,0,1
1087018,0,1
1087019,0,1
1087020,0,1
1089850,0,1
1089851,0,1
1089854,0,1
1089857,0,1
1089858,0,1
1089859,0,1
1092674,0,1
1092689,0,1
1092690,0,1
1092693,0,1
1092696,0,1
1092697,0,1
1092698,0,1
1092700,0,1
1095513,0,1
1095527,0,1
1095532,0,1
1095535,0,1
1095536,0,1
1095537,0,1
1095539,0,1
1098351,0,1
1098352,0,1
1098365,0,1
1098371,0,1
1098375,0,1
1098376,0,1
1098377,0,1
1098378,0,1
1101173,0,1
1101190,0,1
1101191,0,1
1101193,0,1
1101194,0,1
1101195,0,1
1101205,0,1
1101211,0,1
1104011,0,1
1104012,0,1
1104013,0,1
1104014,0,1
1104019,0,1
1104029,0,1
1104030,0,1
1104031,0,1
1104032,0,1
1104033,0,1
1104034,0,1
1104042,0,1
1104043,0,1
1104044,0,1
1104048,0,1
1104050,0,1
1106849,0,1
1106850,0,1
1106851,0,1
1106852,0,1
1106853,0,1
1106854,0,1
1106855,0,1
1106856,0,1
1106857,0,1
1106858,0,1
1106868,0,1
1106869,0,1
1106870,0,1
1106871,0,1
1106874,0,1
1106875,0,1
1106876,0,1
1106877,0,1
1106878,0,1
1106879,0,1
1106881,0,1
1106882,0,1
1106883,0,1
1106885,0,1
1106886,0,1
1106887,0,1
1106889,0,1
1106890,0,1
1109687,0,1
1109688,0,1
1109690,0,1
1109691,0,1
1109692,0,1
1109693,0,1
1109695,0,1
1109696,0,1
1109697,0,1
1109708,0,1
1109709,0,1
1109710,0,1
1109711,0,1
1109712,0,1
1109713,0,1
1109714,0,1
1109715,0,1
1109716,0,1
1109717,0,1
1109718,0,1
1109719,0,1
1109720,0,1
1109721,0,1
1109724,0,1
1109725,0,1
1109726,0,1
1109728,0,1
1109729,0,1
1109730,0,1
1112521,0,1
1112523,0,1
1112524,0,1
1112525,0,1
1112527,0,1
1112529,0,1
1112530,0,1
1112531,0,1
1112533,0,1
1112534,0,1
1112535,0,1
1112536,0,1
1112548,0,1
