cell_id,mean_risk,n_spp_risk
1680414,0,1
1697449,0,1
1705778,0,1
1705781,0,1
1705782,0,1
1708617,0,1
1711456,0,1
1714294,0,1
1714295,0,1
1717131,0,1
1717132,0,1
1719970,0,1
1719971,0,1
1722809,0,1
1722810,0,1
1722814,0,1
1722815,0,1
1725648,0,1
1725649,0,1
1725650,0,1
1728487,0,1
1728488,0,1
1728489,0,1
1728490,0,1
1731326,0,1
1731327,0,1
1731328,0,1
1731329,0,1
1731332,0,1
1734165,0,1
1734166,0,1
1734358,0,1
1734359,0,1
1737001,0,1
1737002,0,1
1737003,0,1
1737004,0,1
1737005,0,1
1737012,0,1
1739840,0,1
1739841,0,1
1739842,0,1
1739843,0,1
1739844,0,1
1739851,0,1
1742677,0,1
1742678,0,1
1742679,0,1
1742683,0,1
1742684,0,1
1742688,0,1
1742689,0,1
1742690,0,1
1745516,0,1
1745523,0,1
1745524,0,1
1745525,0,1
1745526,0,1
1745527,0,1
1745528,0,1
1745530,0,1
1748355,0,1
1748363,0,1
1748364,0,1
1748365,0,1
1748366,0,1
1748367,0,1
1748369,0,1
1751194,0,1
1751203,0,1
1751204,0,1
1751205,0,1
1751206,0,1
1754032,0,1
1754033,0,1
1754044,0,1
1754048,0,1
1756871,0,1
1756872,0,1
1756887,0,1
1759710,0,1
1759725,0,1
1759910,0,1
1759911,0,1
1762549,0,1
1765388,0,1
1765588,0,1
1768227,0,1
1771066,0,1
1773905,0,1
1773919,0,1
1776744,0,1
1776758,0,1
1779597,0,1
1779784,0,1
1782436,0,1
1782623,0,1
1785462,0,1
1788100,0,1
1788115,0,1
1788116,0,1
1790939,0,1
1790954,0,1
1790955,0,1
1793776,0,1
1793778,0,1
1793793,0,1
1793794,0,1
1793979,0,1
1796615,0,1
1796616,0,1
1796617,0,1
1799454,0,1
1799455,0,1
1799456,0,1
1799472,0,1
1802225,0,1
1802295,0,1
1802311,0,1
1802312,0,1
1805064,0,1
1805069,0,1
1805070,0,1
1805134,0,1
1805151,0,1
1807903,0,1
1807908,0,1
1807909,0,1
1807973,0,1
1807990,0,1
1810747,0,1
1810748,0,1
1810749,0,1
1810812,0,1
1810829,0,1
1813586,0,1
1813587,0,1
1813588,0,1
1813651,0,1
1813668,0,1
1816425,0,1
1816426,0,1
1816427,0,1
1816507,0,1
1819264,0,1
1819265,0,1
1819266,0,1
1819268,0,1
1819269,0,1
1819328,0,1
1819345,0,1
1819529,0,1
1819530,0,1
1822099,0,1
1822100,0,1
1822104,0,1
1822107,0,1
1822108,0,1
1822166,0,1
1822167,0,1
1822184,0,1
1822368,0,1
1822369,0,1
1824938,0,1
1824939,0,1
1824943,0,1
1824946,0,1
1824947,0,1
1825005,0,1
1825006,0,1
1825023,0,1
1825207,0,1
1825208,0,1
1827776,0,1
1827777,0,1
1827778,0,1
1827784,0,1
1827785,0,1
1827786,0,1
1827787,0,1
1827842,0,1
1827843,0,1
1827844,0,1
1827845,0,1
1830615,0,1
1830616,0,1
1830617,0,1
1830622,0,1
1830623,0,1
1830624,0,1
1830625,0,1
1830681,0,1
1830682,0,1
1830683,0,1
1830684,0,1
1830700,0,1
1830887,0,1
1833454,0,1
1833455,0,1
1833456,0,1
1833461,0,1
1833462,0,1
1833463,0,1
1833464,0,1
1833520,0,1
1833521,0,1
1833522,0,1
1833523,0,1
1833539,0,1
1833726,0,1
1836296,0,1
1836297,0,1
1836298,0,1
1836300,0,1
1836301,0,1
1836302,0,1
1836303,0,1
1836358,0,1
1836360,0,1
1836361,0,1
1836362,0,1
1836563,0,1
1836565,0,1
1836566,0,1
1839113,0,1
1839114,0,1
1839115,0,1
1839132,0,1
1839133,0,1
1839134,0,1
1839139,0,1
1839140,0,1
1839141,0,1
1839197,0,1
1839199,0,1
1839200,0,1
1839201,0,1
1839404,0,1
1839405,0,1
1841950,0,1
1841951,0,1
1841952,0,1
1841953,0,1
1841954,0,1
1841955,0,1
1841971,0,1
1841972,0,1
1841973,0,1
1841978,0,1
1841979,0,1
1841980,0,1
1842036,0,1
1842038,0,1
1842039,0,1
1842040,0,1
1842041,0,1
1842243,0,1
1842244,0,1
1844788,0,1
1844789,0,1
1844790,0,1
1844791,0,1
1844792,0,1
1844793,0,1
1844794,0,1
1844810,0,1
1844811,0,1
1844812,0,1
1844875,0,1
1844878,0,1
1844879,0,1
1844880,0,1
1844893,0,1
1844894,0,1
1845082,0,1
1845083,0,1
1847627,0,1
1847628,0,1
1847629,0,1
1847630,0,1
1847631,0,1
1847632,0,1
1847633,0,1
1847651,0,1
1847656,0,1
1847657,0,1
1847658,0,1
1847714,0,1
1847717,0,1
1847718,0,1
1847731,0,1
1847921,0,1
1847922,0,1
1850465,0,1
1850466,0,1
1850467,0,1
1850468,0,1
1850469,0,1
1850470,0,1
1850471,0,1
1850472,0,1
1850490,0,1
1850495,0,1
1850496,0,1
1850497,0,1
1850553,0,1
1850569,0,1
1850570,0,1
1850571,0,1
1850760,0,1
1850761,0,1
1853303,0,1
1853304,0,1
1853305,0,1
1853306,0,1
1853307,0,1
1853308,0,1
1853309,0,1
1853310,0,1
1853311,0,1
1853334,0,1
1853335,0,1
1853407,0,1
1853408,0,1
1853409,0,1
1853596,0,1
1853599,0,1
1853600,0,1
1856142,0,1
1856143,0,1
1856144,0,1
1856145,0,1
1856146,0,1
1856147,0,1
1856148,0,1
1856149,0,1
1856164,0,1
1856231,0,1
1856232,0,1
1856246,0,1
1856247,0,1
1858981,0,1
1858982,0,1
1858983,0,1
1858984,0,1
1858985,0,1
1858986,0,1
1858987,0,1
1858988,0,1
1859003,0,1
1859070,0,1
1859071,0,1
1859085,0,1
1859086,0,1
1861820,0,1
1861821,0,1
1861822,0,1
1861823,0,1
1861824,0,1
1861825,0,1
1861826,0,1
1861827,0,1
1861828,0,1
1861841,0,1
1861842,0,1
1861909,0,1
1861910,0,1
1861924,0,1
1861925,0,1
1864660,0,1
1864661,0,1
1864662,0,1
1864663,0,1
1864664,0,1
1864665,0,1
1864666,0,1
1864749,0,1
1864763,0,1
1867499,0,1
1867500,0,1
1867501,0,1
1867502,0,1
1867503,0,1
1867504,0,1
1867505,0,1
1867588,0,1
1867602,0,1
1870338,0,1
1870339,0,1
1870340,0,1
1870341,0,1
1870342,0,1
1870343,0,1
1870344,0,1
1870345,0,1
1870427,0,1
1870440,0,1
1870441,0,1
1873178,0,1
1873179,0,1
1873180,0,1
1873181,0,1
1873182,0,1
1873183,0,1
1873184,0,1
1873266,0,1
1873279,0,1
1873471,0,1
1876017,0,1
1876018,0,1
1876019,0,1
1876020,0,1
1876021,0,1
1876022,0,1
1876023,0,1
1876105,0,1
1876118,0,1
1876310,0,1
1878857,0,1
1878858,0,1
1878859,0,1
1878860,0,1
1878861,0,1
1878862,0,1
1878944,0,1
1878956,0,1
1878957,0,1
1881697,0,1
1881698,0,1
1881699,0,1
1881700,0,1
1881701,0,1
1881766,0,1
1881767,0,1
1881795,0,1
1881796,0,1
1881986,0,1
1881987,0,1
1881988,0,1
1884536,0,1
1884537,0,1
1884538,0,1
1884539,0,1
1884540,0,1
1884605,0,1
1884606,0,1
1884635,0,1
1884825,0,1
1884827,0,1
1887375,0,1
1887376,0,1
1887377,0,1
1887378,0,1
1887379,0,1
1887444,0,1
1887445,0,1
1887462,0,1
1887474,0,1
1887476,0,1
1887664,0,1
1887666,0,1
1890214,0,1
1890215,0,1
1890216,0,1
1890217,0,1
1890218,0,1
1890283,0,1
1890284,0,1
1890301,0,1
1890313,0,1
1890314,0,1
1890315,0,1
1890316,0,1
