cell_id,mean_risk,n_spp_risk
1184358,0,1
1184359,0,1
1187197,0,1
1187198,0,1
1190035,0,1
1190036,0,1
1190037,0,1
1192873,0,1
1192874,0,1
1192875,0,1
1192876,0,1
1192877,0,1
1195712,0,1
1195713,0,1
1195714,0,1
1195715,0,1
1195716,0,1
1198551,0,1
1198552,0,1
1198553,0,1
1198554,0,1
1198555,0,1
1198556,0,1
1201390,0,1
1201391,0,1
1201392,0,1
1201393,0,1
1201394,0,1
1201395,0,1
1204228,0,1
1204229,0,1
1204230,0,1
1204231,0,1
1204232,0,1
1204233,0,1
1204234,0,1
1204235,0,1
1207067,0,1
1207068,0,1
1207069,0,1
1207070,0,1
1207071,0,1
1207072,0,1
1207073,0,1
1207074,0,1
1209906,0,1
1209907,0,1
1209908,0,1
1209909,0,1
1209910,0,1
1209911,0,1
1209912,0,1
1209913,0,1
1209914,0,1
1209929,0,1
1212745,0,1
1212746,0,1
1212747,0,1
1212748,0,1
1212749,0,1
1212750,0,1
1212751,0,1
1212752,0,1
1212753,0,1
1212768,0,1
1212769,0,1
1215584,0,1
1215585,0,1
1215586,0,1
1215587,0,1
1215588,0,1
1215589,0,1
1215590,0,1
1215591,0,1
1215592,0,1
1215607,0,1
1215608,0,1
1215609,0,1
1218423,0,1
1218424,0,1
1218425,0,1
1218426,0,1
1218427,0,1
1218428,0,1
1218429,0,1
1218430,0,1
1218446,0,1
1218447,0,1
1218448,0,1
1218449,0,1
1218453,0,1
1221262,0,1
1221263,0,1
1221264,0,1
1221265,0,1
1221266,0,1
1221267,0,1
1221268,0,1
1221269,0,1
1221270,0,1
1221285,0,1
1221286,0,1
1221287,0,1
1221288,0,1
1221289,0,1
1221291,0,1
1221292,0,1
1221293,0,1
1224102,0,1
1224103,0,1
1224104,0,1
1224105,0,1
1224106,0,1
1224107,0,1
1224108,0,1
1224109,0,1
1224110,0,1
1224124,0,1
1224125,0,1
1224126,0,1
1224127,0,1
1224128,0,1
1224129,0,1
1224130,0,1
1224131,0,1
1224132,0,1
1226941,0,1
1226942,0,1
1226943,0,1
1226944,0,1
1226945,0,1
1226946,0,1
1226947,0,1
1226948,0,1
1226949,0,1
1226962,0,1
1226963,0,1
1226964,0,1
1226965,0,1
1226966,0,1
1226967,0,1
1226968,0,1
1226969,0,1
1226970,0,1
1226971,0,1
1229780,0,1
1229781,0,1
1229782,0,1
1229783,0,1
1229784,0,1
1229785,0,1
1229786,0,1
1229787,0,1
1229788,0,1
1229789,0,1
1229801,0,1
1229802,0,1
1229803,0,1
1229804,0,1
1229805,0,1
1229806,0,1
1229807,0,1
1229808,0,1
1229809,0,1
1229810,0,1
1229811,0,1
1229812,0,1
1232619,0,1
1232620,0,1
1232621,0,1
1232622,0,1
1232623,0,1
1232624,0,1
1232625,0,1
1232626,0,1
1232627,0,1
1232628,0,1
1232640,0,1
1232641,0,1
1232642,0,1
1232643,0,1
1232644,0,1
1232645,0,1
1232646,0,1
1232647,0,1
1232648,0,1
1232649,0,1
1232650,0,1
1232651,0,1
1232652,0,1
1232653,0,1
1232654,0,1
1235459,0,1
1235460,0,1
1235461,0,1
1235462,0,1
1235463,0,1
1235464,0,1
1235465,0,1
1235466,0,1
1235467,0,1
1235479,0,1
1235480,0,1
1235481,0,1
1235482,0,1
1235483,0,1
1235484,0,1
1235485,0,1
1235486,0,1
1235487,0,1
1235488,0,1
1235489,0,1
1235490,0,1
1235491,0,1
1235492,0,1
1235493,0,1
1238298,0,1
1238299,0,1
1238300,0,1
1238301,0,1
1238302,0,1
1238303,0,1
1238304,0,1
1238305,0,1
1238306,0,1
1238319,0,1
1238320,0,1
1238321,0,1
1238322,0,1
1238323,0,1
1238324,0,1
1238325,0,1
1238326,0,1
1238327,0,1
1238328,0,1
1238329,0,1
1238330,0,1
1238331,0,1
1238332,0,1
1241137,0,1
1241138,0,1
1241139,0,1
1241140,0,1
1241141,0,1
1241142,0,1
1241143,0,1
1241144,0,1
1241145,0,1
1241158,0,1
1241159,0,1
1241160,0,1
1241161,0,1
1241162,0,1
1241163,0,1
1241164,0,1
1241165,0,1
1241166,0,1
1241167,0,1
1241168,0,1
1241169,0,1
1241170,0,1
1241171,0,1
1243977,0,1
1243978,0,1
1243979,0,1
1243980,0,1
1243981,0,1
1243982,0,1
1243983,0,1
1243984,0,1
1243985,0,1
1243998,0,1
1243999,0,1
1244000,0,1
1244001,0,1
1244002,0,1
1244003,0,1
1244004,0,1
1244005,0,1
1244006,0,1
1244007,0,1
1244008,0,1
1244009,0,1
1246816,0,1
1246817,0,1
1246818,0,1
1246819,0,1
1246820,0,1
1246821,0,1
1246822,0,1
1246823,0,1
1246824,0,1
1246825,0,1
1246837,0,1
1246838,0,1
1246839,0,1
1246840,0,1
1246841,0,1
1246842,0,1
1246843,0,1
1246844,0,1
1246845,0,1
1246846,0,1
1246847,0,1
1246848,0,1
1249656,0,1
1249657,0,1
1249658,0,1
1249659,0,1
1249660,0,1
1249661,0,1
1249662,0,1
1249663,0,1
1249664,0,1
1249676,0,1
1249677,0,1
1249678,0,1
1249679,0,1
1249680,0,1
1249681,0,1
1249682,0,1
1249683,0,1
1249684,0,1
1249685,0,1
1249686,0,1
1249687,0,1
1252495,0,1
1252496,0,1
1252497,0,1
1252498,0,1
1252499,0,1
1252500,0,1
1252501,0,1
1252502,0,1
1252503,0,1
1252515,0,1
1252516,0,1
1252517,0,1
1252518,0,1
1252519,0,1
1252520,0,1
1252521,0,1
1252522,0,1
1252523,0,1
1252524,0,1
1252525,0,1
1252526,0,1
1252527,0,1
1255334,0,1
1255335,0,1
1255336,0,1
1255337,0,1
1255338,0,1
1255339,0,1
1255340,0,1
1255341,0,1
1255342,0,1
1255354,0,1
1255355,0,1
1255356,0,1
1255357,0,1
1255358,0,1
1255359,0,1
