cell_id,mean_risk,n_spp_risk
1447427,0,1
1447428,0,1
1447429,0,1
1447430,0,1
1450262,0,1
1450263,0,1
1450264,0,1
1450265,0,1
1450266,0,1
1450267,0,1
1450268,0,1
1450269,0,1
1450270,0,1
1450271,0,1
1452672,0,1
1453099,0,1
1453100,0,1
1453101,0,1
1453102,0,1
1453103,0,1
1453104,0,1
1453105,0,1
1453106,0,1
1453107,0,1
1453108,0,1
1453109,0,1
1453110,0,1
1453111,0,1
1455510,0,1
1455511,0,1
1455512,0,1
1455937,0,1
1455938,0,1
1455939,0,1
1455940,0,1
1455941,0,1
1455942,0,1
1455943,0,1
1455944,0,1
1455945,0,1
1455946,0,1
1455947,0,1
1455948,0,1
1455949,0,1
1455950,0,1
1455951,0,1
1458774,0,1
1458775,0,1
1458776,0,1
1458777,0,1
1458778,0,1
1458779,0,1
1458780,0,1
1458781,0,1
1458782,0,1
1458783,0,1
1458784,0,1
1458785,0,1
1458786,0,1
1458787,0,1
1458788,0,1
1458789,0,1
1458790,0,1
1461171,0,1
1461185,0,1
1461186,0,1
1461187,0,1
1461188,0,1
1461189,0,1
1461190,0,1
1461612,0,1
1461613,0,1
1461614,0,1
1461615,0,1
1461616,0,1
1461617,0,1
1461618,0,1
1461619,0,1
1461620,0,1
1461621,0,1
1461622,0,1
1461623,0,1
1461624,0,1
1461625,0,1
1461626,0,1
1461627,0,1
1461628,0,1
1461629,0,1
1464006,0,1
1464007,0,1
1464008,0,1
1464009,0,1
1464010,0,1
1464020,0,1
1464021,0,1
1464022,0,1
1464023,0,1
1464024,0,1
1464025,0,1
1464026,0,1
1464027,0,1
1464028,0,1
1464029,0,1
1464450,0,1
1464451,0,1
1464452,0,1
1464453,0,1
1464454,0,1
1464455,0,1
1464456,0,1
1464457,0,1
1464458,0,1
1464459,0,1
1464460,0,1
1464461,0,1
1464462,0,1
1464463,0,1
1464464,0,1
1464465,0,1
1464466,0,1
1464467,0,1
1464468,0,1
1466837,0,1
1466838,0,1
1466845,0,1
1466846,0,1
1466847,0,1
1466848,0,1
1466849,0,1
1466850,0,1
1466851,0,1
1466854,0,1
1466855,0,1
1466856,0,1
1466857,0,1
1466858,0,1
1466859,0,1
1466860,0,1
1466861,0,1
1466862,0,1
1466863,0,1
1466864,0,1
1466865,0,1
1466866,0,1
1466867,0,1
1466868,0,1
1466869,0,1
1467287,0,1
1467288,0,1
1467289,0,1
1467290,0,1
1467291,0,1
1467292,0,1
1467293,0,1
1467294,0,1
1467295,0,1
1467296,0,1
1467297,0,1
1467298,0,1
1467299,0,1
1467300,0,1
1467301,0,1
1467303,0,1
1467304,0,1
1467305,0,1
1467306,0,1
1467307,0,1
1469663,0,1
1469664,0,1
1469669,0,1
1469673,0,1
1469675,0,1
1469676,0,1
1469677,0,1
1469678,0,1
1469679,0,1
1469680,0,1
1469681,0,1
1469682,0,1
1469683,0,1
1469684,0,1
1469685,0,1
1469686,0,1
1469687,0,1
1469688,0,1
1469689,0,1
1469690,0,1
1469691,0,1
1469692,0,1
1469693,0,1
1469694,0,1
1469695,0,1
1469696,0,1
1469697,0,1
1469698,0,1
1469699,0,1
1469700,0,1
1469701,0,1
1469702,0,1
1469703,0,1
1469704,0,1
1469705,0,1
