cell_id,mean_risk,n_spp_risk
872419,0.6,1
872420,0.6,1
872421,0.6,1
872422,0.6,1
875256,0.6,1
875257,0.6,1
875258,0.6,1
875259,0.6,1
875260,0.6,1
875261,0.6,1
875262,0.6,1
875263,0.6,1
878092,0.6,1
878093,0.6,1
878094,0.6,1
878095,0.6,1
878096,0.6,1
878097,0.6,1
878098,0.6,1
878099,0.6,1
878101,0.6,1
878102,0.6,1
878103,0.6,1
880930,0.6,1
880931,0.6,1
880932,0.6,1
880933,0.6,1
880934,0.6,1
880935,0.6,1
880936,0.6,1
880937,0.6,1
880939,0.6,1
883768,0.6,1
883769,0.6,1
883770,0.6,1
883771,0.6,1
883776,0.6,1
883777,0.6,1
883779,0.6,1
883780,0.6,1
883781,0.6,1
883782,0.6,1
886606,0.6,1
886617,0.6,1
886618,0.6,1
886619,0.6,1
886620,0.6,1
886621,0.6,1
889452,0.6,1
889453,0.6,1
889454,0.6,1
889455,0.6,1
889456,0.6,1
889457,0.6,1
889458,0.6,1
889459,0.6,1
889460,0.6,1
892282,0.6,1
892288,0.6,1
892289,0.6,1
892290,0.6,1
892291,0.6,1
892292,0.6,1
892293,0.6,1
892294,0.6,1
892295,0.6,1
892296,0.6,1
892297,0.6,1
892298,0.6,1
892299,0.6,1
895121,0.6,1
895122,0.6,1
895123,0.6,1
895124,0.6,1
895125,0.6,1
895126,0.6,1
895127,0.6,1
895128,0.6,1
895129,0.6,1
895130,0.6,1
895131,0.6,1
895132,0.6,1
895133,0.6,1
895134,0.6,1
895135,0.6,1
895136,0.6,1
895137,0.6,1
895138,0.6,1
895139,0.6,1
897959,0.6,1
897960,0.6,1
897961,0.6,1
897962,0.6,1
897963,0.6,1
897964,0.6,1
897965,0.6,1
897966,0.6,1
897967,0.6,1
897968,0.6,1
897969,0.6,1
897970,0.6,1
897971,0.6,1
897972,0.6,1
897973,0.6,1
897974,0.6,1
897975,0.6,1
897976,0.6,1
897977,0.6,1
897978,0.6,1
900800,0.6,1
900801,0.6,1
900802,0.6,1
900803,0.6,1
900804,0.6,1
900805,0.6,1
900806,0.6,1
900807,0.6,1
900808,0.6,1
900809,0.6,1
900810,0.6,1
900811,0.6,1
900812,0.6,1
900813,0.6,1
900814,0.6,1
900815,0.6,1
900816,0.6,1
900817,0.6,1
903639,0.6,1
903640,0.6,1
903641,0.6,1
903642,0.6,1
903643,0.6,1
903644,0.6,1
903645,0.6,1
903646,0.6,1
903647,0.6,1
903648,0.6,1
903649,0.6,1
903650,0.6,1
903651,0.6,1
903652,0.6,1
903653,0.6,1
903654,0.6,1
903655,0.6,1
903656,0.6,1
906478,0.6,1
906479,0.6,1
906480,0.6,1
906481,0.6,1
906482,0.6,1
906483,0.6,1
906484,0.6,1
906485,0.6,1
906486,0.6,1
906487,0.6,1
906488,0.6,1
906489,0.6,1
906490,0.6,1
906491,0.6,1
906492,0.6,1
906493,0.6,1
906494,0.6,1
906495,0.6,1
909317,0.6,1
909318,0.6,1
909319,0.6,1
909320,0.6,1
909321,0.6,1
909322,0.6,1
909323,0.6,1
909324,0.6,1
909325,0.6,1
909326,0.6,1
909327,0.6,1
909328,0.6,1
909329,0.6,1
909330,0.6,1
909331,0.6,1
909332,0.6,1
909333,0.6,1
909334,0.6,1
912155,0.6,1
912156,0.6,1
912157,0.6,1
912158,0.6,1
912159,0.6,1
912160,0.6,1
912161,0.6,1
912162,0.6,1
912163,0.6,1
912164,0.6,1
912165,0.6,1
912166,0.6,1
912167,0.6,1
912168,0.6,1
912169,0.6,1
912170,0.6,1
912171,0.6,1
912172,0.6,1
912173,0.6,1
