iucn_sid,dbf_file,sciname,main_common_name,cat,cat_score,published_year,iucn_version
222,acipenseriformes.dbf,Acipenser brevirostrum,Shortnose Sturgeon,VU,0.4,2004,2018-1
224,acipenseriformes.dbf,Acipenser naccarii,Adriatic Sturgeon,CR,0.8,2011,2018-1
225,acipenseriformes.dbf,Acipenser nudiventris,Ship Sturgeon,CR,0.8,2010,2018-1
229,acipenseriformes.dbf,Acipenser stellatus,Stellate Sturgeon,CR,0.8,2010,2018-1
230,acipenseriformes.dbf,Acipenser sturio,Atlantic Sturgeon,CR,0.8,2010,2018-1
232,acipenseriformes.dbf,Acipenser gueldenstaedtii,Russian Sturgeon,CR,0.8,2010,2018-1
233,NA,Acipenser medirostris,Green Sturgeon,NT,0.2,2006,2018-1
234,NA,Acipenser transmontanus,White Sturgeon,LC,0,2004,2018-1
235,acipenseriformes.dbf,Acipenser persicus,Persian Sturgeon,CR,0.8,2010,2018-1
236,NA,Acipenser sinensis,Chinese Sturgeon,CR,0.8,2010,2018-1
241,NA,Acipenser mikadoi,Sakhalin Sturgeon,CR,0.8,2010,2018-1
242,NA,Acipenser oxyrinchus ssp. desotoi,Gulf Sturgeon,VU,0.4,2006,2018-1
243,NA,Acipenser oxyrinchus ssp. oxyrinchus,Atlantic Sturgeon,NT,0.2,2006,2018-1
245,acipenseriformes.dbf,Acipenser oxyrinchus,Gulf Sturgeon,NT,0.2,2006,2018-1
678,NA,Agathothoma finalis,NA,DD,NA,1996,2018-1
907,clupeiformes.dbf,Alosa immaculata,NA,VU,0.4,2008,2018-1
908,clupeiformes.dbf,Alosa alabamae,Alabama Shad,DD,NA,2010,2018-1
1086,NA,Amblyrhynchus cristatus,Fernandina Marine Iguana,VU,0.4,2004,2018-1
1308,NA,Anisotremus moricandi,Brownstriped Grunt,LC,0,2015,2018-1
1615,NA,Choranthias salmopunctatus,NA,LC,0,2015,2018-1
1793,TERRESTRIAL_MAMMALS.dbf,Aonyx capensis,African Clawless Otter,NT,0.2,2015,2018-1
1866,NA,Aplochiton marinus,NA,DD,NA,1996,2018-1
2055,MARINE_MAMMALS.dbf,Arctocephalus australis,South American Fur Seal,LC,0,2016,2018-1
2057,MARINE_MAMMALS.dbf,Arctocephalus galapagoensis,Galápagos Fur Seal,EN,0.6,2015,2018-1
2058,MARINE_MAMMALS.dbf,Arctocephalus gazella,Antarctic Fur Seal,LC,0,2016,2018-1
2059,MARINE_MAMMALS.dbf,Arctocephalus philippii,Juan Fernández Fur Seal,LC,0,2015,2018-1
2060,MARINE_MAMMALS.dbf,Arctocephalus pusillus,Afro-Australian Fur Seal,LC,0,2015,2018-1
2061,MARINE_MAMMALS.dbf,Arctocephalus townsendi,Guadalupe Fur Seal,LC,0,2015,2018-1
2062,MARINE_MAMMALS.dbf,Arctocephalus tropicalis,Subantarctic Fur Seal,LC,0,2015,2018-1
2064,NA,Arctocephalus australis ssp. australis,South American Fur Seal,LC,0,2016,2018-1
2066,NA,Arctocephalus pusillus ssp. pusillus,Cape Fur Seal,LC,0,2015,2018-1
2067,NA,Arctocephalus pusillus ssp. doriferus,Australian Fur Seal,LC,0,2015,2018-1
2113,NA,Arius madagascariensis,Madagascar Sea Catfish,LC,0,2016,2018-1
2179,NA,Assiminea infirma,Badwater Snail,VU,0.4,1996,2018-1
2181,NA,Assiminea palauensis,NA,DD,NA,1996,2018-1
2182,NA,Assiminea pecos,Pecos Assiminea,EN,0.6,1996,2018-1
2218,NA,Astraea heliotropium,NA,LC,0,2000,2018-1
2352,atheriniformes.dbf,Atherina boyeri,Black Sea Silverside,LC,0,2008,2018-1
2467,MARINE_MAMMALS.dbf,Balaena mysticetus,Bowhead Whale,LC,0,2018,2018-1
2469,MARINE_MAMMALS.dbf,Balaena mysticetus Okhotsk Sea subpopulation,Okhotsk Sea Bowhead Whale,EN,0.6,2018,2018-1
2472,MARINE_MAMMALS.dbf,Balaena mysticetus East Greenland-Svalbard-Barents Sea subpopulation,Bowhead Whale,EN,0.6,2018,2018-1
2474,MARINE_MAMMALS.dbf,Balaenoptera acutorostrata,(Common) Minke Whale,LC,0,2008,2018-1
2475,MARINE_MAMMALS.dbf,Balaenoptera borealis,Sei Whale,EN,0.6,2008,2018-1
2476,MARINE_MAMMALS.dbf,Balaenoptera edeni,Bryde's Whale,LC,0,2018,2018-1
2477,MARINE_MAMMALS.dbf,Balaenoptera musculus,Blue Whale,EN,0.6,2008,2018-1
2478,MARINE_MAMMALS.dbf,Balaenoptera physalus,Fin Whale,EN,0.6,2013,2018-1
2479,NA,Balaenoptera musculus ssp. brevicauda,Pygmy Blue Whale,DD,NA,1996,2018-1
2480,MARINE_MAMMALS.dbf,Balaenoptera bonaerensis,Antarctic Minke Whale,NT,0.2,2018,2018-1
2482,NA,Balaenoptera musculus ssp. musculus North Pacific stock,Blue Whale,VU,0.4,1996,2018-1
2483,NA,Balaenoptera musculus ssp. musculus North Atlantic stock,North Atlantic Blue Whale,VU,0.4,1996,2018-1
2539,NA,Balistes vetula,Queen Triggerfish,NT,0.2,2015,2018-1
2621,NA,Bathygobius burtoni,NA,EN,0.6,2015,2018-1
2636,CHONDRICHTHYES.dbf,Bathyraja abyssicola,Deepsea Skate,DD,NA,2015,2018-1
2637,NA,Batillaria mutata,NA,DD,NA,1996,2018-1
2644,batrachoidiformes.dbf,Batrachoides manglae,Cotuero Toadfish,LC,0,2015,2018-1
2762,MARINE_MAMMALS.dbf,Berardius arnuxii,Arnoux's Beaked Whale,DD,NA,2008,2018-1
2763,MARINE_MAMMALS.dbf,Berardius bairdii,Baird's Beaked Whale,DD,NA,2008,2018-1
2811,NA,Birgus latro,Coconut Crab,DD,NA,1996,2018-1
2895,NA,Bostrychus zonatus,Sunset Gudgeon,DD,NA,2012,2018-1
