mpa_status,lbl,mu,mu_rr
FALSE,Global EEZ,0.1693077852244401,0.1443328215860363
FALSE,Global EEZ post-Aichi,0.16977118076534453,0.14461092155843336
FALSE,Africa,0.17580067949482409,0.14204503994327325
FALSE,Asia,0.1490169890416461,0.12236991599102304
FALSE,C. America/Caribbean,0.15703184994903746,0.08317541028267841
FALSE,Europe,0.18330562692935268,0.1765437576305124
FALSE,N. America,0.15510436862106522,0.11344239914383313
FALSE,Oceania,0.17690563784629346,0.16618655491230688
FALSE,S. America,0.18162790745436916,0.1409137465578557
FALSE,Southern Islands,0.15106910334537163,0.12511626065004738
FALSE,High seas,0.19620020175730743,0.20535432962466688
TRUE,Global EEZ,0.17433821734949898,0.15014021482110385
TRUE,Global EEZ post-Aichi,0.18360140855811183,0.17313956579496098
TRUE,Africa,0.14531006804207516,0.0944276943993728
TRUE,Asia,0.14709839101021213,0.13803598636963194
TRUE,C. America/Caribbean,0.12221415113366926,0.047781872592799264
TRUE,Europe,0.17478368160285004,0.15645824170522918
TRUE,N. America,0.18230705482183318,0.15248088409067742
TRUE,Oceania,0.1777871282838517,0.1516219867741341
TRUE,S. America,0.18632212667368425,0.18393071803008315
TRUE,Southern Islands,0.1655556129205604,0.14099961085201712
TRUE,High seas,0.13472731368799787,0.08325086073430774
