iucn_sid,sciname,suit_all,kingdom,phylum,class,order,family
6026,Cyclura carinata,"marginal, unknown",ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
6031,Cyclura pinguis,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
6040,Cyclura cychlura ssp. figginsi,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
6041,Cyclura cychlura ssp. inornata,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
6045,Cyclura nubila ssp. nubila,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,IGUANIDAE
7121,Elaphurus davidianus,unknown,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE
12006,Liolaemus lutzae,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LIOLAEMIDAE
13427,Microtus californicus,marginal,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE
13891,Mortonagrion hirosei,unknown,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE
15968,Prosadenoporus agricola,marginal,ANIMALIA,NEMERTINA,ENOPLA,HOPLONEMERTEA,PROSORHOCHMIDAE
16559,Pentalagus furnessi,marginal,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE
39908,Liolaemus occipitalis,unknown,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LIOLAEMIDAE
41065,Rhinella marina,marginal,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE
41880,Haliotis cracherodii,unknown,ANIMALIA,MOLLUSCA,GASTROPODA,VETIGASTROPODA,HALIOTIDAE
42178,Zamia roezlii,marginal,PLANTAE,TRACHEOPHYTA,CYCADOPSIDA,CYCADALES,ZAMIACEAE
42393,Odocoileus hemionus,marginal,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,CERVIDAE
54734,Ingerophrynus philippinicus,marginal,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE
62237,Nerodia fasciata,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE
62239,Nerodia sipedon,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE
62466,Abarema curvicarpa,unknown,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE
63601,Antithamnion veleroae,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,CERAMIACEAE
63606,Ceramium prostratum,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,CERAMIACEAE
63611,Austrofolium howellii,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,DELESSERIACEAE
63616,Alsidium pusillum,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,RHODOMELACEAE
63620,Laurencia ligulata,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,RHODOMELACEAE
63621,Laurencia mediocris,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,CERAMIALES,RHODOMELACEAE
63643,Ahnfeltiopsis smithii,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GIGARTINALES,PHYLLOPHORACEAE
63645,Gracilaria ecuadoreanus,unknown,PLANTAE,RHODOPHYTA,FLORIDEOPHYCEAE,GRACILARIALES,GRACILARIACEAE
63779,Farancia abacura,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE
63780,Farancia erytrogramma,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPSADIDAE
63853,Nerodia cyclopion,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE
63855,Nerodia floridana,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE
63857,Nerodia taxispilota,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,NATRICIDAE
64255,Aspidoscelis catalinensis,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE
64298,Agkistrodon piscivorus,marginal,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,VIPERIDAE
136472,Babyrousa togeanensis,marginal,ANIMALIA,CHORDATA,MAMMALIA,CETARTIODACTYLA,SUIDAE
155535,Paludinella sicana,na,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,ASSIMINEIDAE
155778,Hydrobia pontieuxini,unknown,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE
163435,Kinosternon subrubrum,marginal,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,KINOSTERNIDAE
164274,Fimbristylis sieberiana,marginal,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE
166725,Stenothyra ornata,unknown,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,STENOTHYRIDAE
176736,Laticauda frontalis,na,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ELAPIDAE
176946,Fimbristylis pubisquama,unknown,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE
